DATE,NYTPOP
2000-01-01,18352.743
2001-01-01,18490.029
2002-01-01,18590.085
2003-01-01,18671.32
2004-01-01,18747.431
2005-01-01,18798.114
2006-01-01,18825.633
2007-01-01,18901.167
2008-01-01,18968.501
2009-01-01,19069.796
2010-01-01,18923.437
2011-01-01,19053.124
2012-01-01,19150.453
2013-01-01,19227.457
2014-01-01,19282.138
2015-01-01,19322.239
2016-01-01,19336.456
2017-01-01,19325.115
2018-01-01,19289.42
2019-01-01,19232.494
2020-01-01,20048.886
2021-01-01,19774.386
2022-01-01,19617.869
