DATE,CHIPOP
2000-01-01,9117.732
2001-01-01,9192.501
2002-01-01,9245.135
2003-01-01,9286.162
2004-01-01,9332.09
2005-01-01,9362.08
2006-01-01,9398.855
2007-01-01,9451.936
2008-01-01,9515.636
2009-01-01,9580.567
2010-01-01,9470.661
2011-01-01,9500.919
2012-01-01,9528.134
2013-01-01,9550.227
2014-01-01,9560.285
2015-01-01,9552.351
2016-01-01,9533.732
2017-01-01,9513.947
2018-01-01,9485.403
2019-01-01,9454.282
2020-01-01,9600.822
2021-01-01,9519.538
2022-01-01,9441.957
