DATE,MIMPOP
2000-01-01,5025.806
2001-01-01,5120.256
2002-01-01,5212.602
2003-01-01,5280.671
2004-01-01,5362.678
2005-01-01,5443.159
2006-01-01,5466.743
2007-01-01,5465.183
2008-01-01,5501.752
2009-01-01,5547.051
2010-01-01,5583.46
2011-01-01,5668.482
2012-01-01,5746.09
2013-01-01,5823.221
2014-01-01,5894.379
2015-01-01,5969.756
2016-01-01,6055.139
2017-01-01,6115.654
2018-01-01,6140.602
2019-01-01,6164.887
2020-01-01,6132.94
2021-01-01,6109.373
2022-01-01,6139.34
