DATE,LNAPOP
2010-01-01,12838.023
2011-01-01,12923.899
2012-01-01,13010.104
2013-01-01,13092.451
2014-01-01,13159.972
2015-01-01,13226.215
2016-01-01,13259.142
2017-01-01,13266.524
2018-01-01,13237.112
2019-01-01,13182.453
2020-01-01,13178.547
2021-01-01,12970.073
2022-01-01,12870.137
2023-01-01,12799.1
