DATE,PCWPOP
2000-01-01,5693.275
2001-01-01,5722.541
2002-01-01,5755.874
2003-01-01,5787.788
2004-01-01,5822.876
2005-01-01,5850.621
2006-01-01,5880.912
2007-01-01,5912.678
2008-01-01,5940.496
2009-01-01,5968.252
2010-01-01,5971.202
2011-01-01,5996.995
2012-01-01,6017.788
2013-01-01,6031.789
2014-01-01,6049.852
2015-01-01,6060.137
2016-01-01,6070.16
2017-01-01,6082.355
2018-01-01,6096.805
2019-01-01,6104.777
2020-01-01,6241.967
2021-01-01,6253.394
2022-01-01,6242.746
2023-01-01,6246.16
