DATE,WSHPOP
2000-01-01,4821.031
2001-01-01,4927.274
2002-01-01,5014.571
2003-01-01,5086.376
2004-01-01,5158.524
2005-01-01,5229.267
2006-01-01,5265.012
2007-01-01,5313.033
2008-01-01,5377.936
2009-01-01,5476.241
2010-01-01,5678.733
2011-01-01,5783.752
2012-01-01,5881.329
2013-01-01,5966.559
2014-01-01,6036.388
2015-01-01,6099.163
2016-01-01,6155.359
2017-01-01,6217.791
2018-01-01,6256.312
2019-01-01,6297.454
2020-01-01,6260.311
2021-01-01,6258.549
2022-01-01,6265.891
2023-01-01,6304.975
