DATE,ATLPOP
2000-01-01,4281.905
2001-01-01,4432.95
2002-01-01,4555.49
2003-01-01,4673.146
2004-01-01,4802.3
2005-01-01,4947.012
2006-01-01,5119.641
2007-01-01,5267.527
2008-01-01,5385.586
2009-01-01,5475.213
2010-01-01,5302.733
2011-01-01,5367.069
2012-01-01,5445.543
2013-01-01,5512.111
2014-01-01,5595.218
2015-01-01,5688.583
2016-01-01,5791.874
2017-01-01,5876.763
2018-01-01,5951.394
2019-01-01,6027.231
2020-01-01,6103.261
2021-01-01,6143.138
2022-01-01,6222.106
