ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M100US43340,"Shreveport-Bossier City, LA Metro Area",310M100US43340,,1146,,1657,,740,,1187,,1750,,3021,,535,,933,,1870,,3954,,1437,,4424,,1305,,4325,,1886,,8749,,2226,,9184,,4213,,28098,,4845,,37282,,5517,,51172,,5469,,347777,,1395,,400606
310M100US43420,"Sierra Vista-Douglas, AZ Micro Area",310M100US43420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US43580,"Sioux City, IA-NE-SD Metro Area",310M100US43580,,317,,427,,788,,1467,,38,,40,,212,,321,,219,,361,,918,,1914,,1053,,2286,,1439,,4200,,1468,,3314,,2373,,11876,,2626,,15190,,3287,,21218,,3528,,119968,,2012,,141613
310M100US43620,"Sioux Falls, SD Metro Area",310M100US43620,,858,,1973,,861,,2691,,527,,786,,517,,1201,,781,,1987,,829,,1578,,1433,,3146,,1710,,4724,,2136,,9137,,3293,,20403,,3483,,29540,,3972,,38942,,3965,,192956,,1044,,233871
310M100US43740,"Somerset, PA Micro Area",310M100US43740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US43780,"South Bend-Mishawaka, IN-MI Metro Area",310M100US43780,,646,,1462,,220,,296,,765,,1602,,1046,,1076,,1346,,2678,,1413,,6785,,1328,,4829,,1733,,11614,,1475,,5889,,3154,,22029,,3414,,27918,,3595,,42506,,3699,,270386,,898,,314354
310M100US43860,"Southern Pines-Pinehurst, NC Micro Area",310M100US43860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US43900,"Spartanburg, SC Metro Area",310M100US43900,,2848,,2879,,707,,1021,,1604,,2288,,780,,1175,,1747,,3463,,1713,,6257,,1913,,5190,,2692,,11447,,2974,,22224,,2944,,9104,,3847,,31328,,4189,,47259,,4670,,235072,,849,,285210
310M100US44060,"Spokane, WA Metro Area",310M100US44060,,725,,1231,,1073,,3266,,577,,875,,1098,,1913,,1225,,2788,,2979,,9866,,2781,,9726,,3940,,19592,,4703,,27529,,4107,,28166,,6093,,55695,,7309,,81341,,7438,,387641,,1128,,470213
310M100US44100,"Springfield, IL Metro Area",310M100US44100,,509,,617,,165,,264,,1304,,2036,,975,,1968,,1601,,4004,,886,,2304,,845,,2371,,1070,,4675,,1400,,6308,,3031,,15944,,3043,,22252,,3555,,31195,,4076,,177213,,1470,,209025
