ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M300US44220,"Springfield, OH Metro Area",310M300US44220,,295,,518,,429,,285,,359,,451,,590,,746,,686,,1197,,1197,,3685,,635,,1212,,1421,,4897,,1844,,7368,,1851,,7669,,2764,,15037,,2997,,21416,,3108,,111228,,507,,133162
310M300US44300,"State College, PA Metro Area",310M300US44300,,1233,,3191,,273,,400,,708,,1756,,179,,0,,708,,1756,,1767,,11707,,1234,,4282,,2365,,15989,,2581,,7006,,1926,,9280,,3598,,16286,,3723,,34431,,3940,,123736,,369,,161358
310M300US44340,"Statesboro, GA Micro Area",310M300US44340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M300US44420,"Staunton-Waynesboro, VA Metro Area",310M300US44420,,745,,705,,358,,474,,425,,386,,204,,0,,425,,386,,1521,,4718,,1220,,3059,,2061,,7777,,2766,,8725,,1458,,4003,,3079,,12728,,3345,,21365,,3417,,99085,,406,,121155
310M300US44620,"Stevens Point, WI Micro Area",310M300US44620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M300US44660,"Stillwater, OK Micro Area",310M300US44660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M300US44700,"Stockton-Lodi, CA Metro Area",310M300US44700,,1415,,4857,,905,,1093,,207,,224,,308,,384,,368,,608,,3614,,15257,,3698,,14593,,5317,,29850,,5047,,21956,,6432,,36580,,8540,,58536,,10371,,90087,,10347,,641530,,1311,,736474
310M300US44940,"Sumter, SC Metro Area",310M300US44940,,441,,467,,694,,913,,128,,101,,276,,247,,301,,348,,773,,1982,,818,,1620,,1095,,3602,,2077,,4861,,2179,,6285,,2658,,11146,,2828,,16009,,2875,,89268,,446,,105744
310M300US45060,"Syracuse, NY Metro Area",310M300US45060,,1388,,4343,,719,,819,,776,,1706,,374,,610,,846,,2316,,1673,,12468,,1410,,7706,,2161,,20174,,3865,,36559,,3478,,22526,,4971,,59085,,5187,,82394,,5788,,561561,,1360,,648298
310M300US45180,"Talladega-Sylacauga, AL Micro Area",310M300US45180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M300US45220,"Tallahassee, FL Metro Area",310M300US45220,,862,,1348,,682,,1976,,366,,499,,383,,554,,514,,1053,,3347,,19428,,2448,,9595,,4175,,29023,,2211,,10981,,4350,,33094,,5116,,44075,,6379,,76127,,6801,,304444,,2039,,381919
