ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M200US13140,"Beaumont-Port Arthur, TX Metro Area",310M200US13140,,531,,883,,769,,960,,395,,380,,1262,,2434,,1359,,2814,,2582,,8218,,1441,,5166,,3096,,13384,,3421,,20284,,4160,,19878,,5360,,40162,,5918,,57320,,6420,,344244,,2369,,402447
310M200US13180,"Beaver Dam, WI Micro Area",310M200US13180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M200US13220,"Beckley, WV Metro Area",310M200US13220,,162,,195,,713,,1082,,265,,299,,111,,85,,284,,384,,747,,1066,,450,,841,,911,,1907,,1573,,5445,,1247,,3165,,1932,,8610,,2295,,11983,,2490,,108818,,521,,120996
310M200US13380,"Bellingham, WA Metro Area",310M200US13380,,683,,1060,,334,,373,,341,,429,,335,,582,,486,,1011,,1804,,5741,,2067,,6897,,2414,,12638,,3090,,12979,,3175,,16126,,4307,,29105,,4666,,43127,,4536,,165705,,1008,,209892
310M200US13460,"Bend-Redmond, OR Metro Area",310M200US13460,,395,,424,,290,,242,,623,,925,,159,,117,,595,,1042,,2119,,5290,,2041,,5004,,3009,,10294,,1926,,3506,,3295,,16690,,4169,,20196,,4301,,31774,,4402,,141849,,526,,174047
310M200US13740,"Billings, MT Metro Area",310M200US13740,,186,,352,,1398,,3188,,385,,514,,562,,941,,702,,1455,,1134,,2034,,908,,1998,,1384,,4032,,1788,,4706,,2453,,14195,,2965,,18901,,3903,,27576,,3978,,138967,,1397,,166895
310M200US13780,"Binghamton, NY Metro Area",310M200US13780,,455,,826,,797,,916,,287,,427,,217,,180,,304,,607,,786,,2743,,1195,,5208,,1574,,7951,,3040,,17529,,1773,,7001,,3790,,24530,,3967,,34004,,3884,,209099,,652,,243929
310M200US13820,"Birmingham-Hoover, AL Metro Area",310M200US13820,,954,,2261,,1378,,3631,,1320,,2699,,1069,,2140,,1615,,4839,,3902,,19468,,3375,,18114,,4847,,37582,,7865,,75052,,5311,,46592,,8625,,121644,,9953,,167696,,10158,,962290,,1837,,1132247
310M200US13900,"Bismarck, ND Metro Area",310M200US13900,,295,,308,,561,,1450,,394,,776,,933,,1400,,970,,2176,,900,,1864,,1016,,1982,,1315,,3846,,1141,,3060,,2292,,8535,,2796,,11595,,3109,,19067,,3208,,108591,,906,,127966
310M200US14010,"Bloomington, IL Metro Area",310M200US14010,,417,,474,,805,,648,,679,,1020,,1603,,1779,,1802,,2799,,1298,,5451,,1798,,6629,,1867,,12080,,1448,,7643,,2147,,9746,,2555,,17389,,3403,,32916,,3673,,152640,,1689,,186030
310M200US14020,"Bloomington, IN Metro Area",310M200US14020,,463,,978,,515,,656,,1057,,1500,,653,,1295,,1413,,2795,,1922,,9033,,1823,,8128,,2524,,17161,,1880,,7327,,3345,,27211,,3601,,34538,,4005,,55150,,4053,,107902,,612,,164030
