ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M300US15680,"California-Lexington Park, MD Metro Area",310M300US15680,,207,,120,,212,,130,,1429,,1083,,469,,288,,1496,,1371,,2127,,5170,,770,,1262,,2139,,6432,,2620,,6241,,1403,,1986,,3077,,8227,,3731,,16160,,3807,,94676,,523,,110956
310M300US16020,"Cape Girardeau, MO-IL Metro Area",310M300US16020,,471,,603,,878,,1910,,366,,555,,1595,,1546,,1641,,2101,,1098,,2958,,799,,1657,,1404,,4615,,1675,,4465,,1773,,6731,,2256,,11196,,2917,,19822,,3652,,72626,,2615,,93051
310M300US16060,"Carbondale-Marion, IL Metro Area",310M300US16060,,287,,362,,894,,2113,,415,,549,,318,,404,,626,,953,,759,,3157,,942,,2183,,1135,,5340,,1608,,5707,,2059,,6510,,2537,,12217,,2845,,20623,,2824,,104361,,541,,125346
310M300US16180,"Carson City, NV Metro Area",310M300US16180,,210,,0,,198,,269,,372,,757,,315,,323,,512,,1080,,1038,,2262,,608,,1337,,1292,,3599,,210,,0,,1728,,4178,,1728,,4178,,2217,,9126,,2162,,45145,,292,,54271
310M300US16220,"Casper, WY Metro Area",310M300US16220,,127,,102,,270,,440,,146,,120,,154,,195,,231,,315,,1136,,1561,,421,,602,,1262,,2163,,939,,1673,,1830,,8194,,1882,,9867,,2055,,12785,,2121,,67067,,494,,79954
310M300US16300,"Cedar Rapids, IA Metro Area",310M300US16300,,402,,527,,911,,1960,,221,,463,,356,,551,,436,,1014,,1342,,3995,,1798,,5109,,2170,,9104,,2520,,10583,,3405,,14125,,4408,,24708,,4538,,36786,,4547,,227264,,855,,264577
310M300US16500,"Centralia, WA Micro Area",310M300US16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M300US16540,"Chambersburg-Waynesboro, PA Metro Area",310M300US16540,,83,,42,,213,,194,,153,,194,,174,,0,,153,,194,,1112,,3203,,675,,1115,,1331,,4318,,3152,,8879,,2071,,5103,,3781,,13982,,4071,,18688,,4185,,133957,,599,,152687
310M300US16580,"Champaign-Urbana, IL Metro Area",310M300US16580,,924,,3335,,435,,946,,368,,592,,501,,591,,692,,1183,,1970,,11173,,1648,,8468,,2407,,19641,,2269,,8316,,1976,,14865,,3281,,23181,,3498,,44951,,3682,,188799,,1684,,237085
310M300US16620,"Charleston, WV Metro Area",310M300US16620,,296,,465,,1323,,1475,,161,,164,,347,,232,,376,,396,,1182,,3957,,619,,881,,1294,,4838,,3242,,12731,,1722,,5784,,3573,,18515,,3871,,25224,,4482,,191049,,2557,,216738
310M300US16660,"Charleston-Mattoon, IL Micro Area",310M300US16660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M300US16700,"Charleston-North Charleston, SC Metro Area",310M300US16700,,1153,,2672,,767,,1913,,758,,2152,,689,,923,,1135,,3075,,3310,,20245,,3451,,14945,,4585,,35190,,5673,,43627,,3908,,27140,,7657,,70767,,9516,,110945,,9847,,637997,,1553,,751614
310M300US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",310M300US16740,,2858,,12311,,1188,,3107,,2072,,7860,,1617,,3463,,2817,,11323,,6374,,61258,,4661,,48326,,7569,,109584,,9856,,121792,,10230,,136759,,13128,,258551,,14071,,382565,,14559,,2048208,,2911,,2443084
310M300US16820,"Charlottesville, VA Metro Area",310M300US16820,,1235,,2569,,979,,1623,,164,,140,,93,,56,,189,,196,,2336,,10945,,1618,,6007,,2577,,16952,,2398,,11483,,1975,,9101,,3217,,20584,,4175,,39355,,5032,,185203,,2743,,227127
