ucgid,B07201_014MA,B07201_014EA,B07201_013EA,B07201_013MA,B07201_012EA,B07201_012MA,B07201_011EA,B07201_011MA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008MA,B07201_008EA,B07201_007EA,B07201_007MA,B07201_006EA,B07201_006MA,B07201_005MA,B07201_005EA,B07201_004MA,B07201_004EA,B07201_003MA,B07201_003EA,B07201_002EA,B07201_002MA,B07201_001EA,B07201_001MA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US22660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Collins-Loveland, CO Metro Area",997,1145,1169,2513,376,652,816,992,888,1644,2764,13536,2572,9572,3371,23108,2563,6330,3369,31096,4346,37426,5494,64691,5483,206933,778,272769,3100000US22660
3100000US22840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Payne, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US22840
3100000US22900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Smith, AR-OK Metro Area",1386,1422,1529,3621,809,1503,685,1008,1181,2511,1672,4288,2450,5787,2810,10075,3215,22961,3436,17445,5047,40406,5042,56613,6220,224963,3188,282998,3100000US22900
3100000US23020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Walton Beach-Crestview-Destin, FL Metro Area",579,968,554,1017,485,777,389,774,577,1551,2192,8002,2375,7870,3041,15872,2373,7450,2007,8872,3140,16322,4107,34762,4317,140462,1133,176192,3100000US23020
3100000US23060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Wayne, IN Metro Area",596,1614,383,603,954,2360,1093,3141,1517,5501,2041,6264,1994,4862,2925,11126,2124,10712,4642,32665,4825,43377,5145,60607,5004,339952,1973,402173,3100000US23060
3100000US23180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frankfort, KY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US23180
3100000US23420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fresno, CA Metro Area",1644,4834,470,884,350,594,468,644,654,1238,2804,11558,3081,16512,4259,28070,5501,35640,7216,84750,7661,120390,9522,150582,9878,720713,2036,876129,3100000US23420
3100000US23460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gadsden, AL Metro Area",202,248,440,439,346,540,180,189,393,729,1252,3206,297,730,1290,3936,1822,5472,2144,7181,2766,12653,3067,17757,3186,84486,439,102491,3100000US23460
3100000US23540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gainesville, FL Metro Area",585,1360,765,1518,506,999,513,423,736,1422,1838,10247,2004,12896,2625,23143,3238,10130,3773,26795,4980,36925,5306,63008,5743,178361,2703,242729,3100000US23540
3100000US23580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gainesville, GA Metro Area",229,232,874,1714,333,399,292,0,333,399,1678,6745,544,1008,1756,7753,2633,7437,3231,9853,4462,17290,4710,27156,4699,143265,867,170653,3100000US23580
3100000US23660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Galesburg, IL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US23660
