ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M200US25860,"Hickory-Lenoir-Morganton, NC Metro Area",310M200US25860,,240,,365,,420,,626,,410,,894,,849,,1013,,972,,1907,,1965,,6036,,940,,2847,,2307,,8883,,3621,,23734,,2187,,7568,,4199,,31302,,4720,,42718,,4867,,316999,,780,,360082
310M200US26020,"Hobbs, NM Micro Area",310M200US26020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M200US26090,"Holland, MI Micro Area",310M200US26090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M200US26140,"Homosassa Springs, FL Metro Area",310M200US26140,,624,,680,,830,,809,,276,,231,,231,,137,,352,,368,,1384,,4404,,796,,1292,,1581,,5696,,4344,,14462,,673,,611,,4362,,15073,,4445,,21946,,4594,,116094,,414,,138720
310M200US26300,"Hot Springs, AR Metro Area",310M200US26300,,112,,65,,325,,484,,686,,693,,648,,459,,947,,1152,,995,,1849,,1519,,2275,,1718,,4124,,2012,,4854,,2113,,6075,,2634,,10929,,3216,,16689,,3204,,79881,,415,,96635
310M200US26380,"Houma-Thibodaux, LA Metro Area",310M200US26380,,388,,346,,875,,1091,,236,,255,,958,,1034,,934,,1289,,734,,1286,,653,,1066,,942,,2352,,3396,,13973,,1900,,6333,,3626,,20306,,3796,,25038,,3995,,183810,,832,,209194
310M200US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",310M200US26420,,9051,,70563,,3692,,14052,,2630,,8449,,2885,,11130,,3852,,19579,,11423,,89675,,9681,,93172,,15480,,182847,,17793,,333651,,20076,,414929,,24307,,748580,,30599,,965058,,32312,,5369922,,5169,,6405543
310M200US26580,"Huntington-Ashland, WV-KY-OH Metro Area",310M200US26580,,243,,262,,1458,,2857,,995,,1618,,1437,,1540,,1455,,3158,,1562,,4836,,1218,,3459,,1935,,8295,,2701,,16740,,2320,,10864,,3519,,27604,,4558,,41914,,4604,,316672,,911,,358848
310M200US26620,"Huntsville, AL Metro Area",310M200US26620,,802,,1252,,703,,1209,,792,,1203,,460,,715,,1000,,1918,,2319,,7648,,1847,,7375,,3309,,15023,,4441,,21130,,4026,,24752,,6186,,45882,,6813,,64032,,6989,,370333,,1175,,435617
310M200US26660,"Huntsville, TX Micro Area",310M200US26660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M200US26740,"Hutchinson, KS Micro Area",310M200US26740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M200US26820,"Idaho Falls, ID Metro Area",310M200US26820,,589,,740,,327,,406,,687,,1023,,799,,1150,,1090,,2173,,1381,,3418,,1270,,2152,,1785,,5570,,1736,,5549,,2906,,7823,,3383,,13372,,3455,,21521,,3270,,114830,,692,,137091
310M200US26860,"Indiana, PA Micro Area",310M200US26860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M200US26900,"Indianapolis-Carmel-Anderson, IN Metro Area",310M200US26900,,1801,,6450,,1872,,4836,,1223,,4474,,1437,,4266,,1927,,8740,,3903,,22375,,5233,,28877,,5743,,51252,,8792,,91884,,9884,,138676,,12762,,230560,,13052,,295388,,13525,,1646398,,2891,,1948236
310M200US26980,"Iowa City, IA Metro Area",310M200US26980,,1436,,2474,,611,,1398,,310,,515,,536,,1205,,595,,1720,,1414,,4678,,1216,,5451,,2058,,10129,,2025,,6860,,2180,,12905,,2809,,19765,,3333,,33012,,3428,,126535,,686,,162021
310M200US27060,"Ithaca, NY Metro Area",310M200US27060,,890,,1964,,561,,587,,599,,826,,393,,341,,801,,1167,,1735,,7560,,964,,3122,,1999,,10682,,1937,,7620,,1945,,5103,,2864,,12723,,3005,,25159,,3157,,75966,,560,,103089
310M200US27100,"Jackson, MI Metro Area",310M200US27100,,571,,607,,242,,325,,399,,883,,195,,482,,441,,1365,,1117,,3940,,1089,,2202,,1602,,6142,,1821,,8653,,1742,,4847,,2767,,13500,,3184,,21332,,3306,,136151,,568,,158090
310M200US27140,"Jackson, MS Metro Area",310M200US27140,,797,,2304,,1538,,3614,,668,,1758,,1680,,3201,,1900,,4959,,1743,,6543,,3244,,8504,,3759,,15047,,4490,,32118,,4473,,24195,,6480,,56313,,7056,,79933,,7461,,485990,,2811,,568227
310M200US27180,"Jackson, TN Metro Area",310M200US27180,,238,,244,,776,,1459,,248,,232,,37,,22,,251,,254,,836,,1992,,521,,1366,,996,,3358,,1677,,3414,,2283,,8909,,2757,,12323,,2854,,17394,,2996,,110716,,581,,128354
310M200US27260,"Jacksonville, FL Metro Area",310M200US27260,,2321,,7674,,1227,,3702,,1073,,2327,,2603,,3837,,2817,,6164,,6534,,38044,,5274,,28409,,8357,,66453,,7445,,53089,,11333,,133280,,12686,,186369,,14690,,262688,,14975,,1131260,,2278,,1401622
310M200US27340,"Jacksonville, NC Metro Area",310M200US27340,,1492,,2535,,1264,,1396,,568,,956,,781,,715,,924,,1671,,2788,,14162,,2877,,7978,,3749,,22140,,3076,,11379,,5503,,13444,,6234,,24823,,6300,,50030,,6745,,131854,,1138,,184419
310M200US27460,"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M200US27460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M200US27500,"Janesville-Beloit, WI Metro Area",310M200US27500,,147,,157,,495,,712,,443,,760,,607,,694,,770,,1454,,885,,3173,,559,,1209,,1122,,4382,,1745,,4608,,2507,,11949,,3117,,16557,,3041,,23105,,3072,,136004,,598,,159266
310M200US27620,"Jefferson City, MO Metro Area",310M200US27620,,272,,433,,782,,2187,,253,,528,,822,,1353,,797,,1881,,718,,2665,,907,,2678,,1202,,5343,,1588,,8107,,2007,,4628,,2274,,12735,,2606,,22146,,3674,,125315,,2370,,147894
310M200US27740,"Johnson City, TN Metro Area",310M200US27740,,188,,238,,749,,859,,825,,1237,,209,,237,,874,,1474,,1186,,3850,,1216,,2369,,1700,,6219,,1738,,8039,,2152,,8315,,2908,,16354,,3230,,24906,,3728,,174461,,1876,,199605
310M200US27780,"Johnstown, PA Metro Area",310M200US27780,,168,,234,,291,,668,,317,,625,,133,,156,,353,,781,,1060,,3316,,1442,,2417,,1777,,5733,,1683,,9567,,901,,1904,,1690,,11471,,2407,,18653,,2447,,117611,,364,,136498
310M200US27860,"Jonesboro, AR Metro Area",310M200US27860,,249,,251,,747,,1636,,1261,,1933,,522,,800,,1414,,2733,,1124,,2560,,676,,1262,,1327,,3822,,1536,,5346,,3025,,16974,,3367,,22320,,3546,,30511,,3634,,94384,,644,,125146
310M200US27900,"Joplin, MO Metro Area",310M200US27900,,163,,168,,616,,1096,,439,,659,,334,,372,,535,,1031,,637,,1596,,989,,1799,,1174,,3395,,1901,,8545,,1606,,6351,,2506,,14896,,2857,,20418,,3010,,153973,,512,,174559
