ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M500US10140,"Aberdeen, WA Micro Area",310M500US10140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M500US10180,"Abilene, TX Metro Area",310M500US10180,,806,,1071,,448,,980,,945,,1511,,923,,2292,,1284,,3803,,1683,,6029,,1275,,4197,,2040,,10226,,1470,,3054,,2543,,12429,,3015,,15483,,3951,,30492,,4201,,137480,,2901,,169043
310M500US10300,"Adrian, MI Micro Area",310M500US10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M500US10380,"Aguadilla-Isabela, PR Metro Area",310M500US10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M500US10420,"Akron, OH Metro Area",310M500US10420,,1238,,2608,,571,,616,,462,,897,,184,,241,,483,,1138,,2645,,18334,,4387,,12157,,5266,,30491,,4036,,29673,,3339,,24534,,5637,,54207,,8221,,86452,,8276,,608047,,1280,,697107
310M500US10460,"Alamogordo, NM Micro Area",310M500US10460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M500US10500,"Albany, GA Metro Area",310M500US10500,,763,,718,,404,,713,,224,,175,,167,,124,,265,,299,,1001,,2815,,2693,,4233,,2956,,7048,,1198,,3590,,5012,,15591,,5015,,19181,,5893,,27241,,6110,,117422,,2332,,145381
310M500US10540,"Albany-Lebanon, OR Metro Area",310M500US10540,,372,,443,,163,,124,,226,,208,,181,,132,,366,,340,,1164,,3061,,1288,,3462,,1623,,6523,,1340,,3823,,2562,,6366,,2926,,10189,,3322,,17176,,3300,,110989,,554,,128608
310M500US10580,"Albany-Schenectady-Troy, NY Metro Area",310M500US10580,,1451,,3599,,832,,1759,,1697,,4123,,1472,,1899,,2276,,6022,,3424,,19866,,2256,,13042,,4163,,32908,,4985,,41558,,5453,,33066,,6624,,74624,,7429,,115313,,7777,,753818,,1209,,872730
310M500US10700,"Albertville, AL Micro Area",310M500US10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M500US10740,"Albuquerque, NM Metro Area",310M500US10740,,1809,,3342,,1244,,1854,,717,,1277,,1577,,2739,,1686,,4016,,1818,,7819,,2238,,9862,,2931,,17681,,4653,,24232,,8364,,70219,,8255,,94451,,9516,,118002,,10538,,782915,,3010,,904259
