ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
3100000US23660,"Galesburg, IL Micro Area",3100000US23660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US23700,"Gallup, NM Micro Area",3100000US23700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US23900,"Gettysburg, PA Micro Area",3100000US23900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US24020,"Glens Falls, NY Metro Area",3100000US24020,,328,,504,,131,,177,,592,,1090,,246,,361,,613,,1451,,848,,2830,,913,,2166,,1230,,4996,,1938,,8943,,813,,1548,,1961,,10491,,2273,,17115,,2343,,110001,,442,,127620
3100000US24140,"Goldsboro, NC Metro Area",3100000US24140,,558,,729,,300,,443,,372,,951,,460,,635,,579,,1586,,621,,1526,,782,,2147,,1096,,3673,,1706,,4268,,2363,,7013,,2782,,11281,,3186,,16983,,3261,,94062,,466,,111774
3100000US24220,"Grand Forks, ND-MN Metro Area",3100000US24220,,892,,1508,,806,,2831,,626,,852,,640,,1018,,807,,1870,,868,,2480,,976,,2955,,1400,,5435,,1203,,3794,,1721,,8526,,2029,,12320,,2382,,22456,,2510,,72686,,1004,,96650
3100000US24260,"Grand Island, NE Micro Area",3100000US24260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US24300,"Grand Junction, CO Metro Area",3100000US24300,,161,,133,,847,,2215,,721,,1067,,392,,508,,802,,1575,,1102,,2794,,1641,,3664,,1975,,6458,,2151,,8212,,2962,,12838,,3500,,21050,,3904,,31298,,4014,,106195,,540,,137626
3100000US24340,"Grand Rapids-Wyoming, MI Metro Area",3100000US24340,,1014,,2252,,2065,,5614,,1683,,3386,,760,,2031,,2183,,5417,,3534,,16669,,2910,,10548,,4335,,27217,,5569,,41736,,6021,,45712,,7329,,87448,,7818,,125696,,7906,,637375,,1232,,765323
3100000US24420,"Grants Pass, OR Micro Area",3100000US24420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
