ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
3100000US23060,"Fort Wayne, IN Metro Area",3100000US23060,,1028,,1452,,414,,824,,1037,,2580,,1085,,1501,,1451,,4081,,2753,,5523,,1485,,4333,,3357,,9856,,2950,,12861,,3635,,26023,,4981,,38884,,6129,,53645,,6123,,348940,,2401,,404037
3100000US23180,"Frankfort, KY Micro Area",3100000US23180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US23420,"Fresno, CA Metro Area",3100000US23420,,5497,,8230,,982,,1322,,288,,302,,633,,748,,693,,1050,,2858,,13082,,4022,,14679,,4857,,27761,,6230,,36837,,9753,,72096,,11884,,108933,,12029,,139066,,12801,,745631,,1568,,892927
3100000US23460,"Gadsden, AL Metro Area",3100000US23460,,271,,0,,306,,306,,977,,1227,,119,,102,,1001,,1329,,1818,,3995,,1234,,1545,,2091,,5540,,2397,,6238,,2242,,5744,,2487,,11982,,3174,,19157,,3253,,83197,,443,,102354
3100000US23540,"Gainesville, FL Metro Area",3100000US23540,,1185,,1402,,527,,841,,382,,602,,152,,130,,451,,732,,2219,,13499,,1686,,7780,,2645,,21279,,1913,,7653,,4229,,23762,,4397,,31415,,5101,,54267,,5847,,196708,,2644,,252377
3100000US23580,"Gainesville, GA Metro Area",3100000US23580,,395,,637,,2006,,2591,,157,,169,,67,,41,,152,,210,,1650,,5995,,1636,,2035,,2194,,8030,,2906,,8875,,4365,,9242,,5269,,18117,,6007,,28948,,6129,,152021,,996,,181606
3100000US23660,"Galesburg, IL Micro Area",3100000US23660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US23700,"Gallup, NM Micro Area",3100000US23700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US23900,"Gettysburg, PA Micro Area",3100000US23900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US24020,"Glens Falls, NY Metro Area",3100000US24020,,41,,23,,320,,570,,284,,514,,433,,505,,508,,1019,,1140,,3267,,520,,1601,,1185,,4868,,1859,,9288,,1661,,3043,,2362,,12331,,2701,,18788,,2696,,109022,,470,,127833
3100000US24140,"Goldsboro, NC Metro Area",3100000US24140,,422,,582,,236,,340,,369,,645,,550,,549,,838,,1194,,1194,,3297,,962,,1888,,1638,,5185,,2002,,6223,,1298,,4265,,2313,,10488,,2549,,17207,,2811,,94293,,663,,112082
3100000US24220,"Grand Forks, ND-MN Metro Area",3100000US24220,,464,,528,,536,,1390,,1372,,1500,,364,,444,,1456,,1944,,807,,1627,,777,,2103,,1244,,3730,,1123,,3018,,1371,,7168,,1621,,10186,,2433,,17250,,2926,,76637,,1291,,94415
3100000US24260,"Grand Island, NE Micro Area",3100000US24260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US24300,"Grand Junction, CO Metro Area",3100000US24300,,78,,64,,723,,1114,,267,,253,,782,,1306,,843,,1559,,2151,,4873,,2356,,4651,,2858,,9524,,2987,,10628,,2144,,8362,,3615,,18990,,4337,,31187,,4315,,110629,,617,,141880
3100000US24340,"Grand Rapids-Wyoming, MI Metro Area",3100000US24340,,1653,,4509,,1794,,5016,,806,,2963,,709,,1144,,1107,,4107,,3562,,17155,,1967,,9465,,4011,,26620,,4691,,37323,,4756,,40337,,7404,,77660,,8298,,113403,,8388,,647473,,1452,,765385
3100000US24420,"Grants Pass, OR Micro Area",3100000US24420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US24500,"Great Falls, MT Metro Area",3100000US24500,,111,,141,,1245,,2323,,937,,1222,,204,,338,,917,,1560,,1440,,2233,,801,,1854,,1770,,4087,,849,,1810,,2294,,8627,,2527,,10437,,3014,,18407,,3207,,62236,,551,,80784
3100000US24540,"Greeley, CO Metro Area",3100000US24540,,962,,1770,,763,,1088,,383,,540,,627,,651,,711,,1191,,3082,,9560,,2498,,7161,,3889,,16721,,2329,,10554,,3491,,14625,,4109,,25179,,5841,,44179,,6091,,198513,,1246,,244462
3100000US24580,"Green Bay, WI Metro Area",3100000US24580,,447,,786,,698,,1359,,846,,1192,,835,,1286,,1206,,2478,,1077,,3256,,955,,3328,,1516,,6584,,2853,,15520,,2939,,14090,,3973,,29610,,4247,,40031,,4102,,257749,,773,,298566
3100000US24620,"Greeneville, TN Micro Area",3100000US24620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US24660,"Greensboro-High Point, NC Metro Area",3100000US24660,,1323,,3421,,1169,,2353,,1868,,4054,,1560,,3707,,2318,,7761,,2213,,13140,,3916,,15293,,4722,,28433,,3641,,26559,,5003,,35043,,6172,,61602,,7547,,100149,,7823,,593404,,1407,,696974
3100000US24780,"Greenville, NC Metro Area",3100000US24780,,432,,644,,1039,,1329,,750,,1908,,524,,929,,938,,2837,,1504,,5448,,1123,,3155,,1828,,8603,,2345,,7584,,3146,,13808,,4108,,21392,,4612,,34161,,5602,,135341,,3051,,170146
3100000US24860,"Greenville-Mauldin-Easley, SC Metro Area",3100000US24860,,1743,,3445,,628,,1351,,731,,1270,,450,,689,,891,,1959,,4240,,19285,,1571,,8553,,4711,,27838,,6547,,53154,,4127,,23521,,7594,,76675,,8325,,107823,,8602,,504242,,1374,,615510
3100000US24940,"Greenwood, SC Micro Area",3100000US24940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US25020,"Guayama, PR Metro Area",3100000US25020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US25060,"Gulfport-Biloxi, MS Metro Area",3100000US25060,,891,,1210,,1090,,1540,,741,,1277,,1565,,1749,,1736,,3026,,1899,,7126,,1890,,5646,,2922,,12772,,3123,,10372,,4251,,12142,,5728,,22514,,6408,,39852,,7382,,190415,,4458,,231477
3100000US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",3100000US25180,,960,,1144,,496,,454,,1461,,1345,,247,,198,,1487,,1543,,2148,,8303,,1856,,4622,,2687,,12925,,3733,,12803,,2565,,12954,,4610,,25757,,4892,,40679,,5140,,218273,,1861,,260096
3100000US25220,"Hammond, LA Micro Area",3100000US25220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US25260,"Hanford-Corcoran, CA Metro Area",3100000US25260,,1166,,1868,,57,,30,,602,,579,,1349,,1603,,1497,,2182,,2420,,7100,,1576,,6394,,3255,,13494,,2534,,6622,,2832,,9104,,3691,,15726,,5336,,31432,,5603,,113583,,759,,146883
3100000US25420,"Harrisburg-Carlisle, PA Metro Area",3100000US25420,,1546,,3587,,703,,1038,,848,,3612,,377,,900,,975,,4512,,2006,,9787,,1266,,5725,,2382,,15512,,4467,,34809,,3050,,12554,,5385,,47363,,5977,,68425,,6254,,453037,,973,,525049
3100000US25500,"Harrisonburg, VA Metro Area",3100000US25500,,481,,709,,581,,1286,,257,,336,,285,,0,,257,,336,,2156,,6475,,671,,2060,,2435,,8535,,2070,,7669,,1715,,5114,,2769,,12783,,2258,,22940,,2314,,93804,,278,,117453
3100000US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",3100000US25540,,1938,,7303,,1397,,1606,,1068,,3951,,490,,713,,1204,,4664,,4247,,24342,,2767,,14177,,4815,,38519,,6268,,67976,,5527,,37991,,7637,,105967,,9264,,150756,,8984,,1018614,,1523,,1176673
3100000US25620,"Hattiesburg, MS Metro Area",3100000US25620,,806,,657,,1220,,1655,,943,,1079,,783,,1136,,1215,,2215,,1246,,2625,,989,,1809,,1681,,4434,,2100,,6641,,2682,,8773,,3127,,15414,,4067,,23718,,4637,,112451,,2400,,136826
3100000US25740,"Helena, MT Micro Area",3100000US25740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US25860,"Hickory-Lenoir-Morganton, NC Metro Area",3100000US25860,,964,,1216,,972,,1682,,1125,,2101,,875,,765,,1385,,2866,,2242,,5560,,2124,,6754,,3190,,12314,,4203,,23404,,2545,,9771,,4827,,33175,,6395,,50037,,6362,,308189,,1066,,359442
3100000US25900,"Hilo, HI Micro Area",3100000US25900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US25940,"Hilton Head Island-Beaufort, SC Micro Area",3100000US25940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US25980,"Hinesville-Fort Stewart, GA Metro Area",3100000US25980,,1091,,2029,,251,,348,,986,,1288,,1280,,1590,,1571,,2878,,1743,,3608,,754,,1412,,1941,,5020,,1780,,3345,,2187,,4250,,2549,,7595,,3947,,15841,,4979,,52413,,3148,,70283
3100000US26100,"Holland-Grand Haven, MI Metro Area",3100000US26100,,426,,696,,257,,426,,826,,1622,,1002,,1684,,1288,,3306,,2245,,7227,,1216,,4643,,2653,,11870,,3058,,14192,,2329,,3476,,3747,,17668,,4784,,33270,,4823,,223636,,725,,257602
3100000US26140,"Homosassa Springs, FL Micro Area",3100000US26140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US26180,"Honolulu, HI Metro Area",3100000US26180,,3982,,15657,,819,,1503,,1343,,3389,,2573,,3399,,3058,,6788,,3653,,16950,,4156,,16707,,5620,,33657,,7248,,52726,,4489,,31002,,8495,,83728,,8552,,125676,,10298,,750563,,1761,,891896
3100000US26300,"Hot Springs, AR Metro Area",3100000US26300,,388,,541,,427,,672,,280,,226,,615,,413,,678,,639,,3023,,4047,,958,,1528,,3258,,5575,,1279,,3077,,2387,,8268,,3076,,11345,,4814,,18231,,4588,,77184,,545,,95956
3100000US26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",3100000US26380,,307,,259,,208,,240,,582,,834,,852,,873,,989,,1707,,1442,,2572,,839,,1788,,1616,,4360,,2720,,9812,,2249,,6344,,3253,,16156,,3411,,22463,,3491,,175911,,637,,198633
3100000US26420,"Houston-Sugar Land-Baytown, TX Metro Area",3100000US26420,,6056,,45415,,2333,,8494,,2216,,7822,,3166,,16377,,3994,,24199,,9084,,72006,,8317,,96611,,12660,,168617,,14518,,353142,,18906,,387280,,23760,,740422,,25144,,941732,,25426,,4639896,,7692,,5627043
3100000US26580,"Huntington-Ashland, WV-KY-OH Metro Area",3100000US26580,,518,,865,,562,,1291,,928,,1248,,447,,572,,1012,,1820,,1740,,4302,,1019,,2443,,2169,,6745,,2928,,16035,,2141,,9093,,3505,,25128,,3868,,34984,,3724,,245770,,956,,281619
3100000US26620,"Huntsville, AL Metro Area",3100000US26620,,1066,,2413,,733,,1499,,1184,,1468,,510,,781,,1262,,2249,,2734,,11510,,2258,,10318,,3409,,21828,,3342,,15949,,3234,,17967,,5089,,33916,,5777,,59492,,5906,,328757,,983,,390662
3100000US26820,"Idaho Falls, ID Metro Area",3100000US26820,,251,,324,,1136,,1439,,657,,1115,,1022,,1850,,1258,,2965,,1182,,2277,,890,,1934,,1571,,4211,,1153,,3362,,2982,,10405,,3074,,13767,,3190,,22382,,3269,,98853,,1796,,121559
3100000US26860,"Indiana, PA Micro Area",3100000US26860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US26900,"Indianapolis-Carmel, IN Metro Area",3100000US26900,,2039,,7177,,649,,1671,,1448,,4154,,1019,,3276,,1669,,7430,,3828,,27455,,3481,,23652,,5079,,51107,,7248,,84757,,8359,,124868,,11995,,209625,,12643,,269833,,13585,,1413272,,3380,,1690282
3100000US26980,"Iowa City, IA Metro Area",3100000US26980,,566,,1149,,1016,,3054,,385,,544,,638,,1334,,809,,1878,,1305,,5437,,1607,,6807,,2152,,12244,,1628,,4926,,2846,,13279,,3157,,18205,,3610,,35381,,3638,,111267,,545,,147797
3100000US27060,"Ithaca, NY Metro Area",3100000US27060,,926,,2002,,207,,118,,571,,929,,510,,738,,775,,1667,,1906,,7127,,1181,,3357,,2526,,10484,,1539,,5265,,1974,,7267,,2356,,12532,,3412,,24801,,3646,,73490,,339,,100293
