ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M600US10140,"Aberdeen, WA Micro Area",310M600US10140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M600US10180,"Abilene, TX Metro Area",310M600US10180,,486,,884,,900,,2217,,635,,1018,,380,,445,,745,,1463,,1776,,4139,,1074,,3779,,2146,,7918,,2410,,6016,,3849,,17391,,4297,,23407,,4974,,35005,,5062,,142731,,2842,,178620
310M600US10300,"Adrian, MI Micro Area",310M600US10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M600US10380,"Aguadilla-Isabela, PR Metro Area",310M600US10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M600US10420,"Akron, OH Metro Area",310M600US10420,,1283,,2302,,900,,1067,,753,,1386,,781,,1215,,1101,,2601,,4055,,22841,,2582,,9151,,4663,,31992,,5161,,31009,,4720,,23327,,6941,,54336,,8543,,89996,,8950,,599277,,1482,,691575
310M600US10460,"Alamogordo, NM Micro Area",310M600US10460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M600US10500,"Albany, GA Metro Area",310M600US10500,,587,,752,,717,,964,,208,,177,,189,,278,,282,,455,,1300,,3589,,779,,1443,,1529,,5032,,1826,,4143,,2186,,5052,,2593,,9195,,2930,,15646,,3553,,128284,,2035,,144682
310M600US10540,"Albany-Lebanon, OR Metro Area",310M600US10540,,69,,40,,214,,0,,199,,241,,67,,47,,211,,288,,1190,,2571,,943,,3298,,1531,,5869,,1724,,4214,,1915,,5738,,2480,,9952,,3240,,16109,,3273,,112991,,474,,129140
310M600US10580,"Albany-Schenectady-Troy, NY Metro Area",310M600US10580,,1236,,3175,,844,,1989,,2341,,4814,,348,,590,,2338,,5404,,2889,,19366,,3356,,15159,,4487,,34525,,4821,,44766,,5355,,28128,,7607,,72894,,8688,,114812,,8558,,777769,,1646,,895756
310M600US10700,"Albertville, AL Micro Area",310M600US10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M600US10740,"Albuquerque, NM Metro Area",310M600US10740,,1590,,4154,,972,,2001,,930,,2249,,980,,1648,,1309,,3897,,3006,,14649,,3867,,20156,,4985,,34805,,4099,,15603,,6742,,52062,,7837,,67665,,8720,,108368,,9395,,802317,,3665,,914839
310M600US10780,"Alexandria, LA Metro Area",310M600US10780,,393,,2942,,665,,1177,,589,,509,,493,,462,,776,,971,,736,,1248,,1460,,2696,,1655,,3944,,2947,,8443,,1382,,1956,,3356,,10399,,4058,,16491,,4079,,127861,,677,,147294
