ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
3100000US19500,"Decatur, IL Metro Area",3100000US19500,,243,,254,,597,,837,,326,,381,,30,,18,,328,,399,,690,,1359,,868,,1079,,1106,,2438,,824,,1402,,2717,,10363,,2802,,11765,,3033,,15439,,3052,,91326,,444,,107019
3100000US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",3100000US19660,,1011,,2052,,878,,1090,,1179,,2080,,848,,1160,,1465,,3240,,4894,,19236,,2258,,7802,,6010,,27038,,4052,,22201,,3059,,13828,,5042,,36029,,7897,,67397,,8362,,421187,,1321,,490636
3100000US19740,"Denver-Aurora-Broomfield, CO Metro Area",3100000US19740,,2212,,12267,,1826,,6492,,1693,,4627,,2401,,5711,,2932,,10338,,6424,,49717,,5111,,47220,,8265,,96937,,10000,,165736,,11327,,156873,,15838,,322609,,17730,,436376,,17307,,2066312,,3977,,2514955
3100000US19780,"Des Moines-West Des Moines, IA Metro Area",3100000US19780,,1444,,3065,,1062,,2805,,1128,,2362,,946,,1673,,1420,,4035,,1307,,5406,,2338,,9978,,2512,,15384,,3678,,29791,,6361,,41773,,6804,,71564,,7505,,93788,,7920,,458637,,2391,,555490
3100000US19820,"Detroit-Warren-Livonia, MI Metro Area",3100000US19820,,5231,,26605,,1866,,5799,,1148,,3622,,1706,,4535,,2038,,8157,,4580,,35574,,3484,,25822,,5158,,61396,,14017,,259711,,15328,,235426,,19149,,495137,,18360,,570489,,19958,,3755433,,2905,,4352527
3100000US20020,"Dothan, AL Metro Area",3100000US20020,,679,,765,,486,,930,,952,,1600,,444,,783,,1151,,2383,,1238,,2221,,773,,1601,,1474,,3822,,1521,,5200,,1199,,5900,,1902,,11100,,2731,,18235,,2810,,121769,,445,,140769
3100000US20100,"Dover, DE Metro Area",3100000US20100,,296,,408,,263,,0,,290,,482,,534,,513,,618,,995,,1054,,3624,,2215,,3883,,2577,,7507,,3427,,10655,,1655,,4289,,3774,,14944,,4582,,23446,,4749,,132250,,598,,156104
3100000US20180,"DuBois, PA Micro Area",3100000US20180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000US20220,"Dubuque, IA Metro Area",3100000US20220,,165,,140,,488,,765,,350,,532,,340,,255,,451,,787,,432,,661,,749,,1266,,935,,1927,,713,,1614,,2622,,6963,,2825,,8577,,3291,,12056,,3293,,79639,,372,,91835
3100000US20260,"Duluth, MN-WI Metro Area",3100000US20260,,548,,927,,881,,3712,,266,,460,,627,,1137,,701,,1597,,1398,,4262,,1225,,3503,,1931,,7765,,2846,,13695,,3676,,18197,,4265,,31892,,4786,,44966,,4768,,228681,,1803,,274574
