ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008EA,B07201_008MA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asheville, NC Metro Area",539,923,1592,3374,612,1386,277,236,643,1622,2206,7847,2799,8290,3810,16137,5158,28813,2586,12216,5437,41029,7222,62162,7014,354864,2378,417949,310M100US11700
310M100US11780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashtabula, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US11780
310M100US11980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athens, TX Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US11980
310M100US12020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athens-Clarke County, GA Metro Area",437,778,986,1934,319,351,293,391,440,742,2535,9841,975,2534,2865,12375,3297,6589,3646,14115,4479,20704,5305,35755,5353,154994,450,191527,310M100US12020
310M100US12060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atlanta-Sandy Springs-Marietta, GA Metro Area",4541,28529,3112,11448,2151,7801,2151,6931,2850,14732,7755,68493,7468,81790,9848,150283,24906,578986,10208,114927,25307,693913,27097,870376,26248,4319891,6286,5218796,310M100US12060
310M100US12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atlantic City-Hammonton, NJ Metro Area",741,733,98,57,281,0,327,236,327,236,1806,5966,1409,2389,2371,8355,2799,11327,1146,3221,3118,14548,4004,23196,4162,248543,709,272472,310M100US12100
310M100US12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US12180
310M100US12220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn-Opelika, AL Metro Area",459,560,493,567,1036,2150,333,629,1090,2779,2355,8071,1989,6034,3320,14105,1429,2462,2418,14790,2753,17252,3534,34703,3526,103658,471,138921,310M100US12220
310M100US12260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Augusta-Richmond County, GA-SC Metro Area",1559,3977,1038,2793,940,2233,628,1365,1079,3598,3071,13492,1911,7128,3771,20620,5090,27326,5082,27481,6696,54807,8144,81818,8222,467445,2517,553240,310M100US12260
310M100US12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Augusta-Waterville, ME Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US12300
310M100US12420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austin-Round Rock-San Marcos, TX Metro Area",2533,13919,1983,6791,1607,3437,1209,4589,2270,8026,4410,36683,6330,57683,7764,94366,8301,81057,11602,185950,14960,267007,15665,376190,15563,1313813,2416,1703922,310M100US12420
