ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008EA,B07201_008MA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US17660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coeur d'Alene, ID Metro Area",204,259,837,1369,267,0,99,55,99,55,1645,2491,2214,4153,2986,6644,2742,9398,1843,6671,3149,16069,3805,24137,3952,113085,633,137481,310M100US17660
310M100US17780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"College Station-Bryan, TX Metro Area",1678,3362,1344,3076,432,694,1868,2874,1917,3568,2910,14068,1607,7006,3231,21074,1288,2740,5001,38252,5186,40992,5783,68710,6935,154590,3218,226662,310M100US17780
310M100US17820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, CO Metro Area",2859,10838,1721,4219,1200,2854,922,2025,1380,4879,4487,27515,3457,18398,6000,45913,4083,20366,6456,51428,7296,71794,9263,126805,9877,502506,2237,640149,310M100US17820
310M100US17860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia, MO Metro Area",1079,1917,695,1365,553,677,363,525,665,1202,2079,7412,1099,4035,2314,11447,1395,4991,3328,22385,3748,27376,3886,41390,4468,125887,1803,169194,310M100US17860
310M100US17900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia, SC Metro Area",1333,3913,1442,4274,1226,4888,1203,2867,1637,7755,2575,18646,2706,15205,4095,33851,6646,67852,4380,24739,7896,92591,8584,138471,9067,618999,2774,761383,310M100US17900
310M100US17940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US17940
310M100US17980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbus, GA-AL Metro Area",717,1785,1248,2770,680,1539,633,1295,950,2834,3604,16797,2879,10162,5023,26959,3381,13611,3813,23591,5351,37202,6745,69765,7060,217562,3973,289112,310M100US17980
310M100US18020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbus, IN Metro Area",334,302,162,104,710,759,371,301,812,1060,1246,2061,225,350,1250,2411,1028,1759,2530,7753,2538,9512,2657,13087,2616,62389,528,75778,310M100US18020
310M100US18140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbus, OH Metro Area",1992,8152,2427,6017,1434,6617,1487,5572,2068,12189,4420,30190,3069,20411,5592,50601,8131,98952,10052,152043,12947,250995,13627,319802,14036,1488595,2025,1816549,310M100US18140
310M100US18180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord, NH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US18180
310M100US18260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cookeville, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US18260
310M100US18300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coos Bay, OR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US18300
310M100US18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corning, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US18500
310M100US18580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corpus Christi, TX Metro Area",967,1866,1007,1761,971,1721,1002,1647,1304,3368,3493,8492,3967,11852,5703,20344,3866,13670,6304,44450,6314,58120,8082,83593,8340,336494,1342,421953,310M100US18580
310M100US18700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corvallis, OR Metro Area",738,938,420,453,396,600,533,1063,675,1663,1088,3193,973,3404,1657,6597,425,478,1781,6100,1791,6578,2487,15291,2536,68685,311,84914,310M100US18700
310M100US18880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crestview-Fort Walton Beach-Destin, FL Metro Area",505,607,742,1022,738,628,432,569,820,1197,2278,8787,2272,7317,3228,16104,3419,12844,2148,8123,3969,20967,4407,39290,4594,138010,1091,177907,310M100US18880
310M100US18980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US18980
310M100US19060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cumberland, MD-WV Metro Area",171,143,479,710,1144,801,78,47,1140,848,1400,2299,836,1755,1689,4054,1199,4625,1097,3688,1743,8313,2720,13925,2799,88283,384,102351,310M100US19060
310M100US19100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas-Fort Worth-Arlington, TX Metro Area",4748,32543,2797,14797,3006,8601,2320,11299,3876,19900,7116,68155,7968,94821,10560,162976,15862,364135,20686,502956,26650,867091,28339,1064764,29042,5217147,4070,6314454,310M100US19100
310M100US19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dalton, GA Metro Area",123,79,206,128,1501,1453,405,227,1520,1680,1303,2433,1066,1598,1601,4031,3638,10099,3001,7414,4554,17513,4928,23352,4804,117735,614,141166,310M100US19140
310M100US19180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danville, IL Metro Area",279,300,175,150,144,88,267,0,144,88,1090,1295,180,159,1131,1454,1443,3526,1948,3828,2119,7354,2368,9046,2445,71584,291,80930,310M100US19180
310M100US19260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danville, VA Metro Area",319,229,353,375,287,0,91,71,91,71,783,1805,966,1881,1319,3686,1530,3592,1535,4325,2259,7917,2867,12049,2914,92887,531,105165,310M100US19260
310M100US19300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daphne-Fairhope-Foley, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US19300
310M100US19340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davenport-Moline-Rock Island, IA-IL Metro Area",551,888,620,986,838,1810,560,1114,1092,2924,1155,3310,1654,6579,1941,9889,2530,14384,3990,24918,4592,39302,5808,53101,6191,322522,3244,376511,310M100US19340
310M100US19380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dayton, OH Metro Area",917,2877,880,1450,2011,4868,748,1552,1941,6420,3168,15060,1709,9332,3741,24392,4852,56159,4223,30090,5447,86249,6079,118511,6064,710042,1348,831430,310M100US19380
310M100US19460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Decatur, AL Metro Area",190,142,106,63,658,717,395,464,778,1181,998,2228,709,1396,1353,3624,1801,5230,1962,5265,2982,10495,3351,15363,3289,136030,795,151535,310M100US19460
310M100US19500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Decatur, IL Metro Area",250,231,230,297,145,215,667,739,684,954,1205,2965,1086,2115,1748,5080,667,1749,2044,7308,2313,9057,2902,15388,2917,93529,394,109148,310M100US19500
310M100US19660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",806,2075,662,904,611,775,880,989,1052,1764,3942,18279,1934,7220,4405,25499,3256,21921,3439,15811,4568,37732,6479,65899,6858,422636,1016,490610,310M100US19660
310M100US19740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denver-Aurora-Broomfield, CO Metro Area",2681,15839,2444,9161,1914,5125,1792,4926,2312,10051,3607,35940,4890,51893,5682,87833,12969,173923,10289,173752,16280,347675,17020,454720,17935,2056694,3527,2527253,310M100US19740
310M100US19780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Des Moines-West Des Moines, IA Metro Area",1518,3859,1693,4357,1334,2275,669,1406,1525,3681,1349,5172,2755,10480,3163,15652,3964,23763,6006,42008,6936,65771,7635,89461,8053,469509,2806,562829,310M100US19780
310M100US19820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Detroit-Warren-Livonia, MI Metro Area",4391,22188,1568,5269,1895,4143,1620,3655,2316,7798,5180,38135,3480,24421,6425,62556,14368,286540,12929,221292,19644,507832,21215,583455,21144,3633951,3286,4239594,310M100US19820
310M100US20020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dothan, AL Metro Area",290,475,631,1416,535,701,520,1197,775,1898,1160,3117,850,1830,1582,4947,2064,7325,1246,7338,2297,14663,2985,22924,3084,120542,480,143941,310M100US20020
310M100US20100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dover, DE Metro Area",447,542,850,624,773,1217,207,250,859,1467,1533,5332,841,2586,1793,7918,2437,7248,2360,6262,3086,13510,3726,23519,3670,137304,720,161365,310M100US20100
310M100US20180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DuBois, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US20180
310M100US20220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dubuque, IA Metro Area",151,160,517,852,620,637,89,48,621,685,830,3018,717,1148,1160,4166,493,818,1491,5863,1611,6681,2114,12384,2211,79782,367,92326,310M100US20220
310M100US20260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Duluth, MN-WI Metro Area",737,937,1469,3997,303,579,623,1020,627,1599,1630,5940,569,1976,1776,7916,2604,15707,2183,13226,3415,28933,3906,42445,4276,234181,2051,277563,310M100US20260
310M100US20380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dunn, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US20380
310M100US20500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Durham-Chapel Hill, NC Metro Area",1589,5383,583,1329,897,2266,976,1561,1234,3827,2267,13915,3179,20483,3885,34398,3326,15229,6304,42409,6636,57638,7850,97192,7960,396977,1068,499552,310M100US20500
310M100US20620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"East Liverpool-Salem, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US20620
310M100US20700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"East Stroudsburg, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US20700
310M100US20740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eau Claire, WI Metro Area",251,313,783,1895,515,794,442,611,679,1405,1020,2659,971,2565,1540,5224,1717,6182,1964,11742,2525,17924,3450,26448,3606,132836,523,159597,310M100US20740
310M100US20940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Centro, CA Metro Area",797,1007,140,72,139,147,164,308,206,455,1120,3042,552,2454,1359,5496,3604,16906,2039,5063,3889,21969,4092,27992,4577,143407,848,172406,310M100US20940
310M100US21060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elizabethtown, KY Metro Area",2800,4927,1012,820,147,89,1669,1866,1670,1955,3588,9288,1891,6536,3951,15824,2088,4837,1137,2170,2310,7007,4437,25606,3940,90061,1570,120594,310M100US21060
310M100US21140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elkhart-Goshen, IN Metro Area",467,533,881,1256,579,952,274,272,649,1224,1148,2540,2758,6092,3055,8632,2563,6558,4484,13757,5079,20315,6028,31427,5865,163495,726,195455,310M100US21140
310M100US21300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmira, NY Metro Area",14,17,640,714,322,536,385,529,433,1065,692,863,720,771,1007,1634,2237,5960,963,2664,2483,8624,2694,12037,2718,76202,409,88256,310M100US21300
310M100US21340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Paso, TX Metro Area",4126,13508,505,715,1049,1458,1319,2968,1616,4426,3347,12540,4680,17037,6298,29577,3236,9919,8760,73697,9934,83616,12355,118334,13447,662233,1611,794075,310M100US21340
310M100US21460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enterprise-Ozark, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US21460
310M100US21500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erie, PA Metro Area",400,415,151,133,1621,2976,138,185,1623,3161,1595,4892,1248,3503,2037,8395,3065,13997,2524,14207,4077,28204,5128,39893,5319,237164,832,277472,310M100US21500
310M100US21660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eugene-Springfield, OR Metro Area",1199,2909,324,451,1282,2290,1178,1705,1786,3995,1533,6795,1980,8177,2392,14972,2870,12159,4961,43437,5566,55596,5383,75014,5374,270851,1067,348774,310M100US21660
310M100US21700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eureka-Arcata-Fortuna, CA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US21700
310M100US21780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evansville, IN-KY Metro Area",426,578,782,1237,501,1002,815,1313,919,2315,1404,3326,1424,4041,2078,7367,3698,17121,3433,17750,4967,34871,5081,45790,5551,307308,1881,353676,310M100US21780
310M100US21820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks, AK Metro Area",565,959,1324,2235,333,319,327,214,427,533,1874,3599,961,2158,2307,5757,2110,6310,2339,7580,3056,13890,3472,22415,3363,73876,462,97250,310M100US21820
310M100US21940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fajardo, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US21940
310M100US22020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fargo, ND-MN Metro Area",1155,2032,962,3912,1438,2831,522,1199,1457,4030,980,2993,890,2733,1298,5726,2154,8781,2732,19410,3523,28191,3822,41859,4271,162165,1908,206056,310M100US22020
310M100US22100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farmington, MO Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US22100
310M100US22140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farmington, NM Metro Area",186,133,359,404,337,402,478,446,553,848,2123,3267,388,720,2163,3987,2322,4614,1754,4144,2827,8758,3046,13997,3063,113387,723,127517,310M100US22140
310M100US22180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville, NC Metro Area",2466,10834,1045,2075,2637,5966,1125,2284,2867,8250,3769,12933,1929,9552,4496,22485,2248,11633,5205,29877,6416,41510,8166,74320,8723,276205,1074,361359,310M100US22180
310M100US22220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",1364,2419,1263,3807,331,511,1440,2778,1440,3289,3004,8432,2622,9636,4077,18068,4985,26463,4987,39793,6693,66256,7333,91420,7592,366747,1830,460586,310M100US22220
310M100US22300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Findlay, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US22300
310M100US22380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff, AZ Metro Area",928,1375,270,226,1121,1380,1471,950,1893,2330,1498,4489,1233,4440,2169,8929,1971,5578,2027,7919,2510,13497,3781,24982,3972,106417,572,132774,310M100US22380
310M100US22420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flint, MI Metro Area",418,913,594,767,712,873,292,220,766,1093,2424,8816,1529,3671,2793,12487,6059,29552,4685,23482,7229,53034,7653,67381,7526,350209,1351,418503,310M100US22420
310M100US22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florence, SC Metro Area",194,163,926,1527,455,372,694,431,841,803,1930,4301,1025,2228,2322,6529,2807,10823,2856,7521,3898,18344,4880,27203,4900,175780,788,203146,310M100US22500
310M100US22520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florence-Muscle Shoals, AL Metro Area",146,83,439,706,1344,1881,341,297,1305,2178,2320,4169,948,2112,2479,6281,1983,7011,2603,7424,3073,14435,4225,23600,4249,121797,567,145480,310M100US22520
310M100US22540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fond du Lac, WI Metro Area",119,99,311,283,140,155,110,92,181,247,572,1547,323,420,721,1967,1007,3280,1600,4957,1816,8237,1878,10734,1992,90000,347,100833,310M100US22540
310M100US22580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forest City, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US22580
310M100US22660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Collins-Loveland, CO Metro Area",1232,2047,792,1861,444,747,839,1152,976,1899,3477,15568,2096,8151,4238,23719,1908,4103,4058,29825,4644,33928,5759,61407,6016,233813,946,297267,310M100US22660
310M100US22840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Payne, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US22840
310M100US22900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Smith, AR-OK Metro Area",431,366,885,2405,351,356,617,1111,709,1467,1899,4121,1222,2839,2055,6960,4140,24104,1848,6606,4471,30710,5015,41542,5099,254578,2594,296486,310M100US22900
310M100US23060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Wayne, IN Metro Area",902,1779,764,1294,856,2382,835,1637,1172,4019,1221,2992,972,3034,1590,6026,2239,10702,3323,29946,4169,40648,4792,51987,5253,355073,2673,408839,310M100US23060
310M100US23180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frankfort, KY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US23180
310M100US23420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fresno, CA Metro Area",1987,4966,303,321,152,113,161,166,219,279,2238,9471,3010,10951,3952,20422,6691,38651,8140,80207,9872,118858,10374,139880,10378,775401,1830,920247,310M100US23420
310M100US23460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gadsden, AL Metro Area",273,0,514,535,973,787,382,497,1018,1284,1432,2736,522,779,1529,3515,3302,7891,1494,3904,3465,11795,3796,17129,3752,85702,743,102831,310M100US23460
310M100US23540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gainesville, FL Metro Area",1658,3441,1000,1929,398,457,560,417,680,874,2857,15453,2374,10361,3633,25814,1829,8030,3262,30258,3637,38288,5038,66905,5154,193425,2964,263771,310M100US23540
310M100US23580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gainesville, GA Metro Area",346,258,911,2178,382,459,134,116,412,575,1449,3232,2174,4076,2663,7308,2802,10045,2236,4618,3476,14663,4380,24724,4726,151635,1145,176617,310M100US23580
310M100US23660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Galesburg, IL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US23660
310M100US23700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallup, NM Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US23700
310M100US23900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gettysburg, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US23900
310M100US24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glens Falls, NY Metro Area",264,281,531,714,398,729,345,340,498,1069,1097,3376,669,1205,1271,4581,1994,8716,977,1784,2187,10500,2796,16864,2768,110676,433,127821,310M100US24020
310M100US24140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goldsboro, NC Metro Area",414,540,873,1250,474,1032,277,362,568,1394,1121,3145,839,2282,1473,5427,2350,7666,1716,6522,2916,14188,3187,22259,3215,98398,519,121197,310M100US24140
310M100US24220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Forks, ND-MN Metro Area",888,1354,733,1748,565,803,875,970,1019,1773,713,1976,1014,2877,1322,4853,1463,3648,1562,6991,2057,10639,2256,19013,2175,78284,1087,98651,310M100US24220
310M100US24260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Island, NE Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US24260
310M100US24300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Junction, CO Metro Area",123,102,1014,2075,1079,1042,767,1275,1279,2317,1568,3698,834,1988,1610,5686,2115,8835,2640,7603,3427,16438,3977,26516,3970,118465,560,145083,310M100US24300
310M100US24340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Rapids-Wyoming, MI Metro Area",1051,2661,500,1320,1003,2755,919,1589,1499,4344,2765,14558,2497,7850,3728,22408,4474,39145,5949,42552,6992,81697,7131,109769,7493,653698,1171,766128,310M100US24340
310M100US24420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grants Pass, OR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US24420
310M100US24500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Falls, MT Metro Area",354,371,727,1267,916,1377,265,301,940,1678,1270,3029,1081,2668,1540,5697,1190,1829,1771,7067,2297,8896,2791,17538,2828,62585,358,80494,310M100US24500
310M100US24540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeley, CO Metro Area",741,1091,707,903,1541,1333,641,737,1630,2070,2663,8850,2495,8027,3423,16877,2726,8462,2860,14097,3658,22559,4642,42409,4831,207155,911,250655,310M100US24540
310M100US24580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Green Bay, WI Metro Area",762,1184,777,1297,607,1073,223,362,622,1435,1320,4049,736,1899,1428,5948,3001,18159,3037,14133,3649,32292,3853,40972,3923,260529,936,302685,310M100US24580
310M100US24620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeneville, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US24620
310M100US24660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greensboro-High Point, NC Metro Area",1332,2738,1039,2014,1331,3210,1448,2669,2049,5879,2585,11365,2090,10203,3351,21568,3531,21930,5388,39414,6203,61344,7458,90805,7940,622898,1325,716441,310M100US24660
310M100US24780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenville, NC Metro Area",393,391,1139,1735,775,1573,1102,2420,1476,3993,1608,5270,1281,4352,2084,9622,2175,7772,3262,13480,3796,21252,4194,36602,4329,151025,836,188018,310M100US24780
310M100US24860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenville-Mauldin-Easley, SC Metro Area",1039,2006,1295,1422,1181,3511,1241,2113,1535,5624,4668,19812,2250,9486,5270,29298,5231,46426,3232,16850,5851,63276,7234,99620,7552,529422,1204,631048,310M100US24860
310M100US24940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenwood, SC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US24940
310M100US25020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guayama, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US25020
310M100US25060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gulfport-Biloxi, MS Metro Area",713,1160,744,1339,526,927,859,759,884,1686,2712,8825,2484,9099,3556,17924,3352,11436,3408,14612,4998,26048,5661,46997,6873,199079,3469,247236,310M100US25060
310M100US25180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hagerstown-Martinsburg, MD-WV Metro Area",880,1089,276,352,622,675,259,256,616,931,1271,5269,1045,2697,1611,7966,2708,13875,2927,13017,3808,26892,3973,36141,4622,226644,2629,263874,310M100US25180
310M100US25220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hammond, LA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US25220
310M100US25260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hanford-Corcoran, CA Metro Area",413,473,144,92,132,80,59,35,169,115,1047,3526,1213,2840,2071,6366,1988,4944,2998,8220,3636,13164,4339,19737,4400,131094,581,151304,310M100US25260
310M100US25420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrisburg-Carlisle, PA Metro Area",836,2048,154,165,1165,3932,826,1663,1536,5595,3274,14863,2159,7221,4491,22084,4560,42758,3006,12181,5092,54939,6852,82783,6773,459649,1089,544480,310M100US25420
310M100US25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrisonburg, VA Metro Area",523,720,657,822,844,1031,164,138,845,1169,1241,4838,978,1478,1555,6316,2600,8317,1734,4447,3246,12764,3667,21071,3938,102605,576,124396,310M100US25500
310M100US25540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartford-West Hartford-East Hartford, CT Metro Area",1751,6127,1138,1102,700,1881,757,1385,1023,3266,3451,23754,2325,13445,4588,37199,6450,64996,5331,39559,8347,104555,9220,146122,9512,1048776,1746,1201025,310M100US25540
310M100US25620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hattiesburg, MS Metro Area",538,787,1363,2398,1229,2117,716,1056,1434,3173,1891,4155,844,1616,2017,5771,1945,5991,1915,6404,2611,12395,3531,23737,3814,119403,1908,143927,310M100US25620
310M100US25740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Helena, MT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US25740
310M100US25860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hickory-Lenoir-Morganton, NC Metro Area",224,219,494,738,680,1162,437,488,821,1650,822,2011,1801,4971,1985,6982,3978,20773,2667,9141,4467,29914,5154,39284,5163,322276,882,361779,310M100US25860
310M100US25900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hilo, HI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US25900
310M100US25940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hilton Head Island-Beaufort, SC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US25940
310M100US25980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hinesville-Fort Stewart, GA Metro Area",670,898,429,455,830,807,1490,1562,1705,2369,1484,3906,2207,3720,2369,7626,1071,2040,1275,3302,1672,5342,2864,15792,3964,56472,3119,73162,310M100US25980
310M100US26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holland-Grand Haven, MI Metro Area",329,558,277,309,1166,1985,1221,1769,1618,3754,2014,7027,2162,6935,3001,13962,2526,12655,1607,3734,2901,16389,4838,34414,5103,226211,636,261183,310M100US26100
310M100US26140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homosassa Springs, FL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US26140
310M100US26180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Honolulu, HI Metro Area",4632,16081,444,502,1474,5313,981,2736,1898,8049,3751,22822,3245,17869,5295,40691,6078,44603,4281,37456,7285,82059,8692,131301,8614,796021,1339,943403,310M100US26180
310M100US26300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Springs, AR Metro Area",392,253,1240,1491,210,210,594,447,613,657,1211,1587,1004,1508,1563,3095,2530,5820,1863,6434,2830,12254,3197,17497,3175,77844,324,95594,310M100US26300
