ucgid,B07201_014EA,B07201_014MA,B07201_013MA,B07201_013EA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010EA,B07201_010MA,B07201_009EA,B07201_009MA,B07201_008MA,B07201_008EA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US49500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yauco, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US49500
3100000US49620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"York-Hanover, PA Metro Area",1132,1800,165,188,1307,2677,146,90,1296,2767,2158,11057,1520,4883,2661,15940,4419,17772,2811,13412,5016,31184,5537,50079,5701,343951,778,395830,3100000US49620
3100000US49660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Youngstown-Warren-Boardman, OH-PA Metro Area",274,461,648,803,1095,2541,328,415,1260,2956,2051,7057,1789,5539,2985,12596,4472,29166,3378,16788,5059,45954,6354,62309,6670,500230,1107,563000,3100000US49660
3100000US49700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City, CA Metro Area",649,1269,124,69,226,227,524,524,560,751,1908,5040,1555,3308,2287,8348,3756,14234,1692,5820,3973,20054,4204,29222,4147,120698,577,151189,3100000US49700
3100000US49740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma, AZ Metro Area",1509,2008,566,933,268,225,28,16,260,241,1855,4552,1607,5544,2525,10096,1499,3801,3710,18194,4057,21995,5142,33265,5394,137358,905,172631,3100000US49740
3100000US49780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zanesville, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US49780
3100000US10140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US10140
3100000US10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abilene, TX Metro Area",600,753,980,1442,447,340,517,674,650,1014,1684,3652,1425,3603,2330,7255,1302,3679,2347,16342,2917,20021,3983,29732,4110,112857,1254,143342,3100000US10180
3100000US10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adrian, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US10300
3100000US10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US10380
3100000US10420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akron, OH Metro Area",669,1572,520,601,569,1353,472,931,731,2284,3493,14853,1393,5740,4094,20593,4395,33251,4066,24709,5895,57960,7533,81438,7760,592773,1239,675783,3100000US10420
3100000US10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albany, GA Metro Area",532,670,1416,2136,579,872,299,244,657,1116,836,1552,1991,3708,2241,5260,2901,8280,2697,11348,4024,19628,4546,28140,5442,126374,4954,155184,3100000US10500
3100000US10540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albany-Lebanon, OR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US10540
3100000US10580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albany-Schenectady-Troy, NY Metro Area",1594,4051,816,1210,616,1056,641,992,881,2048,2389,14353,3662,16689,3955,31042,6949,51722,4768,29694,8516,81416,9268,115716,9577,686916,1570,806683,3100000US10580
3100000US10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albertville, AL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US10700
3100000US10740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albuquerque, NM Metro Area",2525,7659,1442,2564,1332,2732,856,2170,1503,4902,2904,13358,2902,15005,3904,28363,4867,25928,11501,88425,11833,114353,12581,150182,13168,617142,3299,774983,3100000US10740
3100000US10780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alexandria, LA Metro Area",319,348,538,933,750,646,433,438,859,1084,885,1638,1367,3077,1571,4715,2220,8452,3220,8702,3853,17154,3951,23886,3931,116232,2146,140466,3100000US10780
3100000US10880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allegan, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US10880
3100000US10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1510,3667,401,428,912,1810,315,836,959,2646,3373,18527,2719,9674,4991,28201,5358,34779,5756,28388,7713,63167,8319,94442,8824,660106,1447,758215,3100000US10900
3100000US11020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altoona, PA Metro Area",67,64,593,483,165,104,93,102,187,206,906,1953,298,466,1000,2419,1604,4485,1690,4965,1995,9450,2161,12558,2169,108636,468,121258,3100000US11020
3100000US11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amarillo, TX Metro Area",1045,1534,747,1114,666,871,1520,2678,1624,3549,1019,2528,1665,4931,1889,7459,1700,4458,4212,25109,4293,29567,4892,41689,5184,180341,1616,223564,3100000US11100
3100000US11180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ames, IA Metro Area",551,1004,878,1418,238,263,485,752,537,1015,1644,3235,982,2137,1871,5372,528,1131,2123,11459,2081,12590,2449,20395,2334,47974,467,69373,3100000US11180
3100000US11260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage, AK Metro Area",840,1646,1363,3984,890,1144,1675,3477,1785,4621,2959,7950,1685,6796,3168,14746,1572,5735,5081,37439,4738,43174,4815,66525,5120,268359,1011,336530,3100000US11260
3100000US11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson, IN Metro Area",275,254,199,193,706,1162,174,142,721,1304,806,1862,897,1964,1202,3826,1458,4903,2027,6756,2351,11659,2580,16982,2599,106738,466,123974,3100000US11300
3100000US11340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson, SC Metro Area",340,228,779,843,292,281,699,1047,741,1328,1755,5773,1064,1428,1921,7201,2957,13264,1591,4256,3193,17520,4074,26892,4140,142519,663,169639,3100000US11340
3100000US11460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ann Arbor, MI Metro Area",1579,4636,212,209,337,644,442,633,521,1277,3152,12806,2223,10616,3640,23422,3516,17077,3360,20889,5096,37966,5336,62874,5774,247649,791,315159,3100000US11460
3100000US11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anniston-Oxford, AL Metro Area",190,218,559,550,992,1127,538,549,1115,1676,660,1713,339,549,724,2262,1631,5942,1776,4903,2359,10845,2538,15333,2878,92513,702,108064,3100000US11500
3100000US11540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Appleton, WI Metro Area",310,328,1127,1715,548,952,376,441,568,1393,1225,3665,1994,5229,2250,8894,2670,9102,1848,8295,3183,17397,4067,29399,4024,178654,634,208381,3100000US11540
3100000US11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asheville, NC Metro Area",1263,2309,805,1647,1041,1416,1011,1442,1550,2858,1855,6477,2137,6824,2898,13301,4043,24659,3175,13876,4660,38535,5731,56341,5896,317462,2733,376112,3100000US11700
3100000US11780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashtabula, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US11780
3100000US11980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athens, TX Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US11980
3100000US12020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athens-Clarke County, GA Metro Area",437,927,799,1859,154,89,778,861,778,950,1584,5603,1034,3576,1727,9179,2016,5844,3346,19425,3604,25269,3897,37257,5332,126270,3883,164454,3100000US12020
3100000US12060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atlanta-Sandy Springs-Marietta, GA Metro Area",4609,33181,3634,15792,2811,7650,2378,8921,3463,16571,9274,78404,12186,129268,13590,207672,24034,522802,14142,137017,26819,659819,30610,899854,30347,3817321,9119,4750356,3100000US12060
3100000US12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atlantic City, NJ Metro Area",1039,1316,268,0,162,137,299,256,346,393,2330,6445,1382,3125,2627,9570,4406,20588,1797,3126,3907,23714,4462,33677,4476,226583,875,261576,3100000US12100
3100000US12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US12180
3100000US12220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn-Opelika, AL Metro Area",739,1444,314,399,480,868,695,1271,828,2139,1764,5732,1851,5783,2477,11515,1872,3873,2178,12693,2682,16566,3276,30619,3318,85134,447,117197,3100000US12220
3100000US12260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Augusta-Richmond County, GA-SC Metro Area",1072,2587,1298,2412,427,602,436,668,640,1270,2868,8584,1837,5162,3516,13746,4576,29789,5633,29117,6823,58906,7720,76334,8890,421783,4356,500704,3100000US12260
3100000US12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Augusta-Waterville, ME Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US12300
3100000US12420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austin-Round Rock, TX Metro Area",2874,10951,1703,5051,796,2110,875,2682,1074,4792,3955,26161,5512,46076,6657,72237,7967,65630,12610,165914,15292,231544,15510,313624,15726,1057818,5805,1382393,3100000US12420
3100000US12540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bakersfield, CA Metro Area",3465,7491,739,1067,1290,1477,1395,1356,1926,2833,4266,17892,4524,19252,6130,37144,6120,39368,10230,56143,11492,95511,11254,136555,11696,566649,1812,710695,3100000US12540
3100000US12580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baltimore-Towson, MD Metro Area",3747,15739,535,938,1280,2890,2187,3962,2636,6852,5279,45287,4399,34653,6767,79940,10505,147816,11057,112872,14211,260688,13362,348418,13101,2184037,3473,2548194,3100000US12580
3100000US12620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bangor, ME Metro Area",294,310,771,1919,434,378,133,82,458,460,648,1452,1102,1786,1300,3238,1916,9398,1504,4151,2401,13549,2870,19166,3008,119561,440,139037,3100000US12620
3100000US12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable Town, MA Metro Area",970,1466,636,499,569,535,268,0,569,535,1600,4927,1127,2020,2087,6947,4016,11858,3533,4099,4877,15957,5037,23938,5380,193247,592,218651,3100000US12700
3100000US12940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baton Rouge, LA Metro Area",263,363,1122,2116,1216,2232,901,1976,1373,4208,2985,9792,3254,17233,4167,27025,6041,39404,8148,51897,10891,91301,11353,124650,11333,573059,3628,698072,3100000US12940
3100000US12980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Battle Creek, MI Metro Area",171,215,111,115,406,568,418,355,593,923,657,1858,500,865,867,2723,1085,2894,2156,9753,2388,12647,2554,16408,2578,116551,430,133174,3100000US12980
3100000US13020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bay City, MI Metro Area",166,156,1380,1475,480,473,393,608,618,1081,831,992,761,909,1077,1901,1361,2681,2012,6025,2437,8706,2764,13163,2764,93025,363,106344,3100000US13020
3100000US13140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beaumont-Port Arthur, TX Metro Area",617,999,573,854,401,340,390,509,532,849,1945,5989,3189,8911,3852,14900,4502,23515,4291,23332,6222,46847,6354,63450,7346,295663,3442,360112,3100000US13140
3100000US13180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beaver Dam, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US13180
3100000US13220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beckley, WV Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US13220
3100000US13380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellingham, WA Metro Area",741,1017,448,508,537,709,205,267,600,976,1620,5663,1103,3528,2123,9191,2519,9304,2536,12238,3485,21542,3548,32217,3573,143740,655,176974,3100000US13380
3100000US13460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bend, OR Metro Area",550,570,643,663,1148,2057,1312,1695,1882,3752,1678,3568,1191,3235,1993,6803,2146,6887,2798,9291,3729,16178,4206,27396,4279,110658,555,138624,3100000US13460
3100000US13740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billings, MT Metro Area",224,320,920,2446,206,212,1489,2016,1502,2228,639,1464,1075,2289,1257,3753,1549,6247,2410,13620,2855,19867,2958,28294,3370,113391,1354,142005,3100000US13740
3100000US13780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Binghamton, NY Metro Area",447,659,1535,2101,390,266,227,178,461,444,1470,4303,1338,3562,1914,7865,2509,12200,2132,8127,3170,20327,4137,30737,4132,204177,638,235573,3100000US13780
3100000US13820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham-Hoover, AL Metro Area",961,2002,469,792,1578,3164,945,1906,1819,5070,3687,13636,2946,13901,4659,27537,6646,70736,8687,69052,11100,139788,11756,173187,11586,881365,4041,1056554,3100000US13820
3100000US13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bismarck, ND Metro Area",175,111,544,999,357,384,787,663,878,1047,815,1126,874,1501,1090,2627,913,2467,1532,5433,1858,7900,2438,12573,2475,82599,379,95283,3100000US13900
3100000US13980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blacksburg-Christiansburg-Radford, VA Metro Area",561,769,536,854,430,526,152,119,462,645,1506,5783,1285,3128,2009,8911,2981,9542,2898,12227,4051,21769,3957,32179,4488,106460,2600,139408,3100000US13980
3100000US14020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington, IN Metro Area",520,948,268,0,365,299,586,776,709,1075,1321,3398,944,2343,1483,5741,1939,6473,2617,16376,3301,22849,3238,29665,4242,128486,2565,159099,3100000US14020
3100000US14060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington-Normal, IL Metro Area",619,1464,174,145,181,179,443,522,474,701,1869,4818,974,2744,2168,7562,1164,2678,2737,12793,2995,15471,3252,23879,3404,119469,573,144812,3100000US14060
3100000US14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomsburg-Berwick, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US14100
3100000US14140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bluefield, WV-VA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US14140
3100000US14260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boise City-Nampa, ID Metro Area",1494,3223,821,1942,1848,4033,2088,4266,2807,8299,2429,12360,3292,13779,4297,26139,4115,25970,7611,49662,8042,75632,8853,112012,8702,406331,3536,521566,3100000US14260
3100000US14460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metro Area",4681,35229,1030,2206,1467,4596,838,1851,1563,6447,6311,48827,4415,40623,8098,89450,18474,302625,10849,149300,19872,451925,19974,550028,20014,3627164,4155,4212421,3100000US14460
3100000US14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder, CO Metro Area",891,2082,1424,1755,452,686,480,730,646,1416,2636,8838,2049,9017,3490,17855,3408,15618,3153,16551,4851,32169,4970,53195,5282,212604,860,267881,3100000US14500
3100000US14540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bowling Green, KY Metro Area",293,925,1065,1638,1326,1439,409,414,1380,1853,1836,2493,1777,3054,2718,5547,1163,2286,1975,8557,2194,10843,3527,19881,3863,83503,1952,104309,3100000US14540
3100000US14580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bozeman, MT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US14580
3100000US14660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brainerd, MN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US14660
3100000US14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Branson, MO Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US14700
3100000US14740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bremerton-Silverdale, WA Metro Area",1059,1764,1286,1682,885,1190,605,667,1064,1857,3453,11670,2911,7130,4248,18800,3279,11973,2114,9608,3498,21581,4834,43920,4768,183890,600,229574,3100000US14740
3100000US14860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bridgeport-Stamford-Norwalk, CT Metro Area",2253,7616,152,159,394,491,268,0,394,491,2625,13980,4563,17398,5138,31378,3593,17934,6796,44657,7771,62591,8727,94619,8919,770663,1567,872898,3100000US14860
3100000US15180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brownsville-Harlingen, TX Metro Area",770,1532,513,549,1420,1568,1351,1440,2020,3008,2054,4707,1568,4006,2801,8713,2557,9041,7883,30515,8441,39556,8724,51826,8703,312733,1826,366091,3100000US15180
3100000US15260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brunswick, GA Metro Area",307,187,238,227,248,162,278,193,387,355,1482,2657,1380,2106,2027,4763,1765,4556,1524,4786,2058,9342,2951,14687,4369,76632,3219,91506,3100000US15260
3100000US15380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buffalo-Niagara Falls, NY Metro Area",885,2373,1001,1426,687,1882,1443,2018,1653,3900,1680,7309,2389,8211,2777,15520,5639,52109,8667,63686,10333,115795,10946,136641,10764,963103,1477,1102117,3100000US15380
3100000US15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burlington, NC Metro Area",266,243,1499,1133,268,0,268,0,268,0,1742,4768,1273,1913,2226,6681,2903,9026,2128,5718,3325,14744,3277,22558,3277,112215,647,135016,3100000US15500
3100000US15540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burlington-South Burlington, VT Metro Area",624,886,784,1804,913,1550,582,938,1142,2488,1021,2563,804,2285,1343,4848,2618,13211,2550,9440,3342,22651,3867,31791,3963,162882,1262,195559,3100000US15540
3100000US15940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Canton-Massillon, OH Metro Area",440,502,588,803,1558,3127,213,238,1583,3365,2805,8807,1238,3034,3242,11841,3602,20994,3477,20061,4663,41055,5193,57064,6037,338481,2608,396047,3100000US15940
3100000US15980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Coral-Fort Myers, FL Metro Area",1648,3779,1024,2113,677,1551,1472,2646,1542,4197,3594,20418,3824,16713,5213,37131,6085,20308,5918,38786,8209,59094,9263,102535,9614,426309,1123,532623,3100000US15980
3100000US16020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Girardeau-Jackson, MO-IL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US16020
3100000US16220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casper, WY Metro Area",228,274,412,577,268,0,667,958,667,958,389,492,920,1642,960,2134,562,1043,1733,6302,1783,7345,2120,11014,2189,55993,310,67281,3100000US16220
3100000US16300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cedar Rapids, IA Metro Area",418,627,844,1957,168,246,737,1064,773,1310,1229,3447,1781,5441,2287,8888,3049,11130,2483,12063,3888,23193,4374,35348,4256,200834,825,236809,3100000US16300
3100000US16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centralia, WA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US16500
3100000US16540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambersburg, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US16540
3100000US16580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Champaign-Urbana, IL Metro Area",938,2283,604,1379,603,747,819,1670,1065,2417,1419,5110,1625,4894,2354,10004,2895,10870,2465,17725,3633,28595,3909,42395,4438,150996,2186,195674,3100000US16580
3100000US16620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charleston, WV Metro Area",756,887,872,1136,2435,3359,424,383,2575,3742,1194,2927,1630,3173,1924,6100,4111,21999,1978,6076,4301,28075,4860,39053,5692,259331,2142,299271,3100000US16620
3100000US16700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charleston-North Charleston, SC Metro Area",1365,4012,624,1130,684,1508,908,1520,1069,3028,2519,14759,3864,19564,3943,34323,6128,35475,4424,26951,8332,62426,8912,100907,9125,461213,1455,566132,3100000US16700
3100000US16740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlotte-Gastonia-Concord, NC-SC Metro Area",2669,9598,1759,3117,2432,9606,2417,6356,3567,15962,4709,32121,5025,38150,6874,70271,6912,59502,10884,129203,12853,188705,13864,278055,14529,1181059,4164,1468712,3100000US16740
3100000US16820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlottesville, VA Metro Area",569,1019,1017,1418,836,922,459,502,920,1424,2075,6361,1939,5886,2632,12247,2610,14802,905,2183,2666,16985,3679,32074,4859,142148,4324,175241,3100000US16820
3100000US16860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chattanooga, TN-GA Metro Area",978,1479,1243,1532,1893,2736,777,1128,2026,3864,1584,6152,2574,6001,2714,12153,5531,33834,3515,20117,6863,53951,6919,71500,8187,397373,4475,470352,3100000US16860
3100000US16940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheyenne, WY Metro Area",65,37,196,107,186,257,193,170,249,427,701,1619,1388,2443,1553,4062,1044,1939,1997,6660,2234,8599,2526,13195,2628,67441,554,80673,3100000US16940
3100000US16980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",7738,57657,1206,5334,2780,9643,1691,6964,3096,16607,6055,52551,9012,91840,11288,144391,26120,579286,23152,527511,32160,1106797,34184,1273129,35728,7801422,7175,9132208,3100000US16980
3100000US17020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chico, CA Metro Area",279,593,878,986,1317,1497,767,954,1367,2451,1648,4696,2561,7196,2797,11892,2504,8687,4273,20403,4269,29090,5337,44419,5253,160379,779,205391,3100000US17020
3100000US17060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chillicothe, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US17060
3100000US17140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cincinnati-Middletown, OH-KY-IN Metro Area",2048,8259,2027,5417,1977,3612,1288,3571,2368,7183,3836,22313,5131,20991,5938,43304,13833,177640,8708,82272,16834,259912,17265,315816,17580,1674521,4224,1998596,3100000US17140
3100000US17220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksburg, WV Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US17220
3100000US17300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksville, TN-KY Metro Area",1597,4828,820,1506,1941,2789,599,940,2041,3729,2096,6850,2381,7781,2904,14631,3632,14441,3344,14766,5017,29207,5675,49073,5913,169804,2586,223705,3100000US17300
3100000US17420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland, TN Metro Area",134,76,1169,983,126,130,373,277,400,407,930,1444,1953,3813,2268,5257,1605,4217,1745,4655,2252,8872,3363,15519,3780,87216,2440,102811,3100000US17420
3100000US17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland-Elyria-Mentor, OH Metro Area",2178,8281,1038,1496,1315,3973,363,847,1353,4820,2620,18394,2430,15274,3449,33668,10036,137348,7960,84418,12971,221766,13148,261750,13621,1787853,2486,2057884,3100000US17460
3100000US17660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coeur d'Alene, ID Metro Area",201,230,646,946,520,608,453,618,700,1226,2007,4227,756,1484,1992,5711,2826,8545,1934,5834,3610,14379,4044,22262,4129,102398,441,124890,3100000US17660
3100000US17780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"College Station-Bryan, TX Metro Area",1165,2398,945,1952,1488,1228,459,667,1541,1895,1835,5181,1597,6565,2323,11746,1913,5420,2719,18068,3101,23488,4257,39081,5558,137620,3488,179099,3100000US17780
3100000US17820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, CO Metro Area",2164,6047,1098,2918,2242,4805,1122,3064,2557,7869,3860,19707,3081,19039,4518,38746,3343,15569,7216,66335,7516,81904,9129,131437,9324,423267,2904,560751,3100000US17820
3100000US17860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia, MO Metro Area",858,2284,263,414,567,643,1184,1344,1283,1987,1365,3569,1391,3158,2161,6727,1417,5555,2444,15851,2769,21406,3288,30534,3531,107735,1747,140553,3100000US17860
3100000US17900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia, SC Metro Area",1315,3840,1369,1640,1074,2949,1885,2642,2086,5591,2589,10767,3052,13915,3782,24682,7779,43492,6312,34129,8865,77621,10110,109534,10246,530963,5640,644337,3100000US17900
3100000US17940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US17940
3100000US17980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbus, GA-AL Metro Area",467,739,418,344,851,1147,873,1134,1055,2281,2194,6596,1435,4898,2652,11494,3868,10799,3736,17621,4054,28420,4491,42539,4672,226856,3883,270134,3100000US17980
3100000US18020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbus, IN Metro Area",304,363,1020,1010,266,406,577,850,670,1256,389,535,366,577,476,1112,920,1417,1765,5877,1885,7294,2094,10672,2116,60837,347,71872,3100000US18020
3100000US18140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbus, OH Metro Area",2698,9111,1936,6032,2424,6094,1124,4274,2674,10368,3117,20979,3915,20905,4846,41884,8219,99848,9216,135645,12306,235493,12823,293777,13196,1337603,2218,1640491,3100000US18140
3100000US18180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord, NH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US18180
3100000US18260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cookeville, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US18260
3100000US18300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coos Bay, OR Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US18300
3100000US18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corning, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US18500
