ucgid,B07201_014EA,B07201_014MA,B07201_013MA,B07201_013EA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010EA,B07201_010MA,B07201_009EA,B07201_009MA,B07201_008MA,B07201_008EA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US43780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Bend-Mishawaka, IN-MI Metro Area",1552,1485,155,171,408,780,298,293,512,1073,1792,4731,1223,4264,2129,8995,1871,7643,2740,12807,3314,20450,3832,30689,4005,268755,849,300929,3100000US43780
3100000US43860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southern Pines-Pinehurst, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US43860
3100000US43900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spartanburg, SC Metro Area",793,1471,232,258,308,290,600,1023,680,1313,1985,5035,935,2403,2255,7438,4016,18060,2116,8433,4469,26493,5231,35502,5617,219822,652,256795,3100000US43900
3100000US44060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spokane, WA Metro Area",1615,3060,1689,3303,838,1370,1001,2068,1333,3438,2297,8028,2378,8068,3503,16096,3400,18185,5577,41435,6466,59620,7057,82457,7016,334947,911,420464,3100000US44060
3100000US44100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield, IL Metro Area",473,692,893,1767,488,749,652,949,804,1698,671,1268,852,2122,1121,3390,2152,6673,2738,15294,3418,21967,3755,28822,4226,170253,1703,199767,3100000US44100
3100000US44140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield, MA Metro Area",1496,3817,311,266,816,1109,146,153,834,1262,2030,8998,2087,7306,2810,16304,6632,53984,4561,25197,7653,79181,7648,97013,7781,544989,1223,645819,3100000US44140
3100000US44180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield, MO Metro Area",280,519,1644,3634,942,1705,1068,2558,1527,4263,1790,6587,2921,9257,3475,15844,3438,25223,3593,25297,4611,50520,5639,74261,6021,303380,2086,378160,3100000US44180
3100000US44220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield, OH Metro Area",175,247,86,52,478,498,268,0,478,498,1010,2935,351,326,1128,3261,1728,5465,2002,9323,2810,14788,2741,18599,2806,118306,690,137152,3100000US44220
3100000US44300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"State College, PA Metro Area",1019,1781,499,499,597,1028,380,523,737,1551,1828,5597,2327,5219,2884,10816,1772,6102,2012,8807,2510,14909,3165,27775,3115,93151,470,122707,3100000US44300
3100000US44380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Statesville-Mooresville, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US44380
3100000US44420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Staunton-Waynesboro, VA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US44420
3100000US44700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stockton, CA Metro Area",2751,6901,960,949,1334,1128,524,557,1590,1685,2896,11211,3620,17610,4194,28821,6257,33174,8271,62334,10738,95508,10803,126963,11064,500957,1595,634821,3100000US44700
