ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M600US28660,"Killeen-Temple, TX Metro Area",310M600US28660,,1751,,3866,,1297,,3125,,1166,,1983,,794,,1524,,1517,,3507,,4041,,21230,,3913,,18009,,5182,,39239,,5579,,23592,,7162,,28373,,7805,,51965,,8254,,97836,,8593,,378460,,2775,,480162
310M600US28700,"Kingsport-Bristol, TN-VA Metro Area",310M600US28700,,276,,363,,869,,1687,,1208,,2190,,298,,489,,1175,,2679,,2629,,7889,,1649,,4034,,3140,,11923,,2636,,11931,,1890,,5346,,3098,,17277,,4332,,33566,,4116,,270970,,2243,,304899
310M600US28740,"Kingston, NY Metro Area",310M600US28740,,227,,255,,993,,1974,,983,,1265,,217,,0,,983,,1265,,1007,,2733,,1812,,5798,,2027,,8531,,1112,,2220,,1239,,2026,,1710,,4246,,3008,,16016,,3322,,164233,,693,,180504
310M600US28900,"Klamath Falls, OR Micro Area",310M600US28900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M600US28940,"Knoxville, TN Metro Area",310M600US28940,,599,,1064,,2465,,3216,,1207,,3490,,2293,,2849,,2861,,6339,,3272,,20335,,2822,,13096,,4473,,33431,,5550,,45221,,3369,,19608,,6807,,64829,,9763,,107815,,9656,,775415,,2470,,884294
310M600US29020,"Kokomo, IN Metro Area",310M600US29020,,208,,0,,725,,609,,255,,366,,187,,121,,311,,487,,840,,1180,,518,,640,,960,,1820,,821,,994,,2040,,5681,,2348,,6675,,2618,,9591,,2639,,73418,,449,,83009
310M600US29100,"La Crosse-Onalaska, WI-MN Metro Area",310M600US29100,,337,,374,,1778,,3349,,464,,1028,,127,,110,,475,,1138,,970,,2338,,1058,,2836,,1270,,5174,,2148,,4452,,1263,,5054,,2465,,9506,,3302,,19167,,3279,,118001,,555,,137542
310M600US29180,"Lafayette, LA Metro Area",310M600US29180,,945,,1231,,667,,786,,712,,1029,,1869,,3393,,2047,,4422,,4009,,7673,,1389,,3940,,4558,,11613,,5220,,21197,,4192,,18305,,6963,,39502,,8244,,56323,,8146,,416255,,1674,,473809
310M600US29200,"Lafayette-West Lafayette, IN Metro Area",310M600US29200,,922,,2330,,707,,1313,,537,,1276,,755,,1088,,888,,2364,,2184,,10699,,1630,,5176,,2948,,15875,,2111,,7216,,3115,,18161,,3601,,25377,,3944,,44929,,4344,,174571,,1988,,221830
310M600US29300,"LaGrange, GA-AL Micro Area",310M600US29300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
