ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M700US10140,"Aberdeen, WA Micro Area",310M700US10140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US10180,"Abilene, TX Metro Area",310M700US10180,,697,,893,,273,,690,,1098,,1816,,557,,802,,1225,,2618,,1172,,4135,,1757,,5145,,1991,,9280,,1170,,3124,,3480,,12837,,3565,,15961,,4334,,28549,,5036,,148233,,2838,,177675
310M700US10300,"Adrian, MI Micro Area",310M700US10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US10380,"Aguadilla, PR Metro Area",310M700US10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US10420,"Akron, OH Metro Area",310M700US10420,,1101,,2622,,615,,606,,372,,618,,503,,848,,617,,1466,,2958,,19513,,1949,,6501,,3395,,26014,,4189,,26611,,3416,,15500,,5579,,42111,,7357,,70197,,7597,,619383,,1396,,692202
310M700US10460,"Alamogordo, NM Micro Area",310M700US10460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US10500,"Albany, GA Metro Area",310M700US10500,,190,,146,,384,,578,,436,,399,,410,,357,,612,,756,,874,,2411,,1805,,4002,,2089,,6413,,2426,,6111,,2502,,8748,,3484,,14859,,4161,,22606,,4771,,123377,,2069,,146129
310M700US10540,"Albany, OR Metro Area",310M700US10540,,298,,221,,122,,91,,280,,276,,163,,125,,381,,401,,1611,,3962,,1036,,3437,,1759,,7399,,1206,,2625,,1783,,3914,,2049,,6539,,2758,,14430,,2681,,115252,,714,,129903
310M700US10580,"Albany-Schenectady-Troy, NY Metro Area",310M700US10580,,1842,,5261,,513,,761,,1714,,4325,,615,,1201,,1863,,5526,,3220,,19200,,2377,,9984,,3925,,29184,,5615,,42106,,4321,,21633,,7377,,63739,,8481,,99210,,8824,,792767,,1184,,897238
310M700US10620,"Albemarle, NC Micro Area",310M700US10620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US10700,"Albertville, AL Micro Area",310M700US10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US10740,"Albuquerque, NM Metro Area",310M700US10740,,1910,,4274,,1057,,1651,,479,,1095,,1485,,3396,,1600,,4491,,3033,,11823,,3188,,14615,,4131,,26438,,4484,,16795,,7829,,53821,,9211,,70616,,10776,,103196,,11449,,806711,,3281,,914181
310M700US10780,"Alexandria, LA Metro Area",310M700US10780,,407,,1096,,2762,,2245,,101,,377,,760,,538,,766,,915,,882,,2946,,1072,,2351,,1439,,5297,,2256,,4960,,1807,,4819,,2874,,9779,,3382,,18236,,3267,,127563,,665,,146895
310M700US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M700US10900,,1621,,3645,,255,,268,,963,,2031,,578,,610,,1219,,2641,,3271,,16326,,2929,,9720,,4514,,26046,,4376,,28031,,4254,,18914,,6024,,46945,,7676,,75900,,8519,,786605,,1737,,866150
310M700US11020,"Altoona, PA Metro Area",310M700US11020,,268,,313,,597,,553,,162,,274,,136,,109,,182,,383,,1039,,3109,,175,,567,,989,,3676,,2019,,7264,,1959,,4397,,2721,,11661,,2921,,16273,,2843,,102667,,391,,119253
310M700US11100,"Amarillo, TX Metro Area",310M700US11100,,427,,472,,670,,1889,,338,,265,,453,,877,,598,,1142,,1367,,2121,,1319,,3385,,1813,,5506,,2942,,5113,,4205,,20104,,4983,,25217,,5237,,33754,,5624,,236993,,1721,,271219
310M700US11180,"Ames, IA Metro Area",310M700US11180,,831,,1514,,678,,1939,,136,,234,,299,,392,,334,,626,,2077,,8243,,1517,,4239,,2497,,12482,,865,,1949,,1991,,8623,,2194,,10572,,3012,,25619,,3000,,97509,,288,,124642
310M700US11200,"Amherst Town-Northampton, MA Metro Area",310M700US11200,,850,,1655,,91,,52,,647,,796,,246,,178,,711,,974,,1988,,12298,,1568,,5159,,2401,,17457,,1231,,3256,,1950,,9897,,2081,,13153,,2764,,31636,,2998,,128086,,396,,161377
310M700US11260,"Anchorage, AK Metro Area",310M700US11260,,2301,,3615,,1719,,3536,,1628,,2035,,481,,697,,1737,,2732,,2532,,7769,,2652,,5492,,3380,,13261,,1415,,6158,,5368,,33479,,5642,,39637,,7087,,59166,,7119,,333481,,1214,,396262
310M700US11360,"Anderson Creek, NC Micro Area",310M700US11360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US11460,"Ann Arbor, MI Metro Area",310M700US11460,,1682,,5813,,1033,,1780,,715,,1915,,213,,244,,736,,2159,,2430,,18384,,2875,,12953,,3779,,31337,,2889,,14789,,3385,,17747,,4531,,32536,,5868,,67812,,5937,,289554,,697,,363179
310M700US11500,"Anniston-Oxford, AL Metro Area",310M700US11500,,431,,357,,238,,279,,572,,742,,183,,117,,606,,859,,1176,,3387,,987,,1931,,1669,,5318,,1427,,3996,,919,,2051,,1686,,6047,,2068,,12503,,2194,,102292,,531,,115152
310M700US11540,"Appleton, WI Metro Area",310M700US11540,,574,,548,,552,,809,,291,,330,,678,,624,,731,,954,,1024,,3586,,880,,3014,,1427,,6600,,1937,,7912,,1323,,4186,,2438,,12098,,2851,,20461,,3082,,223120,,708,,244129
310M700US11640,"Arecibo, PR Metro Area",310M700US11640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M700US11700,"Asheville, NC Metro Area",310M700US11700,,932,,2156,,967,,2216,,619,,1420,,208,,355,,627,,1775,,2869,,8621,,1943,,7260,,3521,,15881,,2909,,14444,,2063,,7117,,3614,,21561,,5166,,41433,,5263,,369007,,1717,,412596
