NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Binghamton, NY",344.0,1004.0,99.0,319.0,418.0,6501.0,3676.0,10177.0,12214.0,4052.0,16266.0,27865.0,215133.0,243342.0
"Birmingham-Hoover, AL",2637.0,2332.0,4713.0,1035.0,5748.0,14271.0,17647.0,31918.0,65200.0,31369.0,96569.0,136567.0,966910.0,1106114.0
"Bismarck, ND",145.0,2721.0,406.0,471.0,877.0,1271.0,2598.0,3869.0,2235.0,7173.0,9408.0,16875.0,115725.0,132745.0
"Blacksburg-Christiansburg, VA",1269.0,1385.0,388.0,71.0,459.0,10212.0,4423.0,14635.0,6171.0,7467.0,13638.0,30117.0,134604.0,165990.0
"Bloomington, IL",960.0,1140.0,815.0,274.0,1089.0,7197.0,3320.0,10517.0,6646.0,4453.0,11099.0,23845.0,144392.0,169197.0
"Bloomington, IN",1416.0,536.0,1096.0,230.0,1326.0,7606.0,5447.0,13053.0,5334.0,12634.0,17968.0,32883.0,126150.0,160449.0
"Bloomsburg-Berwick, PA",51.0,0.0,761.0,80.0,841.0,4694.0,1560.0,6254.0,2595.0,1076.0,3671.0,10766.0,71649.0,82466.0
"Bluefield, WV-VA Micro Area",,,,,,,,,,,,,,
"Boise City, ID",4748.0,3023.0,4599.0,1939.0,6538.0,21979.0,12246.0,34225.0,46708.0,29930.0,76638.0,120424.0,681235.0,806407.0
"Boston-Cambridge-Newton, MA-NH",56304.0,2440.0,6149.0,2585.0,8734.0,91132.0,59536.0,150668.0,287102.0,126462.0,413564.0,575406.0,4222834.0,4854544.0
"Boulder, CO",2408.0,339.0,1158.0,242.0,1400.0,18271.0,15996.0,34267.0,13218.0,21357.0,34575.0,70581.0,252495.0,325484.0
"Bowling Green, KY",2236.0,3570.0,521.0,77.0,598.0,6081.0,3483.0,9564.0,9920.0,10675.0,20595.0,34327.0,145539.0,182102.0
"Bozeman, MT Micro Area",,,,,,,,,,,,,,
"Brainerd, MN Micro Area",,,,,,,,,,,,,,
"Bremerton-Silverdale-Port Orchard, WA",814.0,56.0,1130.0,236.0,1366.0,9149.0,9330.0,18479.0,15341.0,11336.0,26677.0,46578.0,227328.0,274720.0
"Bridgeport-Stamford-Norwalk, CT",8214.0,0.0,907.0,248.0,1155.0,25755.0,21917.0,47672.0,14529.0,34453.0,48982.0,97809.0,845724.0,951747.0
"Brownsville-Harlingen, TX",2411.0,604.0,356.0,1286.0,1642.0,3249.0,5221.0,8470.0,8847.0,18311.0,27158.0,37874.0,379566.0,419851.0
"Brunswick, GA",77.0,32.0,388.0,443.0,831.0,2772.0,1053.0,3825.0,6517.0,2452.0,8969.0,13657.0,95712.0,109446.0
"Buffalo-Cheektowaga, NY",4717.0,471.0,3439.0,1619.0,5058.0,14800.0,13207.0,28007.0,43147.0,29367.0,72514.0,106050.0,1038116.0,1148883.0
