NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Houston-The Woodlands-Sugar Land, TX",58252.0,9044.0,5401.0,9111.0,14512.0,74147.0,83799.0,157946.0,358427.0,409764.0,768191.0,949693.0,5889689.0,6897634.0
"Huntington-Ashland, WV-KY-OH",685.0,2256.0,1374.0,99.0,1473.0,2806.0,1425.0,4231.0,21797.0,5408.0,27205.0,35165.0,314696.0,350546.0
"Huntsville, AL",1286.0,1597.0,2670.0,1309.0,3979.0,11381.0,10937.0,22318.0,24047.0,25850.0,49897.0,77791.0,379793.0,458870.0
"Huntsville, TX Micro Area",,,,,,,,,,,,,,
"Hutchinson, KS Micro Area",,,,,,,,,,,,,,
"Idaho Falls, ID",146.0,1667.0,1494.0,1349.0,2843.0,4673.0,2334.0,7007.0,7405.0,8888.0,16293.0,27810.0,118371.0,146327.0
"Indiana, PA Micro Area",,,,,,,,,,,,,,
"Indianapolis-Carmel-Anderson, IN",11122.0,3244.0,4675.0,3965.0,8640.0,31420.0,29919.0,61339.0,101840.0,130327.0,232167.0,305390.0,1706571.0,2023083.0
"Jonesboro, AR",463.0,2064.0,996.0,1086.0,2082.0,1246.0,1314.0,2560.0,6522.0,19308.0,25830.0,32536.0,98015.0,131014.0
"Joplin, MO",570.0,1605.0,527.0,597.0,1124.0,5284.0,3050.0,8334.0,11254.0,5937.0,17191.0,28254.0,147613.0,176437.0
"Kahului-Wailuku-Lahaina, HI",828.0,60.0,1101.0,273.0,1374.0,2100.0,3587.0,5687.0,6498.0,3983.0,10481.0,17602.0,148088.0,166518.0
"Ithaca, NY",2503.0,570.0,511.0,1153.0,1664.0,7646.0,4053.0,11699.0,6927.0,5387.0,12314.0,26247.0,73136.0,101886.0
"Jackson, MI",272.0,961.0,1454.0,398.0,1852.0,4662.0,2786.0,7448.0,5893.0,2623.0,8516.0,18777.0,138948.0,157997.0
"Jackson, MS",2038.0,2305.0,2220.0,2226.0,4446.0,6476.0,6896.0,13372.0,28758.0,25338.0,54096.0,74219.0,501484.0,577741.0
"Jackson, TN",9.0,2974.0,386.0,1081.0,1467.0,3135.0,1357.0,4492.0,2459.0,6933.0,9392.0,18325.0,109645.0,127979.0
"Jacksonville, FL",9970.0,4091.0,3093.0,2292.0,5385.0,44607.0,35079.0,79686.0,51922.0,125012.0,176934.0,266096.0,1242158.0,1518224.0
"Jacksonville, NC",3977.0,1359.0,2235.0,662.0,2897.0,20620.0,7486.0,28106.0,10108.0,5791.0,15899.0,48261.0,141588.0,193826.0
"Jamestown-Dunkirk-Fredonia, NY Micro Area",,,,,,,,,,,,,,
"Janesville-Beloit, WI",383.0,241.0,721.0,618.0,1339.0,3126.0,3475.0,6601.0,4458.0,12541.0,16999.0,25180.0,136381.0,161944.0
"Jefferson, GA Micro Area",,,,,,,,,,,,,,
"Jefferson City, MO",103.0,1466.0,726.0,315.0,1041.0,3517.0,3261.0,6778.0,4671.0,3488.0,8159.0,17444.0,131363.0,148910.0
"Johnson City, TN",2201.0,603.0,714.0,846.0,1560.0,3898.0,5285.0,9183.0,13993.0,9097.0,23090.0,34436.0,165793.0,202430.0
"Johnstown, PA",460.0,157.0,622.0,268.0,890.0,2523.0,865.0,3388.0,5277.0,2238.0,7515.0,11950.0,118285.0,130695.0
"Aberdeen, WA Micro Area",,,,,,,,,,,,,,
"Abilene, TX",958.0,1392.0,721.0,1396.0,2117.0,6223.0,5756.0,11979.0,4196.0,20093.0,24289.0,39777.0,131071.0,171806.0
"Adrian, MI Micro Area",,,,,,,,,,,,,,
"Aguadilla-Isabela, PR",,,,,,,,,,,,,,
"Akron, OH",1528.0,342.0,2930.0,447.0,3377.0,16692.0,7594.0,24286.0,39307.0,25509.0,64816.0,92821.0,603191.0,697540.0
"Alamogordo, NM Micro Area",,,,,,,,,,,,,,
"Albany, GA",187.0,724.0,657.0,515.0,1172.0,2519.0,3098.0,5617.0,6948.0,13526.0,20474.0,27987.0,120924.0,149098.0
"Albany, OR",175.0,220.0,460.0,101.0,561.0,6056.0,4173.0,10229.0,9459.0,2703.0,12162.0,23172.0,102903.0,126250.0
"Albany-Schenectady-Troy, NY",3897.0,1164.0,3102.0,1452.0,4554.0,17984.0,11918.0,29902.0,46756.0,36295.0,83051.0,118671.0,752287.0,874855.0
"Albertville, AL Micro Area",,,,,,,,,,,,,,
"Albuquerque, NM",5900.0,1255.0,1896.0,5696.0,7592.0,13536.0,14195.0,27731.0,19890.0,58633.0,78523.0,115101.0,785580.0,906581.0
"Alexandria, LA",272.0,1326.0,95.0,740.0,835.0,3496.0,2343.0,5839.0,8347.0,7443.0,15790.0,23790.0,127210.0,151272.0
"Allentown-Bethlehem-Easton, PA-NJ",5375.0,473.0,2213.0,185.0,2398.0,16865.0,14301.0,31166.0,38267.0,21148.0,59415.0,93452.0,735882.0,834709.0
"Altoona, PA",167.0,647.0,472.0,220.0,692.0,2125.0,956.0,3081.0,2533.0,5322.0,7855.0,12275.0,108813.0,121255.0
"Amarillo, TX",905.0,1260.0,969.0,1521.0,2490.0,4955.0,2646.0,7601.0,4909.0,30145.0,35054.0,46405.0,217345.0,264655.0
"Ames, IA",635.0,1755.0,1301.0,806.0,2107.0,5757.0,2688.0,8445.0,2550.0,13296.0,15846.0,28153.0,68776.0,97564.0
"Anchorage, AK",3561.0,3986.0,986.0,1567.0,2553.0,7374.0,7558.0,14932.0,8838.0,33023.0,41861.0,63332.0,326692.0,393585.0
"Ann Arbor, MI",5730.0,543.0,1537.0,658.0,2195.0,17478.0,12566.0,30044.0,22057.0,22514.0,44571.0,77353.0,284615.0,367698.0
"Anniston-Oxford-Jacksonville, AL",115.0,710.0,1561.0,342.0,1903.0,1738.0,1552.0,3290.0,4473.0,6596.0,11069.0,16972.0,95357.0,112444.0
"Appleton, WI",221.0,238.0,909.0,410.0,1319.0,4046.0,3297.0,7343.0,8704.0,3934.0,12638.0,21538.0,213397.0,235156.0
"Arecibo, PR",,,,,,,,,,,,,,
"Asheville, NC",2236.0,1955.0,2047.0,995.0,3042.0,8070.0,9459.0,17529.0,21505.0,12175.0,33680.0,56206.0,397811.0,456253.0
"Ashtabula, OH Micro Area",,,,,,,,,,,,,,
"Athens, OH Micro Area",,,,,,,,,,,,,,
"Athens, TX Micro Area",,,,,,,,,,,,,,
"Athens-Clarke County, GA",565.0,1912.0,1406.0,1187.0,2593.0,12669.0,7628.0,20297.0,4182.0,14712.0,18894.0,43696.0,165828.0,210089.0
"Atlanta-Sandy Springs-Roswell, GA",32212.0,7663.0,8270.0,8026.0,16296.0,79755.0,90032.0,169787.0,487529.0,102120.0,589649.0,783395.0,5076590.0,5892197.0
"Atlantic City-Hammonton, NJ",1549.0,0.0,83.0,0.0,83.0,6161.0,4626.0,10787.0,15238.0,9103.0,24341.0,35211.0,226000.0,262760.0
"Auburn, NY Micro Area",,,,,,,,,,,,,,
"Auburn-Opelika, AL",1293.0,620.0,679.0,984.0,1663.0,7236.0,4891.0,12127.0,2644.0,7990.0,10634.0,25044.0,136361.0,162698.0
"Augusta-Richmond County, GA-SC",4235.0,3411.0,1897.0,777.0,2674.0,21650.0,10359.0,32009.0,25019.0,18422.0,43441.0,81535.0,512600.0,598370.0
"Augusta-Waterville, ME Micro Area",,,,,,,,,,,,,,
"Austin-Round Rock, TX",13625.0,5076.0,2367.0,5002.0,7369.0,51793.0,65133.0,116926.0,95792.0,153844.0,249636.0,379007.0,1753070.0,2145702.0
"Bakersfield, CA",4565.0,398.0,509.0,1442.0,1951.0,18715.0,15211.0,33926.0,31086.0,35675.0,66761.0,103036.0,776956.0,884557.0
"Baltimore-Columbia-Towson, MD",17484.0,3302.0,3183.0,2173.0,5356.0,57737.0,32321.0,90058.0,171502.0,99944.0,271446.0,370162.0,2385158.0,2772804.0
"Bangor, ME",659.0,3011.0,369.0,44.0,413.0,2596.0,2001.0,4597.0,11998.0,4364.0,16362.0,24383.0,124762.0,149804.0
"Barnstable Town, MA",693.0,789.0,1263.0,57.0,1320.0,6670.0,1601.0,8271.0,6720.0,2135.0,8855.0,19235.0,192162.0,212090.0
"Baton Rouge, LA",1887.0,2173.0,308.0,1566.0,1874.0,9678.0,8739.0,18417.0,41327.0,33665.0,74992.0,97456.0,720495.0,819838.0
"Battle Creek, MI",336.0,50.0,987.0,142.0,1129.0,4698.0,2163.0,6861.0,5732.0,5200.0,10932.0,18972.0,113755.0,133063.0
"Bellingham, WA",1103.0,397.0,2334.0,526.0,2860.0,8739.0,6520.0,15259.0,11819.0,17300.0,29119.0,47635.0,175044.0,223782.0
"Bend-Redmond, OR",558.0,82.0,1911.0,1426.0,3337.0,4653.0,5883.0,10536.0,2320.0,15677.0,17997.0,31952.0,157443.0,189953.0
"Billings, MT",251.0,3345.0,279.0,1382.0,1661.0,1614.0,2959.0,4573.0,2951.0,10503.0,13454.0,23033.0,147740.0,171024.0
"Binghamton, NY",1653.0,1328.0,235.0,31.0,266.0,6907.0,3225.0,10132.0,13711.0,7428.0,21139.0,32865.0,203486.0,238004.0
"Birmingham-Hoover, AL",2989.0,2513.0,2367.0,2195.0,4562.0,12491.0,18695.0,31186.0,73616.0,42398.0,116014.0,154275.0,978875.0,1136139.0
"Bismarck, ND",281.0,1908.0,212.0,187.0,399.0,1196.0,1971.0,3167.0,5980.0,7780.0,13760.0,19234.0,110931.0,130446.0
"Blacksburg-Christiansburg-Radford, VA",1486.0,1237.0,512.0,62.0,574.0,8052.0,3775.0,11827.0,4993.0,13233.0,18226.0,31864.0,147379.0,180729.0
"Bay City, MI",315.0,730.0,130.0,0.0,130.0,965.0,898.0,1863.0,3829.0,4854.0,8683.0,11406.0,91061.0,102782.0
"Beaumont-Port Arthur, TX",1207.0,1938.0,350.0,1756.0,2106.0,8361.0,5099.0,13460.0,22214.0,14329.0,36543.0,54047.0,348520.0,403774.0
