NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Elizabethtown, KY",1832.0,803.0,496.0,741.0,1237.0,3856.0,2398.0,6254.0,6345.0,3460.0,9805.0,18099.0,88092.0,108023.0
"Elkhart-Goshen, IN",2638.0,145.0,1586.0,749.0,2335.0,3057.0,3373.0,6430.0,4878.0,16468.0,21346.0,30256.0,161879.0,194773.0
"Elmira, NY",246.0,540.0,489.0,1087.0,1576.0,1927.0,1265.0,3192.0,4348.0,6083.0,10431.0,15739.0,71394.0,87379.0
"El Paso, TX",9262.0,417.0,792.0,1302.0,2094.0,10988.0,13369.0,24357.0,5144.0,64987.0,70131.0,96999.0,616434.0,722695.0
"Enterprise-Ozark, AL Micro Area",,,,,,,,,,,,,,
"Erie, PA",671.0,436.0,2815.0,646.0,3461.0,3524.0,3609.0,7133.0,10634.0,25757.0,36391.0,47421.0,228427.0,276519.0
"Eugene-Springfield, OR",2203.0,1311.0,1561.0,2230.0,3791.0,9205.0,11070.0,20275.0,12298.0,36713.0,49011.0,74388.0,256761.0,333352.0
"Eureka-Arcata-Fortuna, CA Micro Area",,,,,,,,,,,,,,
"Evansville, IN-KY",1316.0,2556.0,589.0,931.0,1520.0,2845.0,4217.0,7062.0,16090.0,25767.0,41857.0,52995.0,291799.0,346110.0
"Fairbanks, AK",1042.0,1397.0,243.0,53.0,296.0,3866.0,3767.0,7633.0,3519.0,5885.0,9404.0,18730.0,65845.0,85617.0
"Fajardo, PR",,,,,,,,,,,,,,
"Fargo, ND-MN",918.0,4068.0,1258.0,1916.0,3174.0,2955.0,3126.0,6081.0,11785.0,16846.0,28631.0,41954.0,141734.0,184606.0
"Farmington, NM",287.0,1838.0,211.0,823.0,1034.0,1090.0,3028.0,4118.0,4762.0,6825.0,11587.0,18577.0,105459.0,124323.0
"Fayetteville, NC",7382.0,1692.0,6193.0,1563.0,7756.0,11833.0,12803.0,24636.0,12903.0,29096.0,41999.0,76083.0,251760.0,335225.0
"Fayetteville-Springdale-Rogers, AR-MO",2184.0,4359.0,1818.0,2196.0,4014.0,9021.0,11402.0,20423.0,23201.0,42203.0,65404.0,94200.0,317508.0,413892.0
"Findlay, OH Micro Area",,,,,,,,,,,,,,
"Flagstaff, AZ",1338.0,2624.0,907.0,747.0,1654.0,3863.0,3198.0,7061.0,1893.0,11006.0,12899.0,24238.0,96453.0,122029.0
