NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Aberdeen, WA Micro Area",,,,,,,,,,,,,,
"Abilene, TX",893.0,690.0,1816.0,802.0,2618.0,4135.0,5145.0,9280.0,3124.0,12837.0,15961.0,28549.0,148233.0,177675.0
"Adrian, MI Micro Area",,,,,,,,,,,,,,
"Aguadilla, PR",,,,,,,,,,,,,,
"Akron, OH",2622.0,606.0,618.0,848.0,1466.0,19513.0,6501.0,26014.0,26611.0,15500.0,42111.0,70197.0,619383.0,692202.0
"Alamogordo, NM Micro Area",,,,,,,,,,,,,,
"Albany, GA",146.0,578.0,399.0,357.0,756.0,2411.0,4002.0,6413.0,6111.0,8748.0,14859.0,22606.0,123377.0,146129.0
"Albany, OR",221.0,91.0,276.0,125.0,401.0,3962.0,3437.0,7399.0,2625.0,3914.0,6539.0,14430.0,115252.0,129903.0
"Albany-Schenectady-Troy, NY",5261.0,761.0,4325.0,1201.0,5526.0,19200.0,9984.0,29184.0,42106.0,21633.0,63739.0,99210.0,792767.0,897238.0
"Albemarle, NC Micro Area",,,,,,,,,,,,,,
"Albertville, AL Micro Area",,,,,,,,,,,,,,
"Albuquerque, NM",4274.0,1651.0,1095.0,3396.0,4491.0,11823.0,14615.0,26438.0,16795.0,53821.0,70616.0,103196.0,806711.0,914181.0
"Alexandria, LA",1096.0,2245.0,377.0,538.0,915.0,2946.0,2351.0,5297.0,4960.0,4819.0,9779.0,18236.0,127563.0,146895.0
"Allentown-Bethlehem-Easton, PA-NJ",3645.0,268.0,2031.0,610.0,2641.0,16326.0,9720.0,26046.0,28031.0,18914.0,46945.0,75900.0,786605.0,866150.0
"Altoona, PA",313.0,553.0,274.0,109.0,383.0,3109.0,567.0,3676.0,7264.0,4397.0,11661.0,16273.0,102667.0,119253.0
"Amarillo, TX",472.0,1889.0,265.0,877.0,1142.0,2121.0,3385.0,5506.0,5113.0,20104.0,25217.0,33754.0,236993.0,271219.0
"Ames, IA",1514.0,1939.0,234.0,392.0,626.0,8243.0,4239.0,12482.0,1949.0,8623.0,10572.0,25619.0,97509.0,124642.0
"Amherst Town-Northampton, MA",1655.0,52.0,796.0,178.0,974.0,12298.0,5159.0,17457.0,3256.0,9897.0,13153.0,31636.0,128086.0,161377.0
"Anchorage, AK",3615.0,3536.0,2035.0,697.0,2732.0,7769.0,5492.0,13261.0,6158.0,33479.0,39637.0,59166.0,333481.0,396262.0
"Anderson Creek, NC Micro Area",,,,,,,,,,,,,,
"Ann Arbor, MI",5813.0,1780.0,1915.0,244.0,2159.0,18384.0,12953.0,31337.0,14789.0,17747.0,32536.0,67812.0,289554.0,363179.0
"Anniston-Oxford, AL",357.0,279.0,742.0,117.0,859.0,3387.0,1931.0,5318.0,3996.0,2051.0,6047.0,12503.0,102292.0,115152.0
"Appleton, WI",548.0,809.0,330.0,624.0,954.0,3586.0,3014.0,6600.0,7912.0,4186.0,12098.0,20461.0,223120.0,244129.0
"Arecibo, PR",,,,,,,,,,,,,,
"Asheville, NC",2156.0,2216.0,1420.0,355.0,1775.0,8621.0,7260.0,15881.0,14444.0,7117.0,21561.0,41433.0,369007.0,412596.0
"Athens, TN Micro Area",,,,,,,,,,,,,,
"Athens, TX Micro Area",,,,,,,,,,,,,,
"Athens-Clarke County, GA",1565.0,673.0,591.0,433.0,1024.0,10861.0,5563.0,16424.0,4625.0,19137.0,23762.0,41883.0,174830.0,218278.0
"Atlanta-Sandy Springs-Roswell, GA",42344.0,9301.0,9446.0,6411.0,15857.0,95829.0,99450.0,195279.0,393725.0,111730.0,505455.0,725892.0,5468795.0,6237031.0
"Atlantic City-Hammonton, NJ",5244.0,8.0,1369.0,0.0,1369.0,9136.0,2775.0,11911.0,15405.0,3437.0,18842.0,32130.0,328718.0,366092.0
"Auburn, NY Micro Area",,,,,,,,,,,,,,
"Auburn-Opelika, AL",1513.0,635.0,2613.0,1327.0,3940.0,6612.0,4954.0,11566.0,2853.0,7232.0,10085.0,26226.0,173366.0,201105.0
"Augusta-Richmond County, GA-SC",3401.0,1504.0,1327.0,1563.0,2890.0,19535.0,9740.0,29275.0,22390.0,26252.0,48642.0,82311.0,536196.0,621908.0
"Augusta-Waterville, ME Micro Area",,,,,,,,,,,,,,
"Austin-Round Rock-San Marcos, TX",23055.0,3667.0,3662.0,4328.0,7990.0,64015.0,69794.0,133809.0,69603.0,156054.0,225657.0,371123.0,2052268.0,2446446.0
"Bakersfield-Delano, CA",2743.0,228.0,1309.0,0.0,1309.0,14814.0,11201.0,26015.0,16961.0,29850.0,46811.0,74363.0,825251.0,902357.0
"Baltimore-Columbia-Towson, MD",15791.0,1161.0,3218.0,3162.0,6380.0,50806.0,38093.0,88899.0,114083.0,73070.0,187153.0,283593.0,2501615.0,2800999.0
"Bangor, ME",576.0,2615.0,298.0,44.0,342.0,3220.0,3286.0,6506.0,6077.0,2179.0,8256.0,17719.0,136317.0,154612.0
"Baraboo, WI Micro Area",,,,,,,,,,,,,,
"Barnstable Town, MA",1398.0,0.0,194.0,946.0,1140.0,6540.0,5196.0,11736.0,7150.0,2444.0,9594.0,22470.0,207455.0,231323.0
"Baton Rouge, LA",3313.0,673.0,1503.0,1202.0,2705.0,17429.0,8545.0,25974.0,37251.0,33777.0,71028.0,100380.0,761285.0,864978.0
"Battle Creek, MI",801.0,282.0,627.0,107.0,734.0,2742.0,1985.0,4727.0,3572.0,3668.0,7240.0,12983.0,117717.0,131501.0
"Bay City, MI",114.0,274.0,0.0,0.0,0.0,2035.0,923.0,2958.0,4166.0,1224.0,5390.0,8622.0,93025.0,101761.0
"Beaumont-Port Arthur, TX",1591.0,1429.0,308.0,993.0,1301.0,6046.0,5695.0,11741.0,20925.0,11525.0,32450.0,46921.0,341403.0,389915.0
"Beaver Dam, WI Micro Area",,,,,,,,,,,,,,
"Beckley, WV",414.0,1285.0,796.0,27.0,823.0,1182.0,978.0,2160.0,4579.0,2238.0,6817.0,11085.0,98880.0,110379.0
"Bellingham, WA",994.0,327.0,378.0,182.0,560.0,6115.0,6085.0,12200.0,6454.0,12125.0,18579.0,31666.0,197847.0,230507.0
"Bend, OR",1075.0,791.0,358.0,652.0,1010.0,7228.0,4851.0,12079.0,7426.0,8332.0,15758.0,29638.0,227726.0,258439.0
"Billings, MT",13.0,2193.0,230.0,394.0,624.0,2285.0,5022.0,7307.0,7451.0,9653.0,17104.0,27228.0,162090.0,189331.0
"Binghamton, NY",2145.0,817.0,991.0,535.0,1526.0,5185.0,2062.0,7247.0,9791.0,5409.0,15200.0,24790.0,214816.0,241751.0
"Birmingham, AL",2513.0,1329.0,2502.0,1753.0,4255.0,16468.0,12659.0,29127.0,70716.0,27943.0,98659.0,133370.0,1036238.0,1172121.0
"Bismarck, ND",794.0,1794.0,203.0,698.0,901.0,553.0,825.0,1378.0,3349.0,5611.0,8960.0,13033.0,119978.0,133805.0
"Blacksburg-Christiansburg-Radford, VA",959.0,1728.0,336.0,198.0,534.0,9004.0,3655.0,12659.0,4301.0,9065.0,13366.0,28287.0,150476.0,179722.0
"Bloomington, IL",834.0,72.0,1129.0,160.0,1289.0,7444.0,3101.0,10545.0,5474.0,6403.0,11877.0,23783.0,143746.0,168363.0
"Bloomington, IN",1627.0,789.0,2397.0,1018.0,3415.0,11066.0,6630.0,17696.0,4255.0,12640.0,16895.0,38795.0,119328.0,159750.0
"Bloomsburg-Berwick, PA Micro Area",,,,,,,,,,,,,,
"Bluefield, WV-VA Micro Area",,,,,,,,,,,,,,
"Boise City, ID",5097.0,1170.0,2613.0,3822.0,6435.0,17576.0,13632.0,31208.0,49708.0,27034.0,76742.0,115555.0,697993.0,818645.0
"Boston-Cambridge-Newton, MA-NH",48477.0,1982.0,5274.0,2411.0,7685.0,76288.0,52789.0,129077.0,258916.0,128382.0,387298.0,526042.0,4297494.0,4872013.0
"Boulder, CO",2403.0,724.0,649.0,200.0,849.0,16469.0,22686.0,39155.0,11339.0,14756.0,26095.0,66823.0,256163.0,325389.0
"Bowling Green, KY",1441.0,1352.0,904.0,1469.0,2373.0,6926.0,4055.0,10981.0,4974.0,6100.0,11074.0,25780.0,162790.0,190011.0
"Bozeman, MT",417.0,2488.0,776.0,168.0,944.0,4168.0,5227.0,9395.0,1475.0,6385.0,7860.0,20687.0,103640.0,124744.0
"Brainerd, MN Micro Area",,,,,,,,,,,,,,
"Bremerton-Silverdale-Port Orchard, WA",2053.0,389.0,1838.0,1132.0,2970.0,6849.0,7716.0,14565.0,9943.0,8654.0,18597.0,36521.0,237241.0,275815.0
"Bridgeport-Stamford-Danbury, CT",11885.0,312.0,383.0,303.0,686.0,17633.0,18029.0,35662.0,24566.0,29404.0,53970.0,90630.0,837922.0,940437.0
"Brigham City, UT-ID Micro Area",,,,,,,,,,,,,,
