NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Hickory-Lenoir-Morganton, NC",365.0,626.0,894.0,1013.0,1907.0,6036.0,2847.0,8883.0,23734.0,7568.0,31302.0,42718.0,316999.0,360082.0
"Hobbs, NM Micro Area",,,,,,,,,,,,,,
"Holland, MI Micro Area",,,,,,,,,,,,,,
"Homosassa Springs, FL",680.0,809.0,231.0,137.0,368.0,4404.0,1292.0,5696.0,14462.0,611.0,15073.0,21946.0,116094.0,138720.0
"Hot Springs, AR",65.0,484.0,693.0,459.0,1152.0,1849.0,2275.0,4124.0,4854.0,6075.0,10929.0,16689.0,79881.0,96635.0
"Houma-Thibodaux, LA",346.0,1091.0,255.0,1034.0,1289.0,1286.0,1066.0,2352.0,13973.0,6333.0,20306.0,25038.0,183810.0,209194.0
"Houston-The Woodlands-Sugar Land, TX",70563.0,14052.0,8449.0,11130.0,19579.0,89675.0,93172.0,182847.0,333651.0,414929.0,748580.0,965058.0,5369922.0,6405543.0
"Huntington-Ashland, WV-KY-OH",262.0,2857.0,1618.0,1540.0,3158.0,4836.0,3459.0,8295.0,16740.0,10864.0,27604.0,41914.0,316672.0,358848.0
"Huntsville, AL",1252.0,1209.0,1203.0,715.0,1918.0,7648.0,7375.0,15023.0,21130.0,24752.0,45882.0,64032.0,370333.0,435617.0
"Huntsville, TX Micro Area",,,,,,,,,,,,,,
"Hutchinson, KS Micro Area",,,,,,,,,,,,,,
"Idaho Falls, ID",740.0,406.0,1023.0,1150.0,2173.0,3418.0,2152.0,5570.0,5549.0,7823.0,13372.0,21521.0,114830.0,137091.0
"Indiana, PA Micro Area",,,,,,,,,,,,,,
"Indianapolis-Carmel-Anderson, IN",6450.0,4836.0,4474.0,4266.0,8740.0,22375.0,28877.0,51252.0,91884.0,138676.0,230560.0,295388.0,1646398.0,1948236.0
"Iowa City, IA",2474.0,1398.0,515.0,1205.0,1720.0,4678.0,5451.0,10129.0,6860.0,12905.0,19765.0,33012.0,126535.0,162021.0
"Ithaca, NY",1964.0,587.0,826.0,341.0,1167.0,7560.0,3122.0,10682.0,7620.0,5103.0,12723.0,25159.0,75966.0,103089.0
"Jackson, MI",607.0,325.0,883.0,482.0,1365.0,3940.0,2202.0,6142.0,8653.0,4847.0,13500.0,21332.0,136151.0,158090.0
"Jackson, MS",2304.0,3614.0,1758.0,3201.0,4959.0,6543.0,8504.0,15047.0,32118.0,24195.0,56313.0,79933.0,485990.0,568227.0
"Jackson, TN",244.0,1459.0,232.0,22.0,254.0,1992.0,1366.0,3358.0,3414.0,8909.0,12323.0,17394.0,110716.0,128354.0
"Jacksonville, FL",7674.0,3702.0,2327.0,3837.0,6164.0,38044.0,28409.0,66453.0,53089.0,133280.0,186369.0,262688.0,1131260.0,1401622.0
"Jacksonville, NC",2535.0,1396.0,956.0,715.0,1671.0,14162.0,7978.0,22140.0,11379.0,13444.0,24823.0,50030.0,131854.0,184419.0
"Jamestown-Dunkirk-Fredonia, NY Micro Area",,,,,,,,,,,,,,
"Janesville-Beloit, WI",157.0,712.0,760.0,694.0,1454.0,3173.0,1209.0,4382.0,4608.0,11949.0,16557.0,23105.0,136004.0,159266.0
"Jefferson City, MO",433.0,2187.0,528.0,1353.0,1881.0,2665.0,2678.0,5343.0,8107.0,4628.0,12735.0,22146.0,125315.0,147894.0
"Johnson City, TN",238.0,859.0,1237.0,237.0,1474.0,3850.0,2369.0,6219.0,8039.0,8315.0,16354.0,24906.0,174461.0,199605.0
"Johnstown, PA",234.0,668.0,625.0,156.0,781.0,3316.0,2417.0,5733.0,9567.0,1904.0,11471.0,18653.0,117611.0,136498.0
"Jonesboro, AR",251.0,1636.0,1933.0,800.0,2733.0,2560.0,1262.0,3822.0,5346.0,16974.0,22320.0,30511.0,94384.0,125146.0
"Joplin, MO",168.0,1096.0,659.0,372.0,1031.0,1596.0,1799.0,3395.0,8545.0,6351.0,14896.0,20418.0,153973.0,174559.0
"Kahului-Wailuku-Lahaina, HI",1048.0,38.0,429.0,105.0,534.0,3171.0,2899.0,6070.0,6748.0,7705.0,14453.0,21095.0,139212.0,161355.0
"Aberdeen, WA Micro Area",,,,,,,,,,,,,,
"Abilene, TX",1814.0,2600.0,1001.0,1265.0,2266.0,4819.0,6381.0,11200.0,4864.0,18839.0,23703.0,39769.0,123307.0,164890.0
"Adrian, MI Micro Area",,,,,,,,,,,,,,
"Aguadilla-Isabela, PR",,,,,,,,,,,,,,
"Akron, OH",1625.0,385.0,1635.0,918.0,2553.0,18755.0,8025.0,26780.0,37703.0,20445.0,58148.0,87866.0,607990.0,697481.0
"Alamogordo, NM Micro Area",,,,,,,,,,,,,,
"Albany, GA",338.0,777.0,376.0,1116.0,1492.0,3619.0,1477.0,5096.0,5758.0,10675.0,16433.0,23798.0,126819.0,150955.0
"Albany, OR",239.0,220.0,488.0,210.0,698.0,2379.0,4745.0,7124.0,5435.0,3654.0,9089.0,17131.0,100151.0,117521.0
