NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Galesburg, IL Micro Area",,,,,,,,,,,,,,
"Gallup, NM Micro Area",,,,,,,,,,,,,,
"Gettysburg, PA Micro Area",,,,,,,,,,,,,,
"Glens Falls, NY",504.0,177.0,1090.0,361.0,1451.0,2830.0,2166.0,4996.0,8943.0,1548.0,10491.0,17115.0,110001.0,127620.0
"Goldsboro, NC",729.0,443.0,951.0,635.0,1586.0,1526.0,2147.0,3673.0,4268.0,7013.0,11281.0,16983.0,94062.0,111774.0
"Grand Forks, ND-MN",1508.0,2831.0,852.0,1018.0,1870.0,2480.0,2955.0,5435.0,3794.0,8526.0,12320.0,22456.0,72686.0,96650.0
"Grand Island, NE Micro Area",,,,,,,,,,,,,,
"Grand Junction, CO",133.0,2215.0,1067.0,508.0,1575.0,2794.0,3664.0,6458.0,8212.0,12838.0,21050.0,31298.0,106195.0,137626.0
"Grand Rapids-Wyoming, MI",2252.0,5614.0,3386.0,2031.0,5417.0,16669.0,10548.0,27217.0,41736.0,45712.0,87448.0,125696.0,637375.0,765323.0
"Grants Pass, OR Micro Area",,,,,,,,,,,,,,
"Great Falls, MT",91.0,444.0,342.0,367.0,709.0,965.0,1347.0,2312.0,1476.0,7901.0,9377.0,12842.0,67620.0,80553.0
"Greeley, CO",401.0,2102.0,36.0,675.0,711.0,13437.0,6276.0,19713.0,13958.0,15085.0,29043.0,51569.0,188142.0,240112.0
"Green Bay, WI",639.0,1098.0,2139.0,645.0,2784.0,3469.0,4712.0,8181.0,8654.0,20152.0,28806.0,40869.0,254959.0,296467.0
"Greeneville, TN Micro Area",,,,,,,,,,,,,,
"Greensboro-High Point, NC",3219.0,1074.0,1830.0,3491.0,5321.0,14131.0,13567.0,27698.0,27836.0,43951.0,71787.0,105880.0,579872.0,688971.0
"Greenville, NC",717.0,1731.0,1840.0,2002.0,3842.0,5529.0,5340.0,10869.0,10608.0,17656.0,28264.0,44706.0,122254.0,167677.0
"Greenville-Mauldin-Easley, SC",5859.0,2806.0,2395.0,1555.0,3950.0,22089.0,9868.0,31957.0,44260.0,22605.0,66865.0,105578.0,494341.0,605778.0
"Greenwood, SC Micro Area",,,,,,,,,,,,,,
"Guayama, PR",,,,,,,,,,,,,,
"Gulfport-Biloxi, MS",1734.0,1626.0,1565.0,1039.0,2604.0,5054.0,6984.0,12038.0,12878.0,13942.0,26820.0,43088.0,187578.0,232400.0
"Hagerstown-Martinsburg, MD-WV",538.0,334.0,1066.0,717.0,1783.0,8833.0,4189.0,13022.0,12123.0,8970.0,21093.0,36232.0,221867.0,258637.0
"Hammond, LA Micro Area",,,,,,,,,,,,,,
"Hanford-Corcoran, CA",499.0,24.0,133.0,457.0,590.0,11298.0,6255.0,17553.0,7189.0,6578.0,13767.0,31934.0,114635.0,147068.0
"Harrisburg-Carlisle, PA",2397.0,588.0,4811.0,1971.0,6782.0,12535.0,5824.0,18359.0,27420.0,17849.0,45269.0,70998.0,448823.0,522218.0
"Harrisonburg, VA",2279.0,820.0,1280.0,232.0,1512.0,6669.0,2071.0,8740.0,10910.0,482.0,11392.0,22464.0,91665.0,116408.0
"Hartford-West Hartford-East Hartford, CT",4983.0,660.0,1992.0,1067.0,3059.0,22295.0,13581.0,35876.0,69742.0,38386.0,108128.0,147723.0,1021991.0,1174697.0
"Hattiesburg, MS",97.0,724.0,1920.0,1135.0,3055.0,3253.0,3636.0,6889.0,4884.0,7524.0,12408.0,23076.0,111279.0,134452.0
"Helena, MT Micro Area",,,,,,,,,,,,,,
"Hickory-Lenoir-Morganton, NC",1487.0,645.0,3458.0,1350.0,4808.0,5312.0,2597.0,7909.0,20779.0,15195.0,35974.0,49336.0,306252.0,357075.0
"Hilo, HI Micro Area",,,,,,,,,,,,,,
"Hilton Head Island-Beaufort, SC Micro Area",,,,,,,,,,,,,,
"Hinesville-Fort Stewart, GA",3962.0,281.0,202.0,1140.0,1342.0,4759.0,5976.0,10735.0,2412.0,6062.0,8474.0,20832.0,47873.0,72667.0
"Holland-Grand Haven, MI",1045.0,464.0,1447.0,301.0,1748.0,8579.0,7699.0,16278.0,9475.0,9196.0,18671.0,37161.0,217883.0,256089.0
"Homosassa Springs, FL Micro Area",,,,,,,,,,,,,,
"Honolulu, HI",13844.0,964.0,4801.0,2922.0,7723.0,16170.0,18993.0,35163.0,53345.0,34298.0,87643.0,131493.0,747233.0,892570.0
"Hot Springs, AR",358.0,1647.0,361.0,670.0,1031.0,2680.0,1931.0,4611.0,3846.0,6018.0,9864.0,17153.0,77713.0,95224.0
"Houma-Bayou Cane-Thibodaux, LA",464.0,246.0,985.0,394.0,1379.0,1083.0,2213.0,3296.0,7905.0,8655.0,16560.0,21481.0,176694.0,198639.0
"Houston-Sugar Land-Baytown, TX",49331.0,12367.0,12673.0,12201.0,24874.0,63283.0,109904.0,173187.0,303834.0,520844.0,824678.0,1035106.0,4455130.0,5539567.0
"Huntington-Ashland, WV-KY-OH",800.0,2307.0,1989.0,832.0,2821.0,3463.0,4196.0,7659.0,21324.0,11244.0,32568.0,45355.0,234929.0,281084.0
"Huntsville, AL",2473.0,1476.0,1602.0,802.0,2404.0,10911.0,8726.0,19637.0,15094.0,25882.0,40976.0,64493.0,314428.0,381394.0
"Idaho Falls, ID",372.0,367.0,1384.0,2033.0,3417.0,1673.0,4165.0,5838.0,5200.0,7958.0,13158.0,22780.0,95442.0,118594.0
"Indiana, PA Micro Area",,,,,,,,,,,,,,
"Indianapolis-Carmel, IN",6897.0,1724.0,3363.0,3648.0,7011.0,28647.0,22860.0,51507.0,75204.0,152880.0,228084.0,288326.0,1377819.0,1673042.0
"Iowa City, IA",1005.0,1437.0,875.0,1939.0,2814.0,4797.0,6223.0,11020.0,5982.0,12533.0,18515.0,33786.0,109911.0,144702.0
"Ithaca, NY",1865.0,703.0,1145.0,243.0,1388.0,5405.0,4409.0,9814.0,4979.0,10977.0,15956.0,27861.0,70906.0,100632.0
"Jackson, MI",75.0,980.0,610.0,811.0,1421.0,2979.0,3280.0,6259.0,5397.0,12106.0,17503.0,26163.0,134684.0,160922.0
"Jackson, MS",902.0,4509.0,2756.0,6122.0,8878.0,5066.0,7359.0,12425.0,32219.0,34324.0,66543.0,92355.0,428749.0,522006.0
"Jackson, TN",319.0,1646.0,73.0,684.0,757.0,1341.0,2790.0,4131.0,3134.0,7665.0,10799.0,17333.0,91409.0,109061.0
"Jacksonville, FL",8396.0,2831.0,2579.0,3655.0,6234.0,28645.0,31121.0,59766.0,47806.0,120735.0,168541.0,237372.0,1031503.0,1277271.0
"Jacksonville, NC",4524.0,1924.0,5313.0,2015.0,7328.0,12660.0,8214.0,20874.0,13114.0,6588.0,19702.0,49828.0,104428.0,158780.0
"Jamestown-Dunkirk-Fredonia, NY Micro Area",,,,,,,,,,,,,,
"Janesville, WI",295.0,475.0,377.0,565.0,942.0,3192.0,1674.0,4866.0,10026.0,6722.0,16748.0,23031.0,134150.0,157476.0
"Jefferson City, MO",300.0,3957.0,399.0,820.0,1219.0,2130.0,3673.0,5803.0,10125.0,6514.0,16639.0,27618.0,114177.0,142095.0
"Johnson City, TN",1775.0,840.0,195.0,416.0,611.0,4370.0,6218.0,10588.0,11360.0,10565.0,21925.0,33964.0,155722.0,191461.0
"Johnstown, PA",71.0,221.0,1005.0,1196.0,2201.0,2535.0,2871.0,5406.0,6289.0,3085.0,9374.0,17202.0,126454.0,143727.0
"Jonesboro, AR",194.0,2837.0,408.0,1640.0,2048.0,1688.0,1692.0,3380.0,6985.0,8225.0,15210.0,23475.0,92575.0,116244.0
"Joplin, MO",461.0,1261.0,696.0,187.0,883.0,3167.0,1928.0,5095.0,11431.0,8113.0,19544.0,26783.0,142262.0,169506.0
"Kahului-Wailuku, HI Micro Area",,,,,,,,,,,,,,
"Kalamazoo-Portage, MI",1356.0,1031.0,1454.0,1090.0,2544.0,7100.0,5416.0,12516.0,15413.0,32268.0,47681.0,63772.0,253849.0,318977.0
"Kalispell, MT Micro Area",,,,,,,,,,,,,,
"Kankakee-Bradley, IL",146.0,1752.0,149.0,349.0,498.0,3034.0,1388.0,4422.0,3898.0,6779.0,10677.0,17349.0,91719.0,109214.0
"Kansas City, MO-KS",8396.0,8120.0,3891.0,10240.0,14131.0,22827.0,29273.0,52100.0,137470.0,117069.0,254539.0,328890.0,1614595.0,1951881.0
"Keene, NH Micro Area",,,,,,,,,,,,,,
"Kennewick-Richland-Pasco, WA",1468.0,1741.0,611.0,1423.0,2034.0,4031.0,4039.0,8070.0,5886.0,21201.0,27087.0,38932.0,185330.0,225730.0
"Key West, FL Micro Area",,,,,,,,,,,,,,
"Killeen-Temple-Fort Hood, TX",11007.0,4667.0,1787.0,2878.0,4665.0,15322.0,15738.0,31060.0,19149.0,28226.0,47375.0,87767.0,266880.0,365654.0
