NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Sunbury, PA Micro Area",,,,,,,,,,,,,,
"Syracuse, NY",3698.0,450.0,3163.0,738.0,3901.0,14501.0,7265.0,21766.0,40335.0,22544.0,62879.0,88996.0,562068.0,654762.0
"Talladega-Sylacauga, AL Micro Area",,,,,,,,,,,,,,
"Tallahassee, FL",2203.0,2618.0,619.0,1445.0,2064.0,13206.0,12048.0,25254.0,11924.0,41742.0,53666.0,83602.0,281080.0,366885.0
"Tampa-St. Petersburg-Clearwater, FL",20486.0,5284.0,4079.0,3474.0,7553.0,60086.0,48523.0,108609.0,186836.0,131792.0,318628.0,440074.0,2338124.0,2798684.0
"Terre Haute, IN",528.0,774.0,53.0,775.0,828.0,2180.0,2154.0,4334.0,8176.0,6116.0,14292.0,20228.0,150757.0,171513.0
"Texarkana, TX-Texarkana, AR",540.0,1489.0,348.0,623.0,971.0,1150.0,2535.0,3685.0,4904.0,7794.0,12698.0,18843.0,114827.0,134210.0
"The Villages, FL Micro Area",,,,,,,,,,,,,,
"Thomasville-Lexington, NC Micro Area",,,,,,,,,,,,,,
"Toledo, OH",3024.0,1460.0,2542.0,781.0,3323.0,7898.0,7892.0,15790.0,38681.0,47998.0,86679.0,107252.0,532569.0,642845.0
"Topeka, KS",435.0,723.0,77.0,1067.0,1144.0,3071.0,2911.0,5982.0,4667.0,21053.0,25720.0,33569.0,197637.0,231641.0
"Torrington, CT Micro Area",,,,,,,,,,,,,,
"Traverse City, MI Micro Area",,,,,,,,,,,,,,
"Trenton-Ewing, NJ",3204.0,75.0,73.0,511.0,584.0,14451.0,5658.0,20109.0,15995.0,8032.0,24027.0,44795.0,315732.0,363731.0
"Truckee-Grass Valley, CA Micro Area",,,,,,,,,,,,,,
"Tucson, AZ",5814.0,1703.0,3411.0,2269.0,5680.0,20189.0,23723.0,43912.0,41062.0,105053.0,146115.0,197410.0,774300.0,977524.0
"Tullahoma, TN Micro Area",,,,,,,,,,,,,,
"Tulsa, OK",2119.0,4957.0,2677.0,4638.0,7315.0,11570.0,10944.0,22514.0,49668.0,58026.0,107694.0,142480.0,790931.0,935530.0
"Tupelo, MS Micro Area",,,,,,,,,,,,,,
"Tuscaloosa, AL",609.0,744.0,1091.0,516.0,1607.0,6612.0,5357.0,11969.0,8961.0,16866.0,25827.0,40147.0,177514.0,218270.0
"Twin Falls, ID Micro Area",,,,,,,,,,,,,,
"Tyler, TX",301.0,709.0,3081.0,3294.0,6375.0,3982.0,8036.0,12018.0,10166.0,15740.0,25906.0,45008.0,165910.0,211219.0
"Ukiah, CA Micro Area",,,,,,,,,,,,,,
"Utica-Rome, NY",431.0,880.0,2253.0,815.0,3068.0,5387.0,4706.0,10093.0,12974.0,12160.0,25134.0,39175.0,255445.0,295051.0
"Valdosta, GA",902.0,2828.0,730.0,427.0,1157.0,5575.0,2570.0,8145.0,6567.0,10994.0,17561.0,29691.0,107839.0,138432.0
"Vallejo-Fairfield, CA",2301.0,802.0,547.0,1078.0,1625.0,8770.0,13139.0,21909.0,17464.0,31302.0,48766.0,73102.0,337067.0,412470.0
"Victoria, TX",283.0,1710.0,476.0,587.0,1063.0,743.0,2190.0,2933.0,2876.0,9620.0,12496.0,18202.0,95759.0,114244.0
"Vineland-Millville-Bridgeton, NJ",860.0,97.0,240.0,76.0,316.0,4072.0,2364.0,6436.0,2516.0,13800.0,16316.0,23165.0,130613.0,154638.0
"Virginia Beach-Norfolk-Newport News, VA-NC",11857.0,5029.0,5167.0,1611.0,6778.0,43986.0,29894.0,73880.0,47610.0,145674.0,193284.0,278971.0,1364490.0,1655318.0
"Visalia-Porterville, CA",1441.0,1502.0,308.0,464.0,772.0,5080.0,6457.0,11537.0,38249.0,26256.0,64505.0,78316.0,363138.0,442895.0
"Waco, TX",881.0,1675.0,1101.0,435.0,1536.0,6066.0,5611.0,11677.0,10260.0,22201.0,32461.0,47349.0,187483.0,235713.0
"Warner Robins, GA",1146.0,894.0,348.0,522.0,870.0,3156.0,3852.0,7008.0,4594.0,5755.0,10349.0,19121.0,122315.0,142582.0
"Warsaw, IN Micro Area",,,,,,,,,,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",65448.0,5781.0,9466.0,5966.0,15432.0,93220.0,97120.0,190340.0,398045.0,172281.0,570326.0,781879.0,4785035.0,5632362.0
"Waterloo-Cedar Falls, IA",754.0,3169.0,1134.0,371.0,1505.0,3855.0,1998.0,5853.0,3955.0,13880.0,17835.0,28362.0,136673.0,165789.0
"Watertown-Fort Atkinson, WI Micro Area",,,,,,,,,,,,,,
"Watertown-Fort Drum, NY Micro Area",,,,,,,,,,,,,,
"Wausau, WI",313.0,1474.0,1032.0,659.0,1691.0,975.0,1730.0,2705.0,4699.0,5569.0,10268.0,16138.0,115966.0,132417.0
"Wenatchee-East Wenatchee, WA",185.0,129.0,904.0,557.0,1461.0,2234.0,1716.0,3950.0,3582.0,3507.0,7089.0,12629.0,98638.0,111452.0
"Wheeling, WV-OH",224.0,580.0,358.0,1056.0,1414.0,2220.0,1219.0,3439.0,9558.0,3161.0,12719.0,18152.0,128138.0,146514.0
"Whitewater, WI Micro Area",,,,,,,,,,,,,,
"Wichita, KS",2308.0,2501.0,2418.0,2967.0,5385.0,6149.0,5843.0,11992.0,27567.0,52040.0,79607.0,99485.0,515452.0,617245.0
"Wichita Falls, TX",402.0,743.0,1375.0,1248.0,2623.0,3442.0,3111.0,6553.0,5212.0,9522.0,14734.0,24653.0,122067.0,147122.0
"Williamsport, PA",8.0,854.0,1461.0,762.0,2223.0,2195.0,1661.0,3856.0,5550.0,2876.0,8426.0,15359.0,100283.0,115650.0
"Willimantic, CT Micro Area",,,,,,,,,,,,,,
"Wilmington, NC",1191.0,884.0,2336.0,564.0,2900.0,8814.0,7452.0,16266.0,23366.0,22523.0,45889.0,65939.0,299235.0,366365.0
"Wilson, NC Micro Area",,,,,,,,,,,,,,
"Winchester, VA-WV",245.0,617.0,976.0,233.0,1209.0,2911.0,2205.0,5116.0,9827.0,4384.0,14211.0,21153.0,107028.0,128426.0
"Winston-Salem, NC",1368.0,495.0,2802.0,1934.0,4736.0,8951.0,5475.0,14426.0,12626.0,32340.0,44966.0,64623.0,410420.0,476411.0
"Wooster, OH Micro Area",,,,,,,,,,,,,,
"Worcester, MA",4346.0,249.0,1252.0,505.0,1757.0,18283.0,8719.0,27002.0,43913.0,18475.0,62388.0,91396.0,695590.0,791332.0
"Yakima, WA",1145.0,504.0,430.0,463.0,893.0,2129.0,5445.0,7574.0,11978.0,15209.0,27187.0,36158.0,206054.0,243357.0
"Yauco, PR",,,,,,,,,,,,,,
"York-Hanover, PA",1890.0,207.0,4066.0,377.0,4443.0,9432.0,4231.0,13663.0,23178.0,12410.0,35588.0,53901.0,376398.0,432189.0
"Youngstown-Warren-Boardman, OH-PA",584.0,1217.0,2132.0,794.0,2926.0,8058.0,4018.0,12076.0,24158.0,15162.0,39320.0,55539.0,502230.0,558353.0
"Yuba City, CA",147.0,252.0,222.0,527.0,749.0,6700.0,2159.0,8859.0,11651.0,10431.0,22082.0,31942.0,132652.0,164741.0
"Yuma, AZ",2985.0,417.0,252.0,315.0,567.0,6527.0,4668.0,11195.0,5292.0,19029.0,24321.0,36500.0,159750.0,199235.0
"Zanesville, OH Micro Area",,,,,,,,,,,,,,
"Aberdeen, WA Micro Area",,,,,,,,,,,,,,
"Abilene, TX",943.0,1530.0,442.0,702.0,1144.0,4558.0,4109.0,8667.0,2343.0,16793.0,19136.0,30477.0,131109.0,162529.0
"Adrian, MI Micro Area",,,,,,,,,,,,,,
"Aguadilla-Isabela-San Sebasti?n, PR",,,,,,,,,,,,,,
"Akron, OH",2625.0,362.0,1264.0,1519.0,2783.0,14209.0,8469.0,22678.0,38624.0,26267.0,64891.0,90714.0,599476.0,692815.0
"Alamogordo, NM Micro Area",,,,,,,,,,,,,,
"Albany, GA",47.0,1829.0,256.0,983.0,1239.0,2610.0,2197.0,4807.0,7140.0,9232.0,16372.0,24247.0,134681.0,158975.0
"Albany-Lebanon, OR Micro Area",,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY",4925.0,1769.0,3278.0,920.0,4198.0,17129.0,10725.0,27854.0,45837.0,29320.0,75157.0,108978.0,750762.0,864665.0
"Albertville, AL Micro Area",,,,,,,,,,,,,,
"Albuquerque, NM",4571.0,2233.0,2882.0,3874.0,6756.0,10555.0,17405.0,27960.0,24919.0,63757.0,88676.0,125625.0,757302.0,887498.0
"Alexandria, LA",1006.0,1814.0,468.0,136.0,604.0,1486.0,2142.0,3628.0,6579.0,4403.0,10982.0,17028.0,134592.0,152626.0
"Allegan, MI Micro Area",,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ",2922.0,371.0,1115.0,969.0,2084.0,16696.0,7040.0,23736.0,35092.0,32453.0,67545.0,93736.0,719354.0,816012.0
"Altoona, PA",226.0,116.0,696.0,129.0,825.0,2975.0,845.0,3820.0,4521.0,4763.0,9284.0,14045.0,111622.0,125893.0
"Amarillo, TX",2304.0,1767.0,1120.0,1778.0,2898.0,2093.0,4095.0,6188.0,5973.0,23942.0,29915.0,40768.0,208282.0,251354.0
"Ames, IA",1632.0,1965.0,950.0,575.0,1525.0,4137.0,2556.0,6693.0,2296.0,11457.0,13753.0,23936.0,63294.0,88862.0
"Anchorage, AK",1798.0,5350.0,1690.0,1403.0,3093.0,8055.0,4813.0,12868.0,8819.0,40357.0,49176.0,70487.0,309525.0,381810.0
"Anderson, IN",375.0,56.0,1167.0,318.0,1485.0,2799.0,2385.0,5184.0,5075.0,6957.0,12032.0,18757.0,110939.0,130071.0
"Anderson, SC",1212.0,555.0,721.0,123.0,844.0,6162.0,2165.0,8327.0,13535.0,3898.0,17433.0,27159.0,158689.0,187060.0
"Ann Arbor, MI",5656.0,1037.0,2025.0,1328.0,3353.0,19726.0,11682.0,31408.0,19739.0,21384.0,41123.0,76921.0,262109.0,344686.0
"Anniston-Oxford, AL",71.0,741.0,382.0,261.0,643.0,3710.0,1323.0,5033.0,8306.0,2350.0,10656.0,17073.0,98878.0,116022.0
"Appleton, WI",987.0,459.0,695.0,387.0,1082.0,4265.0,3049.0,7314.0,7183.0,5431.0,12614.0,21469.0,202172.0,224628.0
"Asheville, NC",721.0,3058.0,3161.0,1476.0,4637.0,10553.0,4846.0,15399.0,30198.0,6711.0,36909.0,60003.0,362773.0,423497.0
"Ashtabula, OH Micro Area",,,,,,,,,,,,,,
"Athens, TX Micro Area",,,,,,,,,,,,,,
"Athens-Clarke County, GA",817.0,1260.0,693.0,899.0,1592.0,6386.0,3404.0,9790.0,2696.0,12769.0,15465.0,28107.0,162213.0,191137.0
"Atlanta-Sandy Springs-Marietta, GA",25088.0,14941.0,14955.0,7910.0,22865.0,68897.0,76403.0,145300.0,569950.0,116622.0,686572.0,869678.0,4405644.0,5300410.0
"Atlantic City-Hammonton, NJ",3931.0,0.0,35.0,0.0,35.0,6846.0,2118.0,8964.0,17684.0,5593.0,23277.0,32276.0,236120.0,272327.0
"Auburn, NY Micro Area",,,,,,,,,,,,,,
"Auburn-Opelika, AL",1405.0,1075.0,1130.0,1481.0,2611.0,7873.0,5351.0,13224.0,1858.0,14719.0,16577.0,33487.0,106583.0,141475.0
"Augusta-Richmond County, GA-SC",1965.0,2486.0,654.0,2405.0,3059.0,18631.0,8870.0,27501.0,35737.0,24463.0,60200.0,93246.0,459136.0,554347.0
"Augusta-Waterville, ME Micro Area",,,,,,,,,,,,,,
"Austin-Round Rock-San Marcos, TX",12213.0,6809.0,4177.0,5493.0,9670.0,43117.0,51489.0,94606.0,71217.0,182691.0,253908.0,364993.0,1384572.0,1761778.0
"Bakersfield-Delano, CA",2788.0,417.0,446.0,1259.0,1705.0,15481.0,17855.0,33336.0,56392.0,68473.0,124865.0,160323.0,675383.0,838494.0
"Baltimore-Towson, MD",13957.0,3108.0,3512.0,2650.0,6162.0,47328.0,27041.0,74369.0,148821.0,86660.0,235481.0,319120.0,2361920.0,2694997.0
"Bangor, ME",406.0,5624.0,1057.0,273.0,1330.0,2613.0,2322.0,4935.0,9687.0,3181.0,12868.0,24757.0,126905.0,152068.0
"Barnstable Town, MA",957.0,13.0,414.0,110.0,524.0,4384.0,2118.0,6502.0,9244.0,3215.0,12459.0,19498.0,194224.0,214679.0
"Baton Rouge, LA",1738.0,2168.0,3976.0,703.0,4679.0,9827.0,11942.0,21769.0,44618.0,34022.0,78640.0,107256.0,689027.0,798021.0
"Battle Creek, MI",130.0,262.0,689.0,180.0,869.0,2981.0,2365.0,5346.0,5419.0,7323.0,12742.0,19219.0,114867.0,134216.0
"Bay City, MI",42.0,1706.0,56.0,141.0,197.0,2080.0,1452.0,3532.0,3763.0,2791.0,6554.0,11989.0,93630.0,105661.0
"Beaumont-Port Arthur, TX",1774.0,1207.0,541.0,2073.0,2614.0,6095.0,6706.0,12801.0,13325.0,20958.0,34283.0,50905.0,334145.0,386824.0
"Beaver Dam, WI Micro Area",,,,,,,,,,,,,,
"Beckley, WV Micro Area",,,,,,,,,,,,,,
"Bellingham, WA",1874.0,948.0,1225.0,1633.0,2858.0,4724.0,1990.0,6714.0,13174.0,11159.0,24333.0,34853.0,165291.0,202018.0
"Bend, OR",215.0,1705.0,498.0,1141.0,1639.0,3993.0,2214.0,6207.0,9381.0,10929.0,20310.0,29861.0,128552.0,158628.0
"Billings, MT",548.0,3150.0,255.0,868.0,1123.0,1555.0,2613.0,4168.0,3557.0,11451.0,15008.0,23449.0,134145.0,158142.0
"Binghamton, NY",406.0,1007.0,676.0,145.0,821.0,6550.0,3121.0,9671.0,11859.0,4904.0,16763.0,28262.0,219350.0,248018.0
"Birmingham-Hoover, AL",3703.0,2026.0,2736.0,4079.0,6815.0,13434.0,13315.0,26749.0,88800.0,45339.0,134139.0,169729.0,944274.0,1117706.0
"Bismarck, ND",211.0,2581.0,494.0,725.0,1219.0,1675.0,1009.0,2684.0,4279.0,6154.0,10433.0,16917.0,92396.0,109524.0
"Blacksburg-Christiansburg-Radford, VA",1604.0,1350.0,805.0,469.0,1274.0,11492.0,3415.0,14907.0,5553.0,14535.0,20088.0,37619.0,119931.0,159154.0
"Bloomington, IN",1650.0,371.0,1233.0,1513.0,2746.0,10345.0,6153.0,16498.0,8095.0,19207.0,27302.0,46917.0,144106.0,192673.0
"Bloomington-Normal, IL",1204.0,315.0,434.0,624.0,1058.0,7003.0,3097.0,10100.0,2748.0,17526.0,20274.0,31747.0,135963.0,168914.0
"Bloomsburg-Berwick, PA Micro Area",,,,,,,,,,,,,,
"Bluefield, WV-VA Micro Area",,,,,,,,,,,,,,
"Boise City-Nampa, ID",2237.0,3951.0,4116.0,6529.0,10645.0,9030.0,11054.0,20084.0,28158.0,47209.0,75367.0,110047.0,504355.0,616639.0
"Boston-Cambridge-Quincy, MA-NH",48591.0,2038.0,5275.0,2585.0,7860.0,75031.0,51171.0,126202.0,290214.0,149166.0,439380.0,575480.0,3914963.0,4539034.0
"Boulder, CO",2999.0,1106.0,810.0,361.0,1171.0,12846.0,12849.0,25695.0,19690.0,20598.0,40288.0,68260.0,224627.0,295886.0
"Bowling Green, KY",735.0,3309.0,1064.0,1058.0,2122.0,4972.0,1937.0,6909.0,5988.0,12325.0,18313.0,30653.0,95815.0,127203.0
"Bozeman, MT Micro Area",,,,,,,,,,,,,,
"Brainerd, MN Micro Area",,,,,,,,,,,,,,
"Branson, MO Micro Area",,,,,,,,,,,,,,
"Bremerton-Silverdale, WA",1534.0,382.0,919.0,1174.0,2093.0,8694.0,6561.0,15255.0,13692.0,9592.0,23284.0,41014.0,209505.0,252053.0
"Bridgeport-Stamford-Norwalk, CT",7212.0,105.0,1043.0,351.0,1394.0,13828.0,14373.0,28201.0,19470.0,38459.0,57929.0,87629.0,823107.0,917948.0
"Brownsville-Harlingen, TX",4581.0,718.0,201.0,210.0,411.0,2994.0,4266.0,7260.0,9937.0,23953.0,33890.0,42279.0,360083.0,406943.0
"Brunswick, GA",107.0,165.0,272.0,78.0,350.0,2683.0,1279.0,3962.0,5874.0,7073.0,12947.0,17424.0,91434.0,108965.0
"Buffalo-Niagara Falls, NY",4884.0,1406.0,2408.0,850.0,3258.0,14738.0,9588.0,24326.0,49166.0,48449.0,97615.0,126605.0,991476.0,1122965.0
"Burlington, NC",610.0,12.0,100.0,83.0,183.0,3676.0,2828.0,6504.0,6986.0,8534.0,15520.0,22219.0,128702.0,151531.0
"Burlington-South Burlington, VT",1146.0,2116.0,2094.0,458.0,2552.0,4779.0,2208.0,6987.0,11461.0,12462.0,23923.0,35578.0,174436.0,211160.0
"Canton-Massillon, OH",540.0,149.0,2147.0,158.0,2305.0,5145.0,3442.0,8587.0,19440.0,13759.0,33199.0,44240.0,356088.0,400868.0
"Cape Coral-Fort Myers, FL",3311.0,486.0,1840.0,1795.0,3635.0,23493.0,14462.0,37955.0,52566.0,33046.0,85612.0,127688.0,493774.0,624773.0
"Cape Girardeau-Jackson, MO-IL",806.0,2026.0,691.0,419.0,1110.0,2314.0,1497.0,3811.0,3230.0,6930.0,10160.0,17107.0,77790.0,95703.0
"Carson City, NV",115.0,146.0,1047.0,69.0,1116.0,2031.0,2560.0,4591.0,0.0,5687.0,5687.0,11540.0,43339.0,54994.0
"Casper, WY",21.0,1294.0,853.0,153.0,1006.0,1196.0,1684.0,2880.0,1130.0,7876.0,9006.0,14186.0,61701.0,75908.0
