NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Beaumont-Port Arthur, TX",883.0,960.0,380.0,2434.0,2814.0,8218.0,5166.0,13384.0,20284.0,19878.0,40162.0,57320.0,344244.0,402447.0
"Beaver Dam, WI Micro Area",,,,,,,,,,,,,,
"Beckley, WV",195.0,1082.0,299.0,85.0,384.0,1066.0,841.0,1907.0,5445.0,3165.0,8610.0,11983.0,108818.0,120996.0
"Bellingham, WA",1060.0,373.0,429.0,582.0,1011.0,5741.0,6897.0,12638.0,12979.0,16126.0,29105.0,43127.0,165705.0,209892.0
"Bend-Redmond, OR",424.0,242.0,925.0,117.0,1042.0,5290.0,5004.0,10294.0,3506.0,16690.0,20196.0,31774.0,141849.0,174047.0
"Billings, MT",352.0,3188.0,514.0,941.0,1455.0,2034.0,1998.0,4032.0,4706.0,14195.0,18901.0,27576.0,138967.0,166895.0
"Binghamton, NY",826.0,916.0,427.0,180.0,607.0,2743.0,5208.0,7951.0,17529.0,7001.0,24530.0,34004.0,209099.0,243929.0
"Birmingham-Hoover, AL",2261.0,3631.0,2699.0,2140.0,4839.0,19468.0,18114.0,37582.0,75052.0,46592.0,121644.0,167696.0,962290.0,1132247.0
"Bismarck, ND",308.0,1450.0,776.0,1400.0,2176.0,1864.0,1982.0,3846.0,3060.0,8535.0,11595.0,19067.0,108591.0,127966.0
"Bloomington, IL",474.0,648.0,1020.0,1779.0,2799.0,5451.0,6629.0,12080.0,7643.0,9746.0,17389.0,32916.0,152640.0,186030.0
"Bloomington, IN",978.0,656.0,1500.0,1295.0,2795.0,9033.0,8128.0,17161.0,7327.0,27211.0,34538.0,55150.0,107902.0,164030.0
"Bloomsburg-Berwick, PA",14.0,0.0,877.0,155.0,1032.0,4818.0,1121.0,5939.0,3596.0,1222.0,4818.0,11789.0,73013.0,84816.0
"Bluefield, WV-VA Micro Area",,,,,,,,,,,,,,
"Boise City, ID",3358.0,1956.0,3746.0,5674.0,9420.0,11090.0,12204.0,23294.0,52718.0,32374.0,85092.0,119762.0,544985.0,668105.0
"Boston-Cambridge-Newton, MA-NH",53766.0,2515.0,4881.0,3176.0,8057.0,68883.0,56621.0,125504.0,294165.0,126402.0,420567.0,556643.0,4113102.0,4723511.0
"Boulder, CO",3220.0,549.0,1539.0,907.0,2446.0,15651.0,11456.0,27107.0,13811.0,20974.0,34785.0,64887.0,248270.0,316377.0
"Bowling Green, KY",435.0,2775.0,1247.0,1301.0,2548.0,4240.0,4553.0,8793.0,8901.0,9475.0,18376.0,32492.0,131980.0,164907.0
"Bozeman, MT Micro Area",,,,,,,,,,,,,,
"Brainerd, MN Micro Area",,,,,,,,,,,,,,
"Branson, MO Micro Area",,,,,,,,,,,,,,
"Bremerton-Silverdale, WA",708.0,415.0,1048.0,800.0,1848.0,11672.0,6187.0,17859.0,13617.0,9667.0,23284.0,43406.0,212580.0,256694.0
"Bridgeport-Stamford-Norwalk, CT",9452.0,396.0,3261.0,190.0,3451.0,15248.0,15642.0,30890.0,25158.0,44676.0,69834.0,104571.0,822604.0,936627.0
"Brunswick, GA",154.0,668.0,1423.0,452.0,1875.0,2301.0,4365.0,6666.0,9118.0,2391.0,11509.0,20718.0,94881.0,115753.0
"Buffalo-Cheektowaga-Niagara Falls, NY",6225.0,1024.0,1444.0,668.0,2112.0,10367.0,9112.0,19479.0,47318.0,47386.0,94704.0,117319.0,998922.0,1122466.0
"Burlington, NC",436.0,48.0,12.0,879.0,891.0,6748.0,3514.0,10262.0,9551.0,5815.0,15366.0,26567.0,129160.0,156163.0
"Burlington-South Burlington, VT",3080.0,2237.0,1398.0,400.0,1798.0,4907.0,1600.0,6507.0,12795.0,10695.0,23490.0,34032.0,176862.0,213974.0
"California-Lexington Park, MD",743.0,827.0,255.0,138.0,393.0,8156.0,621.0,8777.0,6583.0,2067.0,8650.0,18647.0,90933.0,110323.0
"Canton-Massillon, OH",930.0,761.0,2529.0,277.0,2806.0,4996.0,4347.0,9343.0,20023.0,13762.0,33785.0,46695.0,351567.0,399192.0
"Cape Coral-Fort Myers, FL",6232.0,1182.0,1381.0,1780.0,3161.0,24104.0,11147.0,35251.0,31254.0,25536.0,56790.0,96384.0,593834.0,696450.0
"Cape Girardeau, MO-IL",287.0,1308.0,388.0,422.0,810.0,2102.0,1691.0,3793.0,4290.0,7138.0,11428.0,17339.0,77996.0,95622.0
"Carbondale-Marion, IL",451.0,1005.0,322.0,426.0,748.0,3428.0,3455.0,6883.0,5792.0,7857.0,13649.0,22285.0,102530.0,125266.0
"Carson City, NV",300.0,266.0,889.0,152.0,1041.0,869.0,1549.0,2418.0,0.0,5106.0,5106.0,8831.0,44918.0,54049.0
"Casper, WY",547.0,1820.0,58.0,1272.0,1330.0,1184.0,1122.0,2306.0,1248.0,5424.0,6672.0,12128.0,68445.0,81120.0
"Cedar Rapids, IA",1135.0,1718.0,229.0,384.0,613.0,3306.0,7886.0,11192.0,9606.0,16425.0,26031.0,39554.0,222482.0,263171.0
"Centralia, WA Micro Area",,,,,,,,,,,,,,
"Chambersburg-Waynesboro, PA",193.0,899.0,66.0,0.0,66.0,4386.0,1005.0,5391.0,4615.0,2346.0,6961.0,13317.0,138882.0,152392.0
"Champaign-Urbana, IL",4229.0,823.0,822.0,150.0,972.0,11990.0,6871.0,18861.0,5707.0,13985.0,19692.0,40348.0,192573.0,237150.0
"Charleston, WV",349.0,1535.0,1278.0,109.0,1387.0,5700.0,2154.0,7854.0,11075.0,4343.0,15418.0,26194.0,190555.0,217098.0
"Charleston-Mattoon, IL Micro Area",,,,,,,,,,,,,,
"Charleston-North Charleston, SC",2847.0,2545.0,2474.0,1561.0,4035.0,19515.0,14794.0,34309.0,51563.0,28893.0,80456.0,121345.0,609321.0,733513.0
"Charlotte-Concord-Gastonia, NC-SC",9553.0,4613.0,5919.0,4911.0,10830.0,55557.0,42647.0,98204.0,121199.0,146965.0,268164.0,381811.0,2007198.0,2398562.0
"Charlottesville, VA",2349.0,1632.0,283.0,65.0,348.0,9962.0,6378.0,16340.0,16790.0,4007.0,20797.0,39117.0,186732.0,228198.0
"Chattanooga, TN-GA",801.0,1434.0,1642.0,831.0,2473.0,12385.0,8335.0,20720.0,27078.0,15902.0,42980.0,67607.0,470951.0,539359.0
