NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Aberdeen, WA Micro Area",,,,,,,,,,,,,,
"Abilene, TX",1071.0,980.0,1511.0,2292.0,3803.0,6029.0,4197.0,10226.0,3054.0,12429.0,15483.0,30492.0,137480.0,169043.0
"Adrian, MI Micro Area",,,,,,,,,,,,,,
"Aguadilla-Isabela, PR",,,,,,,,,,,,,,
"Akron, OH",2608.0,616.0,897.0,241.0,1138.0,18334.0,12157.0,30491.0,29673.0,24534.0,54207.0,86452.0,608047.0,697107.0
"Alamogordo, NM Micro Area",,,,,,,,,,,,,,
"Albany, GA",718.0,713.0,175.0,124.0,299.0,2815.0,4233.0,7048.0,3590.0,15591.0,19181.0,27241.0,117422.0,145381.0
"Albany-Lebanon, OR",443.0,124.0,208.0,132.0,340.0,3061.0,3462.0,6523.0,3823.0,6366.0,10189.0,17176.0,110989.0,128608.0
"Albany-Schenectady-Troy, NY",3599.0,1759.0,4123.0,1899.0,6022.0,19866.0,13042.0,32908.0,41558.0,33066.0,74624.0,115313.0,753818.0,872730.0
"Albertville, AL Micro Area",,,,,,,,,,,,,,
"Albuquerque, NM",3342.0,1854.0,1277.0,2739.0,4016.0,7819.0,9862.0,17681.0,24232.0,70219.0,94451.0,118002.0,782915.0,904259.0
"Alexandria, LA",392.0,1446.0,617.0,483.0,1100.0,3239.0,2346.0,5585.0,9145.0,7249.0,16394.0,24525.0,125315.0,150232.0
"Allentown-Bethlehem-Easton, PA-NJ",3537.0,1102.0,749.0,50.0,799.0,23582.0,10343.0,33925.0,35373.0,23042.0,58415.0,94241.0,738518.0,836296.0
"Altoona, PA",114.0,355.0,270.0,93.0,363.0,3452.0,543.0,3995.0,4524.0,4169.0,8693.0,13406.0,107321.0,120841.0
"Amarillo, TX",719.0,1243.0,792.0,1651.0,2443.0,2913.0,5896.0,8809.0,5836.0,23660.0,29496.0,41991.0,223319.0,266029.0
"Ames, IA",715.0,1209.0,327.0,734.0,1061.0,6731.0,4013.0,10744.0,5699.0,12141.0,17840.0,30854.0,90632.0,122201.0
