NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"California-Lexington Park, MD",120.0,130.0,1083.0,288.0,1371.0,5170.0,1262.0,6432.0,6241.0,1986.0,8227.0,16160.0,94676.0,110956.0
"Cape Girardeau, MO-IL",603.0,1910.0,555.0,1546.0,2101.0,2958.0,1657.0,4615.0,4465.0,6731.0,11196.0,19822.0,72626.0,93051.0
"Carbondale-Marion, IL",362.0,2113.0,549.0,404.0,953.0,3157.0,2183.0,5340.0,5707.0,6510.0,12217.0,20623.0,104361.0,125346.0
"Carson City, NV",0.0,269.0,757.0,323.0,1080.0,2262.0,1337.0,3599.0,0.0,4178.0,4178.0,9126.0,45145.0,54271.0
"Casper, WY",102.0,440.0,120.0,195.0,315.0,1561.0,602.0,2163.0,1673.0,8194.0,9867.0,12785.0,67067.0,79954.0
"Cedar Rapids, IA",527.0,1960.0,463.0,551.0,1014.0,3995.0,5109.0,9104.0,10583.0,14125.0,24708.0,36786.0,227264.0,264577.0
"Centralia, WA Micro Area",,,,,,,,,,,,,,
"Chambersburg-Waynesboro, PA",42.0,194.0,194.0,0.0,194.0,3203.0,1115.0,4318.0,8879.0,5103.0,13982.0,18688.0,133957.0,152687.0
"Champaign-Urbana, IL",3335.0,946.0,592.0,591.0,1183.0,11173.0,8468.0,19641.0,8316.0,14865.0,23181.0,44951.0,188799.0,237085.0
"Charleston, WV",465.0,1475.0,164.0,232.0,396.0,3957.0,881.0,4838.0,12731.0,5784.0,18515.0,25224.0,191049.0,216738.0
"Charleston-Mattoon, IL Micro Area",,,,,,,,,,,,,,
"Charleston-North Charleston, SC",2672.0,1913.0,2152.0,923.0,3075.0,20245.0,14945.0,35190.0,43627.0,27140.0,70767.0,110945.0,637997.0,751614.0
"Charlotte-Concord-Gastonia, NC-SC",12311.0,3107.0,7860.0,3463.0,11323.0,61258.0,48326.0,109584.0,121792.0,136759.0,258551.0,382565.0,2048208.0,2443084.0
"Charlottesville, VA",2569.0,1623.0,140.0,56.0,196.0,10945.0,6007.0,16952.0,11483.0,9101.0,20584.0,39355.0,185203.0,227127.0
"Chattanooga, TN-GA",1436.0,1218.0,2002.0,2130.0,4132.0,8087.0,7183.0,15270.0,32417.0,20229.0,52646.0,73266.0,470378.0,545080.0
"Cheyenne, WY",170.0,1284.0,975.0,628.0,1603.0,2834.0,1088.0,3922.0,3057.0,6482.0,9539.0,16348.0,80431.0,96949.0
