DATE,ENUC356240010SA
1990-01-01,592.292405161832
1990-04-01,594.792300618946
1990-07-01,601.069811577052
1990-10-01,613.32463871105
1991-01-01,609.3472562443039
1991-04-01,627.735695624312
1991-07-01,632.642772723033
1991-10-01,643.883506967725
1992-01-01,662.924675300821
1992-04-01,658.697446765964
1992-07-01,668.226339058705
1992-10-01,744.749257980895
1993-01-01,640.118288965725
1993-04-01,683.524185554945
1993-07-01,695.660241496519
1993-10-01,763.1256210791549
1994-01-01,676.304998382334
1994-04-01,702.5377737523891
1994-07-01,723.3661143120371
1994-10-01,729.8094763697619
1995-01-01,732.922584984138
1995-04-01,733.8483513343041
1995-07-01,739.391646274866
1995-10-01,756.4052965350439
1996-01-01,774.2432005296961
1996-04-01,774.461975060424
1996-07-01,772.022621884045
1996-10-01,793.199968876686
1997-01-01,812.3731097265401
1997-04-01,798.073422950477
1997-07-01,863.012909477845
1997-10-01,849.071065609526
1998-01-01,843.175523958844
1998-04-01,860.2273116551339
1998-07-01,867.0622119543269
1998-10-01,882.401164856524
1999-01-01,872.873426135193
1999-04-01,892.308646519561
1999-07-01,922.385766765721
1999-10-01,927.3939546420081
2000-01-01,954.797718534557
2000-04-01,955.5393428156481
2000-07-01,970.467870708405
2000-10-01,995.046536950578
2001-01-01,1037.43327187429
2001-04-01,982.158840698873
2001-07-01,977.4804966528301
2001-10-01,984.0946019408
2002-01-01,995.339736944359
2002-04-01,990.2029305781031
2002-07-01,989.135965500153
2002-10-01,980.4077359077521
2003-01-01,975.868885780958
2003-04-01,1011.3542362627
2003-07-01,1022.5636836049
2003-10-01,1030.1220791252001
2004-01-01,1051.92871582163
2004-04-01,1045.907931211
2004-07-01,1072.2363542673402
2004-10-01,1093.17128369465
2005-01-01,1093.51382122264
2005-04-01,1084.24998715068
2005-07-01,1139.3922234349302
2005-10-01,1121.05631606217
2006-01-01,1238.59727582401
2006-04-01,1148.22251532111
2006-07-01,1149.8005116814802
2006-10-01,1173.36647016531
2007-01-01,1385.4431003607
2007-04-01,1209.78921275932
2007-07-01,1218.9588199921302
2007-10-01,1221.16884201257
2008-01-01,1391.92879375587
2008-04-01,1229.7019058466099
2008-07-01,1246.79151352812
2008-10-01,1236.2632689138
2009-01-01,1202.17818360408
2009-04-01,1215.6789339868499
2009-07-01,1229.1956652807
2009-10-01,1264.64373657089
2010-01-01,1265.47755279375
2010-04-01,1285.08830675305
2010-07-01,1276.4122812176402
2010-10-01,1293.3624765796499
2011-01-01,1330.79605835189
2011-04-01,1304.30402192194
2011-07-01,1328.90862129149
2011-10-01,1272.10740278785
2012-01-01,1316.5784829944698
2012-04-01,1310.87205937458
2012-07-01,1316.7468213642999
2012-10-01,1352.67734775277
2013-01-01,1296.56388466333
2013-04-01,1328.40158952026
2013-07-01,1325.54776742084
2013-10-01,1328.35443171026
2014-01-01,1383.97518993146
2014-04-01,1354.85299403618
2014-07-01,1363.4015435947301
2014-10-01,1377.40639545543
2015-01-01,1386.8461362026
2015-04-01,1393.9193454252697
2015-07-01,1398.6043219022101
2015-10-01,1421.95457110398
2016-01-01,1374.67747155293
2016-04-01,1417.4680515539
2016-07-01,1446.0598867531
2016-10-01,1403.0462867392998
2017-01-01,1450.3041895748402
2017-04-01,1442.3742000587802
2017-07-01,1446.64544023056
2017-10-01,1490.21378627609
2018-01-01,1494.4599055623098
2018-04-01,1496.55415929948
2018-07-01,1505.53588644611
2018-10-01,1504.5851582602
2019-01-01,1526.7230968374
2019-04-01,1545.59437058819
2019-07-01,1555.46315479299
2019-10-01,1556.4000933140699
2020-01-01,1581.04550881046
2020-04-01,1740.13720896511
2020-07-01,1713.62919768105
2020-10-01,1784.34125511053
2021-01-01,1736.0023830787302
2021-04-01,1758.70310401541
2021-07-01,1784.8719719187
2021-10-01,1887.6166232462801
2022-01-01,1802.89350485786
2022-04-01,1799.97461879987
2022-07-01,1845.0123976735501
2022-10-01,1796.4165829009303
2023-01-01,1823.62243098099
2023-04-01,1837.8759769911999
2023-07-01,1838.88254707883
2023-10-01,1852.1408595991602
2024-01-01,1899.0675199313
