DATE,ENUC169840010SA
2000-01-01,783.1484243706551
2000-04-01,772.5264093315191
2000-07-01,788.897506959216
2000-10-01,795.494552359339
2001-01-01,814.257639361609
2001-04-01,800.601899990215
2001-07-01,805.953446938846
2001-10-01,803.401016885564
2002-01-01,810.1034512839869
2002-04-01,823.397264645993
2002-07-01,817.631310332775
2002-10-01,815.7419800156
2003-01-01,817.947859692049
2003-04-01,835.3516841981191
2003-07-01,838.6399642630231
2003-10-01,840.800507592084
2004-01-01,853.397477165081
2004-04-01,855.669127565611
2004-07-01,872.4451276429111
2004-10-01,894.932769039046
2005-01-01,871.18232837089
2005-04-01,895.038202288956
2005-07-01,921.8103591227369
2005-10-01,899.7585457534869
2006-01-01,932.952404343288
2006-04-01,933.321011329441
2006-07-01,933.6061718191879
2006-10-01,941.2957084027271
2007-01-01,980.140363403483
2007-04-01,972.924111631159
2007-07-01,967.752862927263
2007-10-01,985.097137955763
2008-01-01,1004.06784994666
2008-04-01,992.357412874637
2008-07-01,998.0394423021839
2008-10-01,988.2050501757609
2009-01-01,963.3988578712151
2009-04-01,978.6349601859331
2009-07-01,981.757986861822
2009-10-01,1002.68536504485
2010-01-01,966.5788099650509
2010-04-01,1006.0971935707499
2010-07-01,1017.8676249480801
2010-10-01,1032.11225452435
2011-01-01,1014.79321115615
2011-04-01,1036.4145234156401
2011-07-01,1065.87673102513
2011-10-01,1010.1029342345199
2012-01-01,1066.2822067374302
2012-04-01,1051.55907275374
2012-07-01,1055.64321015512
2012-10-01,1069.18175258212
2013-01-01,1057.43565934942
2013-04-01,1070.44364113247
2013-07-01,1066.4076672947801
2013-10-01,1069.94017634585
2014-01-01,1096.5696335515
2014-04-01,1088.5788561550698
2014-07-01,1088.9350396395698
2014-10-01,1106.2436195458301
2015-01-01,1116.1663306132598
2015-04-01,1116.9829219970698
2015-07-01,1132.16396965236
2015-10-01,1169.35129756732
2016-01-01,1103.23204528551
2016-04-01,1141.60496075748
2016-07-01,1177.3754933620698
2016-10-01,1150.50698612831
2017-01-01,1169.68637267627
2017-04-01,1173.1434186155
2017-07-01,1173.83494413577
2017-10-01,1182.21897996355
2018-01-01,1208.11719962975
2018-04-01,1214.22751680605
2018-07-01,1213.9548618475599
2018-10-01,1224.11714130922
2019-01-01,1241.73512530271
2019-04-01,1239.15573179889
2019-07-01,1252.0198179014399
2019-10-01,1246.35928585262
2020-01-01,1267.7608362619098
2020-04-01,1347.5750838696001
2020-07-01,1335.03060266167
2020-10-01,1413.41916722276
2021-01-01,1352.98349811866
2021-04-01,1395.6767238094799
2021-07-01,1420.20566846291
2021-10-01,1514.82600848327
2022-01-01,1437.41823053796
2022-04-01,1460.0213950809803
2022-07-01,1508.03891716556
2022-10-01,1456.7202093899803
2023-01-01,1502.6744901960699
2023-04-01,1493.0861154371698
2023-07-01,1482.55245589891
2023-10-01,1506.41654000094
2024-01-01,1542.03433955608
