DATE,ENUC310840010SA
2013-01-01,1044.3859001689698
2013-04-01,1060.5118247303599
2013-07-01,1061.37335726399
2013-10-01,1061.83033742716
2014-01-01,1078.82663154963
2014-04-01,1082.7975138065199
2014-07-01,1093.92567765774
2014-10-01,1101.41766702941
2015-01-01,1122.0525572355803
2015-04-01,1124.04245487845
2015-07-01,1129.9615343653802
2015-10-01,1156.4954841071
2016-01-01,1114.3535783208501
2016-04-01,1146.9214477409
2016-07-01,1195.92174283987
2016-10-01,1150.32152413803
2017-01-01,1197.4699893172399
2017-04-01,1190.1124659699199
2017-07-01,1202.1408309159199
2017-10-01,1217.86678483079
2018-01-01,1228.72923957426
2018-04-01,1234.22399911857
2018-07-01,1234.90132228476
2018-10-01,1241.4523716410902
2019-01-01,1262.42542961205
2019-04-01,1277.99482495747
2019-07-01,1283.3018653327902
2019-10-01,1289.5347718459698
2020-01-01,1315.1153275148802
2020-04-01,1397.23620743733
2020-07-01,1397.46737752505
2020-10-01,1466.2037397114902
2021-01-01,1416.31666508056
2021-04-01,1464.62305124019
2021-07-01,1471.4366003576501
2021-10-01,1539.52744931219
2022-01-01,1466.1634841152402
2022-04-01,1498.0267047692
2022-07-01,1537.74467585463
2022-10-01,1489.99726465462
2023-01-01,1535.01895292974
2023-04-01,1538.0463878658402
2023-07-01,1535.06291597484
2023-10-01,1534.17224872898
2024-01-01,1596.90725187519
