DATE,ENUC144640010SA
2000-01-01,932.9808268647861
2000-04-01,904.2423976042129
2000-07-01,928.775724445573
2000-10-01,936.0513691702901
2001-01-01,958.7278940683009
2001-04-01,933.000577975686
2001-07-01,921.210078193595
2001-10-01,930.676432550389
2002-01-01,924.529961931548
2002-04-01,937.5561901143809
2002-07-01,929.1543095742791
2002-10-01,933.014326445234
2003-01-01,937.31935152455
2003-04-01,952.477021239498
2003-07-01,968.772890093448
2003-10-01,979.546777808655
2004-01-01,999.6225079149029
2004-04-01,1013.09206667702
2004-07-01,1023.5037686536099
2004-10-01,1040.3616633061
2005-01-01,1002.8856349193302
2005-04-01,1034.7400092385801
2005-07-01,1075.11214367214
2005-10-01,1057.53126731166
2006-01-01,1086.50829078672
2006-04-01,1086.01501403578
2006-07-01,1082.10399105794
2006-10-01,1112.03894279552
2007-01-01,1153.6887649772
2007-04-01,1141.03200474686
2007-07-01,1145.4128096176
2007-10-01,1157.97426698107
2008-01-01,1187.32362989327
2008-04-01,1176.97012802401
2008-07-01,1167.6732257833999
2008-10-01,1168.76742680582
2009-01-01,1142.25286539738
2009-04-01,1154.81661130661
2009-07-01,1164.66770039223
2009-10-01,1191.49386649606
2010-01-01,1141.0947805080802
2010-04-01,1197.6929994714098
2010-07-01,1222.83791597099
2010-10-01,1243.99792985771
2011-01-01,1209.7691275563302
2011-04-01,1272.56797543512
2011-07-01,1275.75229504458
2011-10-01,1215.8261340034599
2012-01-01,1272.31586723714
2012-04-01,1251.47775063211
2012-07-01,1256.8756119714099
2012-10-01,1289.63451261614
2013-01-01,1266.3381956953801
2013-04-01,1283.31522627931
2013-07-01,1289.06753702156
2013-10-01,1299.57019103311
2014-01-01,1331.0966208852199
2014-04-01,1313.84059540651
2014-07-01,1332.39959353532
2014-10-01,1366.00524977638
2015-01-01,1366.92542725622
2015-04-01,1379.69175148584
2015-07-01,1369.68794557924
2015-10-01,1448.46624395492
2016-01-01,1340.41251346735
2016-04-01,1403.85972787819
2016-07-01,1472.4106891473098
2016-10-01,1419.30473776918
2017-01-01,1439.7660032050699
2017-04-01,1456.14960265483
2017-07-01,1461.41970045329
2017-10-01,1490.027242201
2018-01-01,1526.7588097755
2018-04-01,1504.9498152381198
2018-07-01,1511.88075470693
2018-10-01,1538.4454691184399
2019-01-01,1577.4453642634803
2019-04-01,1573.9076431898498
2019-07-01,1582.07110407061
2019-10-01,1586.14747476574
2020-01-01,1622.03621693921
2020-04-01,1791.9511657063897
2020-07-01,1732.4319224149099
2020-10-01,1866.3749367115802
2021-01-01,1749.65818159995
2021-04-01,1820.9280247771699
2021-07-01,1857.7963022557
2021-10-01,1941.56516957645
2022-01-01,1843.71629173221
2022-04-01,1870.2202848253303
2022-07-01,1923.46788713107
2022-10-01,1886.85930577978
2023-01-01,1915.0517640638398
2023-04-01,1912.63122876787
2023-07-01,1892.29087305996
2023-10-01,1887.9974921285898
2024-01-01,1999.19195006255
