DATE,ENUC191040010SA
2000-01-01,764.421746677868
2000-04-01,767.645348023173
2000-07-01,776.10467836042
2000-10-01,780.697889630388
2001-01-01,796.5095812518899
2001-04-01,785.7538930786501
2001-07-01,786.9520670213451
2001-10-01,786.8940298101551
2002-01-01,792.687931574035
2002-04-01,800.6280029099009
2002-07-01,798.0810708754491
2002-10-01,798.063664624111
2003-01-01,794.646708278874
2003-04-01,809.522532003047
2003-07-01,816.531586204624
2003-10-01,827.347294209343
2004-01-01,832.537713763892
2004-04-01,835.1693651920481
2004-07-01,841.624652825623
2004-10-01,868.975287453336
2005-01-01,837.3059234575239
2005-04-01,868.003510015696
2005-07-01,891.8163899799899
2005-10-01,890.315294594871
2006-01-01,907.131590211257
2006-04-01,909.308404423239
2006-07-01,913.3074062237939
2006-10-01,924.3016665299659
2007-01-01,951.520105026044
2007-04-01,958.3325194104401
2007-07-01,953.040239190627
2007-10-01,953.295953693425
2008-01-01,975.101126418889
2008-04-01,959.588733854879
2008-07-01,969.6109816146339
2008-10-01,964.700125147286
2009-01-01,947.297914459991
2009-04-01,956.223632987216
2009-07-01,959.618530772095
2009-10-01,979.0733082058059
2010-01-01,952.690236622298
2010-04-01,983.930521125242
2010-07-01,987.255775959642
2010-10-01,1007.57647906981
2011-01-01,992.442835585399
2011-04-01,1014.14735603979
2011-07-01,1046.2129506163
2011-10-01,990.9691189223801
2012-01-01,1050.8384221082001
2012-04-01,1025.2996226728699
2012-07-01,1034.4974224381199
2012-10-01,1050.50769701969
2013-01-01,1043.6709680076199
2013-04-01,1049.76677559524
2013-07-01,1050.5779767410002
2013-10-01,1049.60650493554
2014-01-01,1086.62141422572
2014-04-01,1078.08360856544
2014-07-01,1081.6981617086399
2014-10-01,1094.7594610845
2015-01-01,1101.6396172770899
2015-04-01,1104.74033802235
2015-07-01,1102.11647215385
2015-10-01,1151.0428182657301
2016-01-01,1088.42218415714
2016-04-01,1124.26810978528
2016-07-01,1174.9422554867501
2016-10-01,1131.79987105226
2017-01-01,1154.71248479867
2017-04-01,1155.31375171249
2017-07-01,1154.97070513175
2017-10-01,1170.42431822044
2018-01-01,1195.9552183846301
2018-04-01,1188.6577597350802
2018-07-01,1190.61252627187
2018-10-01,1198.9662842663001
2019-01-01,1224.17189232914
2019-04-01,1231.15181070738
2019-07-01,1241.46011040535
2019-10-01,1233.7088770871699
2020-01-01,1258.65834297433
2020-04-01,1290.3986117884801
2020-07-01,1293.35693531375
2020-10-01,1364.99539831205
2021-01-01,1293.38126820294
2021-04-01,1362.27684577554
2021-07-01,1378.5259272029598
2021-10-01,1448.65050680693
2022-01-01,1399.82051476256
2022-04-01,1443.6104389626
2022-07-01,1492.3220591100699
2022-10-01,1437.9889090550303
2023-01-01,1495.46820453815
2023-04-01,1485.05389583251
2023-07-01,1483.62914363383
2023-10-01,1502.9100705943201
2024-01-01,1550.51446903299
