DATE,ENUC379840010SA
2000-01-01,749.4464460821699
2000-04-01,748.858472959977
2000-07-01,759.7718891173289
2000-10-01,768.938746552636
2001-01-01,779.733476843295
2001-04-01,775.6513298053341
2001-07-01,779.421460083566
2001-10-01,779.5742108367509
2002-01-01,796.4679592601669
2002-04-01,797.279870095546
2002-07-01,797.1349920927009
2002-10-01,795.143948905475
2003-01-01,812.089275116264
2003-04-01,825.795062886586
2003-07-01,829.91248095334
2003-10-01,842.6265379759681
2004-01-01,842.4894805612951
2004-04-01,853.2678366981779
2004-07-01,867.705664036295
2004-10-01,897.589018803022
2005-01-01,851.0613495702679
2005-04-01,887.25314742671
2005-07-01,923.777835311046
2005-10-01,911.9225481138201
2006-01-01,932.844369926906
2006-04-01,932.582542533546
2006-07-01,934.489848253414
2006-10-01,940.5426779504671
2007-01-01,974.270446943844
2007-04-01,972.329506381405
2007-07-01,966.943076061575
2007-10-01,976.496972740009
2008-01-01,995.561824099022
2008-04-01,995.889055713678
2008-07-01,997.297874257503
2008-10-01,995.30639400409
2009-01-01,984.4795961525169
2009-04-01,996.978206139533
2009-07-01,999.0891656342669
2009-10-01,1033.8714573595
2010-01-01,985.928434971143
2010-04-01,1016.19531344395
2010-07-01,1034.05600896084
2010-10-01,1049.4842714486501
2011-01-01,1022.53137160467
2011-04-01,1041.8978812790199
2011-07-01,1084.27288576048
2011-10-01,1034.8924617427901
2012-01-01,1081.87210139715
2012-04-01,1062.78930797747
2012-07-01,1068.82530638998
2012-10-01,1085.6984188651402
2013-01-01,1076.43069335144
2013-04-01,1090.2257775280802
2013-07-01,1079.1359208386698
2013-10-01,1086.6884144983098
2014-01-01,1111.9949333321601
2014-04-01,1101.5471495777
2014-07-01,1098.92379103264
2014-10-01,1120.24292706393
2015-01-01,1121.60775289765
2015-04-01,1133.93265062181
2015-07-01,1127.51825760527
2015-10-01,1179.8636420233302
2016-01-01,1098.00488585007
2016-04-01,1143.23110599141
2016-07-01,1184.3756125391699
2016-10-01,1147.8900282197599
2017-01-01,1166.37003892904
2017-04-01,1165.3600436
2017-07-01,1167.74890814174
2017-10-01,1180.8571659803802
2018-01-01,1203.98690613179
2018-04-01,1194.16611775053
2018-07-01,1200.87026610676
2018-10-01,1205.22296618397
2019-01-01,1238.44605859679
2019-04-01,1235.63492378507
2019-07-01,1242.16634577598
2019-10-01,1241.88049945511
2020-01-01,1266.30311094635
2020-04-01,1364.78349171066
2020-07-01,1343.5786432165598
2020-10-01,1402.6500781920902
2021-01-01,1313.88454246025
2021-04-01,1369.33672339441
2021-07-01,1388.6971979208802
2021-10-01,1459.4567763053901
2022-01-01,1396.2538532152698
2022-04-01,1427.6858620598
2022-07-01,1475.2024980695599
2022-10-01,1419.23633862582
2023-01-01,1465.5526120169102
2023-04-01,1457.5771360808899
2023-07-01,1450.33466797641
2023-10-01,1458.47303118983
2024-01-01,1506.54512704116
