city,year,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E5,E6,E7,E9,E10,E11,E13,E14,E15,E17,E18,E19,E21,E22,E23,F1,F2,F3,F5,F6,F7,F9,F10,F11,F13,F14,F15,F17,F18,F19,F21,F22,F23,G1,G2,G3,G5,G6,G7,G9,G10,G11,G13,G14,G15,G17,G18,G19,H1,H2,H4,H5,H7,H8,H10,H11,H13,H14,H16,I1,I2,I4,I5,I7,I8,I10,I11,I13,I14,I16,J1,J2,J4,J5,J7,J8,J10,J11,J13,J14,J16
"New York city, New York",2010-2014,96745.0,652730.0,749475.0,98625.0,332255.0,430880.0,148970.0,358235.0,507205.0,96840.0,175915.0,272755.0,547615.0,587990.0,1135605.0,988805.0,2107130.0,3095930.0,404210.0,1162000.0,1566210.0,575400.0,896600.0,1472000.0,9195.0,48530.0,57725.0,235700.0,760010.0,995710.0,743910.0,1298590.0,2042500.0,602820.0,1013280.0,1616100.0,178745.0,457440.0,636185.0,197695.0,582695.0,780390.0,9545.0,53705.0,63250.0,594650.0,97100.0,57725.0,343405.0,87480.0,0.0,303475.0,203735.0,0.0,112975.0,159780.0,0.0,211695.0,923905.0,0.0,1566210.0,1472000.0,57725.0,516065.0,88135.0,48530.0,268855.0,63400.0,0.0,216430.0,141810.0,0.0,64900.0,111015.0,0.0,95745.0,492240.0,0.0,1162000.0,896600.0,48530.0,78585.0,8965.0,9195.0,74550.0,24080.0,0.0,87045.0,61925.0,0.0,48075.0,48765.0,0.0,115950.0,431665.0,0.0,579470.0,475255.0,327820.0,177315.0,262910.0,81630.0,91280.0,23575.0,155100.0,22625.0,1416580.0,501765.0,408000.0,255095.0,128425.0,179455.0,34675.0,46285.0,7330.0,57535.0,4265.0,1040135.0,77705.0,67255.0,72720.0,48885.0,83450.0,46950.0,44990.0,16240.0,97575.0,18365.0,376440.0
"Camden city, New Jersey",2010-2014,2195.0,8105.0,10300.0,1555.0,2725.0,4280.0,2430.0,1925.0,4355.0,1125.0,875.0,2000.0,2585.0,1670.0,4255.0,9890.0,15300.0,25190.0,4005.0,9520.0,13525.0,5715.0,5080.0,10795.0,170.0,695.0,865.0,2405.0,6795.0,9200.0,7315.0,7810.0,15125.0,5920.0,5630.0,11550.0,1665.0,2965.0,4630.0,2125.0,5935.0,8060.0,180.0,775.0,955.0,8030.0,1400.0,865.0,2980.0,1305.0,0.0,1650.0,2700.0,0.0,350.0,1650.0,0.0,520.0,3735.0,0.0,13525.0,10795.0,865.0,6265.0,1140.0,695.0,2060.0,670.0,0.0,815.0,1110.0,0.0,190.0,685.0,0.0,195.0,1475.0,0.0,9520.0,5080.0,695.0,1765.0,260.0,170.0,920.0,635.0,0.0,835.0,1590.0,0.0,160.0,965.0,0.0,325.0,2260.0,0.0,7835.0,6500.0,2890.0,1160.0,1490.0,290.0,225.0,75.0,250.0,35.0,12690.0,6100.0,5070.0,1990.0,795.0,710.0,55.0,65.0,15.0,35.0,0.0,8900.0,1735.0,1430.0,900.0,365.0,780.0,235.0,160.0,60.0,215.0,35.0,3790.0
"Jersey City city, New Jersey",2010-2014,1735.0,17560.0,19295.0,2660.0,9170.0,11830.0,3580.0,10495.0,14075.0,2910.0,6045.0,8955.0,18000.0,24475.0,42475.0,28890.0,67745.0,96635.0,13580.0,33290.0,46870.0,15195.0,32750.0,47945.0,110.0,1710.0,1820.0,7545.0,21080.0,28625.0,21235.0,44960.0,66195.0,15995.0,35820.0,51815.0,6370.0,13960.0,20330.0,6410.0,16095.0,22505.0,110.0,1875.0,1985.0,15420.0,2055.0,1820.0,10365.0,1465.0,0.0,9025.0,5055.0,0.0,3985.0,4975.0,0.0,8080.0,34395.0,0.0,46870.0,47945.0,1820.0,13850.0,2000.0,1710.0,7815.0,1355.0,0.0,6410.0,4090.0,0.0,2030.0,4015.0,0.0,3190.0,21285.0,0.0,33290.0,32750.0,1710.0,1570.0,55.0,110.0,2550.0,110.0,0.0,2615.0,965.0,0.0,1955.0,960.0,0.0,4890.0,13110.0,0.0,15140.0,12740.0,10080.0,5255.0,8295.0,2510.0,3310.0,1135.0,6000.0,860.0,42825.0,13570.0,11320.0,7590.0,3340.0,5725.0,980.0,1445.0,320.0,1725.0,135.0,30055.0,1570.0,1420.0,2490.0,1915.0,2575.0,1535.0,1875.0,820.0,4270.0,720.0,12780.0
"Newark city, New Jersey",2010-2014,2570.0,30250.0,32820.0,3205.0,15205.0,18410.0,3365.0,10755.0,14120.0,2530.0,5630.0,8160.0,8750.0,9510.0,18260.0,20420.0,71350.0,91770.0,11980.0,41930.0,53910.0,8235.0,27785.0,36020.0,210.0,1630.0,1840.0,6930.0,26320.0,33250.0,13280.0,43400.0,56680.0,8780.0,31230.0,40010.0,5340.0,17240.0,22580.0,6090.0,21025.0,27115.0,210.0,1855.0,2065.0,25335.0,5640.0,1840.0,14640.0,3775.0,0.0,7450.0,6665.0,0.0,2715.0,5450.0,0.0,3765.0,14495.0,0.0,53910.0,36020.0,1840.0,23070.0,5545.0,1630.0,11960.0,3245.0,0.0,4955.0,5800.0,0.0,1090.0,4540.0,0.0,850.0,8660.0,0.0,41930.0,27785.0,1630.0,2265.0,95.0,210.0,2680.0,530.0,0.0,2495.0,865.0,0.0,1625.0,910.0,0.0,2915.0,5835.0,0.0,24550.0,19795.0,13995.0,4915.0,6400.0,1580.0,2130.0,500.0,2610.0,315.0,49685.0,22290.0,17725.0,11335.0,3050.0,3960.0,250.0,565.0,0.0,115.0,0.0,38265.0,2265.0,2075.0,2655.0,1865.0,2445.0,1335.0,1570.0,500.0,2495.0,315.0,11430.0
"Philadelphia city, Pennsylvania",2010-2014,54255.0,105440.0,159695.0,44385.0,46995.0,91380.0,57840.0,49375.0,107215.0,30805.0,21570.0,52375.0,119540.0,50095.0,169635.0,306825.0,273475.0,580295.0,97720.0,146335.0,244055.0,204195.0,115280.0,319475.0,4905.0,11860.0,16765.0,49220.0,91730.0,140950.0,252695.0,169885.0,422580.0,208590.0,121225.0,329815.0,49855.0,57185.0,107040.0,43195.0,82685.0,125880.0,5180.0,12385.0,17565.0,117435.0,25495.0,16765.0,59540.0,31835.0,0.0,43055.0,64160.0,0.0,11265.0,41105.0,0.0,12750.0,156880.0,0.0,244055.0,319475.0,16765.0,77180.0,16400.0,11860.0,37350.0,9640.0,0.0,22885.0,26490.0,0.0,4680.0,16890.0,0.0,4235.0,45860.0,0.0,146335.0,115280.0,11860.0,40255.0,9095.0,4905.0,22190.0,22195.0,0.0,20170.0,37670.0,0.0,6585.0,24215.0,0.0,8515.0,111020.0,0.0,115500.0,93220.0,57525.0,23650.0,40315.0,6940.0,9655.0,1175.0,9925.0,900.0,232920.0,75985.0,65410.0,36025.0,13925.0,21265.0,2650.0,3890.0,420.0,2705.0,280.0,139870.0,39510.0,27805.0,21505.0,9730.0,19045.0,4285.0,5770.0,755.0,7220.0,620.0,93050.0
"Los Angeles city, California",2010-2014,43175.0,255830.0,299005.0,48350.0,159480.0,207830.0,76500.0,153670.0,230170.0,48235.0,69485.0,117720.0,277610.0,197035.0,474645.0,493870.0,835505.0,1329370.0,234595.0,541990.0,776585.0,254830.0,274745.0,529575.0,4440.0,18770.0,23210.0,134715.0,384160.0,518875.0,354710.0,432570.0,787280.0,271255.0,340675.0,611930.0,107585.0,205625.0,313210.0,110445.0,267005.0,377450.0,4575.0,22200.0,26775.0,250015.0,25775.0,23210.0,182205.0,25625.0,0.0,162960.0,67215.0,0.0,62730.0,54995.0,0.0,118670.0,355970.0,0.0,776585.0,529575.0,23210.0,215220.0,21840.0,18770.0,145385.0,14095.0,0.0,110600.0,43070.0,0.0,33020.0,36470.0,0.0,37760.0,159270.0,0.0,541990.0,274745.0,18770.0,34795.0,3935.0,4440.0,36820.0,11530.0,0.0,52360.0,24145.0,0.0,29710.0,18525.0,0.0,80910.0,196700.0,0.0,243030.0,208660.0,169965.0,90755.0,133265.0,46535.0,50200.0,13725.0,94200.0,17775.0,690660.0,208605.0,179040.0,134060.0,64000.0,84465.0,19490.0,23400.0,2900.0,22100.0,1575.0,472630.0,34425.0,29620.0,35905.0,26755.0,48800.0,27045.0,26800.0,10825.0,72100.0,16200.0,218030.0
"Long Beach city, California",2010-2014,4415.0,27635.0,32050.0,5780.0,18375.0,24155.0,9250.0,19270.0,28520.0,6910.0,9350.0,16260.0,39220.0,23025.0,62245.0,65575.0,97655.0,163230.0,26245.0,58815.0,85060.0,39005.0,37130.0,76135.0,330.0,1710.0,2040.0,13445.0,40685.0,54130.0,51805.0,55260.0,107065.0,41675.0,44095.0,85770.0,13705.0,23360.0,37065.0,9860.0,28395.0,38255.0,335.0,1820.0,2155.0,27190.0,2820.0,2040.0,20615.0,3540.0,0.0,17470.0,11050.0,0.0,7095.0,9165.0,0.0,12685.0,49560.0,0.0,85060.0,76135.0,2040.0,23680.0,2245.0,1710.0,16685.0,1690.0,0.0,11760.0,7510.0,0.0,3475.0,5875.0,0.0,3215.0,19815.0,0.0,58815.0,37130.0,1710.0,3510.0,575.0,330.0,3930.0,1850.0,0.0,5710.0,3540.0,0.0,3620.0,3290.0,0.0,9470.0,29745.0,0.0,26815.0,22945.0,19330.0,9060.0,14255.0,4150.0,5500.0,945.0,9405.0,1145.0,75305.0,23370.0,20035.0,15605.0,6480.0,9010.0,1680.0,2335.0,105.0,1435.0,95.0,51755.0,3445.0,2910.0,3730.0,2585.0,5245.0,2470.0,3170.0,840.0,7975.0,1055.0,23565.0
"Anaheim city, California",2010-2014,3520.0,15835.0,19355.0,5170.0,11860.0,17030.0,8420.0,11400.0,19820.0,5695.0,4910.0,10605.0,24235.0,8160.0,32395.0,47040.0,52165.0,99210.0,19540.0,36240.0,55780.0,27420.0,15050.0,42470.0,85.0,875.0,960.0,10785.0,26585.0,37370.0,36170.0,24710.0,60880.0,29645.0,19885.0,49530.0,9650.0,14255.0,23905.0,7635.0,16955.0,24590.0,110.0,1070.0,1180.0,16550.0,1850.0,960.0,14645.0,2385.0,0.0,12925.0,6900.0,0.0,4800.0,5810.0,0.0,6860.0,25525.0,0.0,55780.0,42470.0,960.0,13725.0,1240.0,875.0,11180.0,680.0,0.0,7635.0,3765.0,0.0,1965.0,2950.0,0.0,1740.0,6415.0,0.0,36240.0,15050.0,875.0,2825.0,610.0,85.0,3465.0,1705.0,0.0,5290.0,3135.0,0.0,2835.0,2860.0,0.0,5120.0,19110.0,0.0,16180.0,14270.0,13975.0,6640.0,10180.0,2620.0,3490.0,575.0,4675.0,490.0,48500.0,13420.0,11910.0,10730.0,4395.0,5375.0,545.0,1050.0,90.0,635.0,15.0,31210.0,2760.0,2360.0,3245.0,2245.0,4805.0,2075.0,2435.0,480.0,4040.0,475.0,17285.0
"Chicago city, Illinois",2010-2014,43205.0,182180.0,225385.0,48810.0,95800.0,144610.0,69740.0,99145.0,168885.0,44390.0,47100.0,91490.0,253310.0,145150.0,398460.0,459455.0,569375.0,1028830.0,175390.0,292655.0,468045.0,279825.0,256360.0,536185.0,4240.0,20355.0,24595.0,90840.0,180265.0,271105.0,364375.0,368750.0,733125.0,288200.0,274725.0,562925.0,87830.0,121805.0,209635.0,79060.0,150975.0,230035.0,4365.0,21875.0,26240.0,176725.0,24065.0,24595.0,114230.0,30375.0,0.0,87825.0,81060.0,0.0,32655.0,58840.0,0.0,56615.0,341845.0,0.0,468045.0,536185.0,24595.0,141230.0,20595.0,20355.0,79335.0,16460.0,0.0,46910.0,52235.0,0.0,12005.0,35095.0,0.0,13175.0,131975.0,0.0,292655.0,256360.0,20355.0,35495.0,3470.0,4240.0,34895.0,13915.0,0.0,40915.0,28825.0,0.0,20650.0,23745.0,0.0,43440.0,209870.0,0.0,173425.0,144460.0,109870.0,50260.0,80120.0,22895.0,29175.0,6080.0,47075.0,6340.0,439665.0,138180.0,114590.0,75560.0,28490.0,40685.0,6435.0,9885.0,1080.0,8470.0,380.0,272780.0,35245.0,29870.0,34310.0,21770.0,39435.0,16460.0,19290.0,5000.0,38610.0,5960.0,166890.0
"Naperville city, Illinois",2010-2014,1195.0,1710.0,2905.0,1570.0,1240.0,2810.0,2790.0,2135.0,4925.0,2185.0,1365.0,3550.0,29925.0,5615.0,35540.0,37670.0,12070.0,49740.0,9435.0,4875.0,14310.0,28060.0,7030.0,35090.0,175.0,165.0,340.0,4010.0,2715.0,6725.0,33485.0,9190.0,42675.0,28210.0,7295.0,35505.0,5450.0,2230.0,7680.0,3820.0,2375.0,6195.0,175.0,175.0,350.0,2345.0,225.0,340.0,2445.0,370.0,0.0,3235.0,1690.0,0.0,1840.0,1710.0,0.0,4445.0,31095.0,0.0,14310.0,35090.0,340.0,1335.0,215.0,165.0,1130.0,115.0,0.0,1405.0,730.0,0.0,650.0,715.0,0.0,355.0,5260.0,0.0,4875.0,7030.0,165.0,1010.0,10.0,175.0,1315.0,255.0,0.0,1830.0,960.0,0.0,1190.0,995.0,0.0,4090.0,25835.0,0.0,2340.0,2180.0,2420.0,1780.0,3170.0,1125.0,1735.0,480.0,4220.0,635.0,13885.0,1320.0,1215.0,1110.0,840.0,1365.0,215.0,565.0,60.0,245.0,45.0,4605.0,1010.0,960.0,1315.0,940.0,1810.0,910.0,1165.0,420.0,3970.0,590.0,9270.0
