city,year,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E5,E6,E7,E9,E10,E11,E13,E14,E15,E17,E18,E19,E21,E22,E23,F1,F2,F3,F5,F6,F7,F9,F10,F11,F13,F14,F15,F17,F18,F19,F21,F22,F23,G1,G2,G3,G5,G6,G7,G9,G10,G11,G13,G14,G15,G17,G18,G19,H1,H2,H4,H5,H7,H8,H10,H11,H13,H14,H16,I1,I2,I4,I5,I7,I8,I10,I11,I13,I14,I16,J1,J2,J4,J5,J7,J8,J10,J11,J13,J14,J16
"New York city, New York",2013-2017,109040.0,671460.0,780500.0,102935.0,330635.0,433570.0,155830.0,353175.0,509005.0,100885.0,169295.0,270180.0,556645.0,592510.0,1149155.0,1025330.0,2117075.0,3142405.0,387555.0,1161125.0,1548680.0,627780.0,906865.0,1534645.0,9995.0,49085.0,59080.0,228600.0,755405.0,984005.0,786740.0,1312585.0,2099325.0,661345.0,1025865.0,1687210.0,169015.0,462380.0,631395.0,184615.0,575920.0,760535.0,10360.0,52915.0,63275.0,616755.0,104665.0,59080.0,340325.0,93245.0,0.0,292740.0,216265.0,0.0,105810.0,164365.0,0.0,193050.0,956100.0,0.0,1548680.0,1534645.0,59080.0,530150.0,92225.0,49085.0,266780.0,63855.0,0.0,207750.0,145425.0,0.0,60200.0,109095.0,0.0,96245.0,496265.0,0.0,1161125.0,906865.0,49085.0,86605.0,12440.0,9995.0,73545.0,29390.0,0.0,84990.0,70840.0,0.0,45610.0,55270.0,0.0,96805.0,459835.0,0.0,601605.0,488570.0,324110.0,164350.0,252300.0,72985.0,83710.0,19390.0,130195.0,15240.0,1391920.0,516290.0,415570.0,252705.0,117805.0,172035.0,31880.0,41770.0,7030.0,55500.0,3635.0,1038300.0,85325.0,73005.0,71410.0,46545.0,80260.0,41100.0,41940.0,12360.0,74695.0,11605.0,353630.0
"Camden city, New Jersey",2013-2017,2600.0,8110.0,10710.0,1900.0,2935.0,4835.0,2280.0,2255.0,4535.0,1065.0,705.0,1770.0,2035.0,1310.0,3345.0,9875.0,15320.0,25195.0,3875.0,9080.0,12955.0,5795.0,5855.0,11650.0,205.0,385.0,590.0,2375.0,6130.0,8505.0,7295.0,8805.0,16100.0,6030.0,6385.0,12415.0,1605.0,3065.0,4670.0,2030.0,5375.0,7405.0,205.0,490.0,695.0,8205.0,1915.0,590.0,2990.0,1845.0,0.0,1265.0,3270.0,0.0,145.0,1625.0,0.0,350.0,3000.0,0.0,12955.0,11650.0,590.0,6215.0,1510.0,385.0,2005.0,930.0,0.0,625.0,1630.0,0.0,65.0,645.0,0.0,170.0,1145.0,0.0,9080.0,5855.0,385.0,1990.0,405.0,205.0,985.0,915.0,0.0,640.0,1640.0,0.0,80.0,980.0,0.0,180.0,1855.0,0.0,7990.0,6355.0,2885.0,940.0,1010.0,115.0,60.0,0.0,145.0,0.0,12090.0,6000.0,4875.0,1970.0,475.0,440.0,25.0,20.0,0.0,10.0,0.0,8440.0,1990.0,1480.0,910.0,460.0,570.0,90.0,35.0,0.0,130.0,0.0,3635.0
"Jersey City city, New Jersey",2013-2017,1995.0,17920.0,19915.0,2380.0,9680.0,12060.0,3645.0,10675.0,14320.0,2575.0,5525.0,8100.0,17975.0,27680.0,45655.0,28570.0,71480.0,100050.0,11845.0,34555.0,46400.0,16540.0,34900.0,51440.0,185.0,2025.0,2210.0,6555.0,22335.0,28890.0,21830.0,47120.0,68950.0,17410.0,38625.0,56035.0,5630.0,13730.0,19360.0,5335.0,17030.0,22365.0,200.0,2095.0,2295.0,15360.0,2350.0,2210.0,10515.0,1540.0,0.0,9110.0,5210.0,0.0,3275.0,4825.0,0.0,8140.0,37515.0,0.0,46400.0,51440.0,2210.0,13590.0,2310.0,2025.0,8315.0,1360.0,0.0,6565.0,4110.0,0.0,1735.0,3790.0,0.0,4350.0,23330.0,0.0,34555.0,34900.0,2025.0,1770.0,40.0,185.0,2200.0,180.0,0.0,2545.0,1100.0,0.0,1540.0,1035.0,0.0,3790.0,14185.0,0.0,15210.0,13185.0,10320.0,5325.0,8370.0,2375.0,2620.0,850.0,5200.0,630.0,41720.0,13455.0,11550.0,8150.0,3845.0,5885.0,1010.0,1150.0,330.0,2120.0,295.0,30760.0,1755.0,1635.0,2170.0,1480.0,2490.0,1365.0,1470.0,520.0,3080.0,335.0,10965.0
"Newark city, New Jersey",2013-2017,3100.0,31640.0,34740.0,3035.0,15960.0,18995.0,4045.0,11580.0,15625.0,2410.0,5455.0,7865.0,9120.0,8965.0,18085.0,21710.0,73605.0,95315.0,11755.0,43480.0,55235.0,9760.0,28280.0,38040.0,195.0,1845.0,2040.0,7035.0,27075.0,34110.0,14480.0,44680.0,59160.0,10560.0,30895.0,41455.0,5060.0,17905.0,22965.0,5890.0,22770.0,28660.0,195.0,2030.0,2225.0,27185.0,5510.0,2040.0,14950.0,4050.0,0.0,7920.0,7710.0,0.0,2380.0,5485.0,0.0,2800.0,15290.0,0.0,55235.0,38040.0,2040.0,24415.0,5375.0,1845.0,12445.0,3520.0,0.0,4965.0,6620.0,0.0,1025.0,4430.0,0.0,630.0,8335.0,0.0,43480.0,28280.0,1845.0,2770.0,135.0,195.0,2505.0,530.0,0.0,2955.0,1090.0,0.0,1355.0,1055.0,0.0,2170.0,6955.0,0.0,26715.0,21630.0,14315.0,5045.0,6835.0,1520.0,1825.0,255.0,1950.0,220.0,51640.0,23975.0,19255.0,11855.0,3295.0,4065.0,220.0,580.0,0.0,200.0,0.0,40675.0,2735.0,2370.0,2460.0,1750.0,2765.0,1295.0,1245.0,255.0,1745.0,220.0,10950.0
"Philadelphia city, Pennsylvania",2013-2017,56800.0,112945.0,169745.0,44000.0,46560.0,90560.0,59080.0,48250.0,107330.0,31250.0,21885.0,53135.0,117570.0,52950.0,170520.0,308695.0,282585.0,591280.0,89680.0,141875.0,231555.0,212475.0,120845.0,333320.0,6540.0,19865.0,26405.0,46360.0,89215.0,135575.0,255795.0,173505.0,429300.0,217015.0,126970.0,343985.0,44435.0,55330.0,99765.0,40490.0,79810.0,120300.0,6760.0,20480.0,27240.0,116645.0,26695.0,26405.0,58055.0,32505.0,0.0,36570.0,70760.0,0.0,9700.0,43430.0,0.0,10590.0,159930.0,0.0,231555.0,333320.0,26405.0,76790.0,16290.0,19865.0,36915.0,9645.0,0.0,19950.0,28300.0,0.0,4475.0,17405.0,0.0,3745.0,49205.0,0.0,141875.0,120845.0,19865.0,39855.0,10405.0,6540.0,21140.0,22860.0,0.0,16620.0,42460.0,0.0,5225.0,26025.0,0.0,6845.0,110725.0,0.0,114885.0,92095.0,55870.0,20360.0,33915.0,5890.0,8015.0,955.0,7370.0,1000.0,220055.0,75625.0,64430.0,35690.0,12230.0,18240.0,2640.0,3430.0,300.0,2155.0,210.0,135140.0,39260.0,27665.0,20185.0,8130.0,15680.0,3250.0,4585.0,655.0,5215.0,790.0,84925.0
"Los Angeles city, California",2013-2017,45345.0,261955.0,307300.0,50170.0,158645.0,208815.0,76650.0,158250.0,234900.0,47395.0,72650.0,120045.0,282605.0,210560.0,493165.0,502165.0,862060.0,1364225.0,213390.0,554520.0,767910.0,284330.0,287725.0,572055.0,4445.0,19815.0,24260.0,121250.0,388270.0,509520.0,376470.0,453980.0,830450.0,303175.0,358230.0,661405.0,98840.0,214280.0,313120.0,95530.0,266855.0,362385.0,4625.0,22695.0,27320.0,257015.0,26035.0,24260.0,181110.0,27705.0,0.0,161550.0,73355.0,0.0,61460.0,58580.0,0.0,106780.0,386385.0,0.0,767910.0,572055.0,24260.0,220990.0,21155.0,19815.0,144280.0,14365.0,0.0,111705.0,46550.0,0.0,35310.0,37340.0,0.0,42240.0,168320.0,0.0,554520.0,287725.0,19815.0,36025.0,4880.0,4445.0,36830.0,13340.0,0.0,49845.0,26805.0,0.0,26150.0,21240.0,0.0,64540.0,218065.0,0.0,250275.0,209775.0,168485.0,87365.0,130595.0,42530.0,48165.0,10840.0,77980.0,11870.0,675500.0,214825.0,179515.0,132745.0,61870.0,85205.0,20375.0,25125.0,3505.0,23235.0,1590.0,481135.0,35450.0,30265.0,35740.0,25495.0,45390.0,22155.0,23040.0,7335.0,54750.0,10280.0,194370.0
"Long Beach city, California",2013-2017,5410.0,27180.0,32590.0,5850.0,18205.0,24055.0,8905.0,19670.0,28575.0,7150.0,10345.0,17495.0,38680.0,23605.0,62285.0,66000.0,99000.0,165000.0,24070.0,57965.0,82035.0,41540.0,39320.0,80860.0,385.0,1720.0,2105.0,12610.0,39425.0,52035.0,53005.0,57860.0,110865.0,44320.0,47170.0,91490.0,12295.0,23315.0,35610.0,9000.0,26615.0,35615.0,390.0,1900.0,2290.0,27625.0,2855.0,2105.0,20330.0,3725.0,0.0,17045.0,11530.0,0.0,6205.0,11290.0,0.0,10825.0,51455.0,0.0,82035.0,80860.0,2105.0,23450.0,2010.0,1720.0,16435.0,1770.0,0.0,11780.0,7890.0,0.0,3225.0,7120.0,0.0,3075.0,20525.0,0.0,57965.0,39320.0,1720.0,4175.0,845.0,385.0,3895.0,1955.0,0.0,5265.0,3640.0,0.0,2980.0,4170.0,0.0,7750.0,30930.0,0.0,27050.0,22475.0,18705.0,8425.0,13230.0,3205.0,4720.0,775.0,7515.0,740.0,71220.0,23015.0,19090.0,15005.0,5840.0,8470.0,1440.0,2095.0,155.0,1345.0,90.0,49930.0,4040.0,3385.0,3700.0,2585.0,4755.0,1760.0,2625.0,620.0,6175.0,650.0,21295.0
"Anaheim city, California",2013-2017,3670.0,15435.0,19105.0,4695.0,11985.0,16680.0,8420.0,12925.0,21345.0,5385.0,5440.0,10825.0,22880.0,9440.0,32320.0,45050.0,55230.0,100280.0,16590.0,37325.0,53915.0,28265.0,17160.0,45425.0,195.0,745.0,940.0,8810.0,26195.0,35005.0,36050.0,28285.0,64335.0,30495.0,22580.0,53075.0,8400.0,15305.0,23705.0,5960.0,16485.0,22445.0,195.0,850.0,1045.0,16510.0,1660.0,940.0,14340.0,2340.0,0.0,13515.0,7830.0,0.0,4260.0,6565.0,0.0,5290.0,27035.0,0.0,53915.0,45425.0,940.0,13640.0,1050.0,745.0,11325.0,660.0,0.0,8590.0,4335.0,0.0,1910.0,3530.0,0.0,1855.0,7585.0,0.0,37325.0,17160.0,745.0,2870.0,610.0,195.0,3015.0,1680.0,0.0,4925.0,3495.0,0.0,2350.0,3035.0,0.0,3435.0,19450.0,0.0,16220.0,14185.0,13460.0,5740.0,10335.0,1905.0,3105.0,395.0,3045.0,230.0,46165.0,13375.0,11830.0,10665.0,4000.0,5940.0,575.0,1235.0,40.0,575.0,40.0,31790.0,2840.0,2350.0,2790.0,1740.0,4395.0,1330.0,1865.0,355.0,2470.0,185.0,14360.0
"Chicago city, Illinois",2013-2017,46485.0,181880.0,228365.0,49630.0,97685.0,147315.0,69620.0,97310.0,166930.0,44295.0,47390.0,91685.0,256555.0,155935.0,412490.0,466585.0,580200.0,1046790.0,153590.0,283855.0,437445.0,308370.0,275790.0,584160.0,4630.0,20560.0,25190.0,80240.0,169795.0,250035.0,381715.0,389850.0,771565.0,318100.0,293340.0,611440.0,75910.0,121975.0,197885.0,67850.0,143020.0,210870.0,4735.0,21865.0,26600.0,177525.0,25660.0,25190.0,111460.0,35860.0,0.0,77300.0,89630.0,0.0,27600.0,64085.0,0.0,43565.0,368930.0,0.0,437445.0,584160.0,25190.0,139585.0,21740.0,20560.0,77450.0,20240.0,0.0,41665.0,55645.0,0.0,11955.0,35435.0,0.0,13205.0,142735.0,0.0,283855.0,275790.0,20560.0,37940.0,3920.0,4630.0,34010.0,15620.0,0.0,35635.0,33985.0,0.0,15645.0,28650.0,0.0,30360.0,226195.0,0.0,174080.0,141565.0,107090.0,44245.0,70660.0,17685.0,24055.0,3895.0,32860.0,3475.0,408745.0,136380.0,110230.0,73970.0,25635.0,36590.0,5955.0,10000.0,910.0,8055.0,290.0,264995.0,37700.0,31335.0,33120.0,18610.0,34075.0,11735.0,14055.0,2985.0,24810.0,3185.0,143760.0
"Naperville city, Illinois",2013-2017,1345.0,1890.0,3235.0,1410.0,1365.0,2775.0,3110.0,2245.0,5355.0,2420.0,1380.0,3800.0,30400.0,5710.0,36110.0,38685.0,12590.0,51270.0,8035.0,5210.0,13245.0,30430.0,7200.0,37630.0,220.0,180.0,400.0,3245.0,2995.0,6240.0,35220.0,9415.0,44635.0,30555.0,7595.0,38150.0,4810.0,2320.0,7130.0,3110.0,2495.0,5605.0,220.0,180.0,400.0,2630.0,205.0,400.0,2385.0,390.0,0.0,3310.0,2045.0,0.0,1345.0,2460.0,0.0,3580.0,32530.0,0.0,13245.0,37630.0,400.0,1535.0,175.0,180.0,1245.0,120.0,0.0,1550.0,695.0,0.0,440.0,940.0,0.0,440.0,5270.0,0.0,5210.0,7200.0,180.0,1095.0,30.0,220.0,1140.0,270.0,0.0,1760.0,1350.0,0.0,905.0,1520.0,0.0,3140.0,27260.0,0.0,2625.0,2375.0,2285.0,1465.0,3260.0,1145.0,1275.0,195.0,3280.0,420.0,12725.0,1535.0,1360.0,1175.0,805.0,1500.0,320.0,380.0,0.0,225.0,10.0,4815.0,1095.0,1015.0,1110.0,660.0,1760.0,825.0,895.0,195.0,3060.0,415.0,7920.0
