geoname,sumlevel,year,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E5,E6,E7,E9,E10,E11,E13,E14,E15,E17,E18,E19,E21,E22,E23,F1,F2,F3,F5,F6,F7,F9,F10,F11,F13,F14,F15,F17,F18,F19,F21,F22,F23,G1,G2,G3,G5,G6,G7,G9,G10,G11,G13,G14,G15,G17,G18,G19,H1,H2,H4,H5,H7,H8,H10,H11,H13,H14,H16,I1,I2,I4,I5,I7,I8,I10,I11,I13,I14,I16,J1,J2,J4,J5,J7,J8,J10,J11,J13,J14,J16
"New York city, New York",City,2008-2012,87285.0,612550.0,699835.0,95430.0,325265.0,420695.0,144425.0,358200.0,502625.0,95130.0,175470.0,270600.0,568335.0,601305.0,1169640.0,990610.0,2072785.0,3063395.0,414450.0,1127870.0,1542320.0,568265.0,900750.0,1469015.0,7895.0,44165.0,52060.0,242615.0,737350.0,979965.0,740100.0,1291270.0,2031370.0,594515.0,1022220.0,1616735.0,182195.0,444760.0,626955.0,205655.0,556225.0,761880.0,8240.0,49575.0,57815.0,557485.0,90290.0,52060.0,334000.0,86700.0,0.0,301300.0,201315.0,0.0,113900.0,156705.0,0.0,235635.0,934000.0,0.0,1542320.0,1469015.0,52060.0,485275.0,83110.0,44165.0,261230.0,64035.0,0.0,215020.0,143175.0,0.0,65185.0,110285.0,0.0,101160.0,500140.0,0.0,1127870.0,900750.0,44165.0,72210.0,7180.0,7895.0,72770.0,22665.0,0.0,86280.0,58140.0,0.0,48715.0,46420.0,0.0,134475.0,433860.0,0.0,542895.0,446290.0,319585.0,172570.0,261375.0,86740.0,91315.0,26305.0,173670.0,29975.0,1388840.0,471315.0,383880.0,248255.0,124965.0,177925.0,35845.0,45740.0,6570.0,57750.0,4965.0,1000985.0,71575.0,62410.0,71325.0,47600.0,83450.0,50895.0,45580.0,19740.0,115920.0,25010.0,387850.0
"Camden city, New Jersey",City,2008-2012,2120.0,7775.0,9895.0,1750.0,3005.0,4755.0,2370.0,1940.0,4310.0,1410.0,570.0,1980.0,2225.0,1560.0,3785.0,9875.0,14855.0,24730.0,4325.0,9850.0,14175.0,5390.0,4430.0,9820.0,165.0,570.0,735.0,2555.0,6860.0,9415.0,7155.0,7420.0,14575.0,5615.0,4960.0,10575.0,1845.0,3330.0,5175.0,2235.0,5940.0,8175.0,175.0,630.0,805.0,8200.0,960.0,735.0,3335.0,1415.0,0.0,1780.0,2535.0,0.0,395.0,1585.0,0.0,470.0,3320.0,0.0,14175.0,9820.0,735.0,6460.0,745.0,570.0,2315.0,685.0,0.0,755.0,1190.0,0.0,145.0,425.0,0.0,180.0,1385.0,0.0,9850.0,4430.0,570.0,1740.0,215.0,165.0,1020.0,730.0,0.0,1025.0,1345.0,0.0,250.0,1160.0,0.0,290.0,1935.0,0.0,8005.0,6405.0,3270.0,1330.0,1545.0,330.0,300.0,65.0,230.0,45.0,13350.0,6285.0,4990.0,2265.0,900.0,625.0,30.0,60.0,20.0,35.0,0.0,9270.0,1720.0,1415.0,1005.0,430.0,920.0,300.0,240.0,45.0,195.0,45.0,4080.0
"Jersey City city, New Jersey",City,2008-2012,1300.0,15515.0,16815.0,2105.0,9055.0,11160.0,3605.0,10425.0,14030.0,2680.0,5650.0,8330.0,19320.0,25790.0,45110.0,29015.0,66440.0,95455.0,13725.0,31980.0,45705.0,15170.0,32605.0,47775.0,120.0,1855.0,1975.0,7185.0,20050.0,27235.0,21710.0,44535.0,66245.0,15865.0,35690.0,51555.0,6730.0,13420.0,20150.0,6300.0,15230.0,21530.0,120.0,2090.0,2210.0,12940.0,1900.0,1975.0,9615.0,1545.0,0.0,9775.0,4255.0,0.0,3805.0,4525.0,0.0,9565.0,35550.0,0.0,45705.0,47775.0,1975.0,11790.0,1870.0,1855.0,7660.0,1395.0,0.0,7025.0,3395.0,0.0,1945.0,3705.0,0.0,3555.0,22240.0,0.0,31980.0,32605.0,1855.0,1150.0,30.0,120.0,1955.0,150.0,0.0,2750.0,860.0,0.0,1860.0,820.0,0.0,6010.0,13310.0,0.0,12625.0,10855.0,9355.0,5255.0,9020.0,2890.0,3190.0,1285.0,7495.0,1255.0,41685.0,11470.0,9765.0,7440.0,3870.0,6290.0,1180.0,1420.0,230.0,2030.0,185.0,28650.0,1150.0,1085.0,1915.0,1385.0,2735.0,1710.0,1770.0,1055.0,5460.0,1065.0,13030.0
"Newark city, New Jersey",City,2008-2012,2700.0,28770.0,31470.0,2765.0,14790.0,17555.0,3380.0,10185.0,13565.0,2530.0,5770.0,8300.0,10275.0,11135.0,21410.0,21650.0,70650.0,92305.0,12445.0,40925.0,53370.0,8920.0,27930.0,36850.0,285.0,1800.0,2085.0,7310.0,25705.0,33015.0,14060.0,43150.0,57210.0,9225.0,31425.0,40650.0,5420.0,16975.0,22395.0,6725.0,20270.0,26995.0,285.0,1980.0,2265.0,24100.0,5280.0,2085.0,14265.0,3295.0,0.0,7475.0,6090.0,0.0,2860.0,5440.0,0.0,4675.0,16735.0,0.0,53370.0,36850.0,2085.0,21730.0,5240.0,1800.0,11835.0,2955.0,0.0,5030.0,5155.0,0.0,1145.0,4625.0,0.0,1190.0,9945.0,0.0,40925.0,27930.0,1800.0,2370.0,40.0,285.0,2430.0,340.0,0.0,2445.0,935.0,0.0,1715.0,815.0,0.0,3485.0,6790.0,0.0,23440.0,18760.0,13690.0,5090.0,6525.0,1795.0,2340.0,690.0,3400.0,660.0,49395.0,21070.0,16555.0,11260.0,3480.0,4080.0,235.0,635.0,0.0,200.0,0.0,37245.0,2370.0,2205.0,2430.0,1610.0,2440.0,1560.0,1705.0,690.0,3200.0,660.0,12145.0
"Philadelphia city, Pennsylvania",City,2008-2012,58955.0,105485.0,164440.0,44965.0,45785.0,90750.0,59670.0,47530.0,107200.0,33265.0,21660.0,54925.0,117225.0,45975.0,163200.0,314075.0,266435.0,580510.0,102540.0,140995.0,243535.0,206540.0,114535.0,321075.0,4995.0,10900.0,15895.0,51600.0,89290.0,140890.0,257480.0,166245.0,423725.0,211270.0,120640.0,331910.0,52425.0,54310.0,106735.0,45090.0,79910.0,125000.0,5285.0,11570.0,16855.0,121685.0,26860.0,15895.0,57285.0,33465.0,0.0,40890.0,66310.0,0.0,11350.0,43575.0,0.0,12330.0,150870.0,0.0,243535.0,321075.0,15895.0,78565.0,16020.0,10900.0,34865.0,10920.0,0.0,19845.0,27685.0,0.0,4310.0,17350.0,0.0,3410.0,42565.0,0.0,140995.0,114535.0,10900.0,43120.0,10840.0,4995.0,22420.0,22545.0,0.0,21045.0,38625.0,0.0,7040.0,26225.0,0.0,8920.0,108305.0,0.0,119430.0,95130.0,55285.0,21325.0,37850.0,6880.0,9705.0,1010.0,9470.0,660.0,231740.0,77090.0,65630.0,33730.0,11605.0,18050.0,2190.0,3460.0,335.0,1890.0,150.0,134220.0,42340.0,29500.0,21555.0,9720.0,19800.0,4690.0,6235.0,670.0,7585.0,510.0,97515.0
"Los Angeles city, California",City,2008-2012,46020.0,253545.0,299565.0,50860.0,155750.0,206610.0,80145.0,155075.0,235220.0,50500.0,67870.0,118370.0,273125.0,184765.0,457890.0,500655.0,817010.0,1317665.0,252175.0,523480.0,775655.0,244085.0,276450.0,520535.0,4395.0,17075.0,21470.0,146350.0,368715.0,515065.0,349910.0,431220.0,781130.0,258575.0,343560.0,602135.0,114325.0,202215.0,316540.0,123275.0,250895.0,374170.0,4485.0,20335.0,24820.0,250660.0,27430.0,21470.0,178895.0,27715.0,0.0,163080.0,72145.0,0.0,60900.0,57470.0,0.0,122110.0,335780.0,0.0,775655.0,520535.0,21470.0,213820.0,22650.0,17075.0,140855.0,14895.0,0.0,106550.0,48525.0,0.0,29365.0,38505.0,0.0,32885.0,151880.0,0.0,523480.0,276450.0,17075.0,36840.0,4780.0,4395.0,38040.0,12820.0,0.0,56530.0,23620.0,0.0,31535.0,18965.0,0.0,89225.0,183900.0,0.0,243705.0,206485.0,164555.0,83740.0,132545.0,48105.0,49410.0,14600.0,100500.0,21250.0,690715.0,207210.0,174875.0,127380.0,55655.0,79520.0,17025.0,20345.0,2375.0,18655.0,965.0,453110.0,36500.0,31610.0,37175.0,28085.0,53020.0,31075.0,29060.0,12220.0,81845.0,20285.0,237600.0
"Long Beach city, California",City,2008-2012,4565.0,27935.0,32500.0,6500.0,17815.0,24315.0,10190.0,19730.0,29920.0,6485.0,9200.0,15685.0,38225.0,20950.0,59175.0,65965.0,95625.0,161590.0,29105.0,57560.0,86665.0,36525.0,36705.0,73230.0,330.0,1360.0,1690.0,14970.0,39990.0,54960.0,50660.0,54275.0,104935.0,38670.0,44040.0,82710.0,15145.0,22410.0,37555.0,11805.0,27735.0,39540.0,340.0,1450.0,1790.0,28020.0,2780.0,1690.0,20270.0,4035.0,0.0,17630.0,12290.0,0.0,7420.0,8265.0,0.0,13315.0,45860.0,0.0,86665.0,73230.0,1690.0,24495.0,2075.0,1360.0,15805.0,2005.0,0.0,11230.0,8500.0,0.0,3535.0,5665.0,0.0,2490.0,18460.0,0.0,57560.0,36705.0,1360.0,3525.0,705.0,330.0,4465.0,2030.0,0.0,6400.0,3790.0,0.0,3885.0,2600.0,0.0,10825.0,27400.0,0.0,27475.0,23265.0,18690.0,8835.0,14500.0,4395.0,5510.0,1260.0,10925.0,1790.0,77100.0,23995.0,20275.0,14410.0,5820.0,8500.0,1415.0,2020.0,175.0,1220.0,50.0,50145.0,3480.0,2985.0,4275.0,3015.0,6000.0,2980.0,3490.0,1085.0,9705.0,1740.0,26950.0
"Anaheim city, California",City,2008-2012,3905.0,14985.0,18890.0,5260.0,11675.0,16935.0,9285.0,11780.0,21065.0,6260.0,4665.0,10925.0,22910.0,7710.0,30620.0,47620.0,50810.0,98435.0,21930.0,35565.0,57495.0,25605.0,14515.0,40120.0,90.0,730.0,820.0,12090.0,25675.0,37765.0,35445.0,24410.0,59855.0,27740.0,19815.0,47555.0,10740.0,14260.0,25000.0,9025.0,15780.0,24805.0,115.0,955.0,1070.0,16205.0,1860.0,820.0,14540.0,2395.0,0.0,14085.0,6985.0,0.0,5190.0,5735.0,0.0,7480.0,23140.0,0.0,57495.0,40120.0,820.0,13120.0,1130.0,730.0,11065.0,610.0,0.0,8035.0,3745.0,0.0,1775.0,2890.0,0.0,1570.0,6140.0,0.0,35565.0,14515.0,730.0,3085.0,730.0,90.0,3475.0,1785.0,0.0,6050.0,3240.0,0.0,3415.0,2845.0,0.0,5910.0,17000.0,0.0,15750.0,13745.0,13795.0,6530.0,10965.0,3235.0,3865.0,705.0,5430.0,590.0,49805.0,12765.0,11175.0,10465.0,4110.0,5430.0,460.0,855.0,25.0,525.0,10.0,30040.0,2985.0,2570.0,3330.0,2420.0,5535.0,2775.0,3010.0,680.0,4905.0,580.0,19765.0
"Chicago city, Illinois",City,2008-2012,40115.0,172750.0,212865.0,46415.0,93090.0,139505.0,69495.0,99975.0,169470.0,44410.0,46310.0,90720.0,274175.0,143350.0,417525.0,474600.0,555475.0,1030075.0,193970.0,291285.0,485255.0,276605.0,245465.0,522070.0,4030.0,18720.0,22750.0,100020.0,182425.0,282445.0,370550.0,354330.0,724880.0,284545.0,265580.0,550125.0,98180.0,119240.0,217420.0,87715.0,150400.0,238115.0,4160.0,20250.0,24410.0,168220.0,21895.0,22750.0,112870.0,26635.0,0.0,94335.0,75135.0,0.0,35730.0,54985.0,0.0,74105.0,343420.0,0.0,485255.0,522070.0,22750.0,134950.0,19080.0,18720.0,78735.0,14355.0,0.0,51375.0,48600.0,0.0,11965.0,34340.0,0.0,14260.0,129090.0,0.0,291285.0,245465.0,18720.0,33270.0,2815.0,4030.0,34135.0,12280.0,0.0,42960.0,26535.0,0.0,23765.0,20645.0,0.0,59845.0,214330.0,0.0,165120.0,139675.0,109295.0,53295.0,85865.0,27550.0,32025.0,7555.0,63220.0,10030.0,455525.0,132065.0,111600.0,75550.0,30495.0,44170.0,7070.0,9470.0,815.0,8385.0,420.0,269640.0,33055.0,28075.0,33745.0,22800.0,41700.0,20485.0,22555.0,6740.0,54840.0,9615.0,185895.0
"Naperville city, Illinois",City,2008-2012,950.0,1310.0,2260.0,1300.0,1195.0,2495.0,2505.0,1795.0,4300.0,2080.0,1280.0,3360.0,30910.0,5680.0,36590.0,37740.0,11250.0,48990.0,10040.0,4280.0,14320.0,27595.0,6870.0,34465.0,105.0,105.0,210.0,4000.0,2385.0,6385.0,33635.0,8765.0,42400.0,27805.0,7060.0,34865.0,6080.0,1965.0,8045.0,3755.0,2115.0,5870.0,105.0,110.0,215.0,1900.0,150.0,210.0,2120.0,365.0,0.0,2915.0,1385.0,0.0,1740.0,1620.0,0.0,5645.0,30945.0,0.0,14320.0,34465.0,210.0,1085.0,120.0,105.0,1065.0,125.0,0.0,1205.0,590.0,0.0,490.0,790.0,0.0,435.0,5245.0,0.0,4280.0,6870.0,105.0,815.0,30.0,105.0,1055.0,240.0,0.0,1710.0,795.0,0.0,1250.0,830.0,0.0,5210.0,25700.0,0.0,1895.0,1745.0,2120.0,1640.0,2895.0,1185.0,1675.0,535.0,5325.0,755.0,13910.0,1080.0,970.0,1065.0,865.0,1190.0,180.0,455.0,65.0,290.0,35.0,4080.0,815.0,780.0,1055.0,775.0,1705.0,1005.0,1225.0,475.0,5035.0,720.0,9835.0
