geoname,sumlevel,year,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E5,E6,E7,E9,E10,E11,E13,E14,E15,E17,E18,E19,E21,E22,E23,F1,F2,F3,F5,F6,F7,F9,F10,F11,F13,F14,F15,F17,F18,F19,F21,F22,F23,G1,G2,G3,G5,G6,G7,G9,G10,G11,G13,G14,G15,G17,G18,G19,H1,H2,H4,H5,H7,H8,H10,H11,H13,H14,H16,I1,I2,I4,I5,I7,I8,I10,I11,I13,I14,I16,J1,J2,J4,J5,J7,J8,J10,J11,J13,J14,J16
"New York city, New York",City,2017-2021,122600.0,680265.0,802865.0,111995.0,329455.0,441450.0,170485.0,373200.0,543685.0,107055.0,178405.0,285460.0,565660.0,611545.0,1177205.0,1077795.0,2172860.0,3250655.0,392790.0,1169755.0,1562545.0,685010.0,1003105.0,1688115.0,,,,237175.0,752865.0,990040.0,840620.0,1419995.0,2260615.0,716750.0,1085585.0,1802335.0,164730.0,472550.0,637280.0,185640.0,563650.0,749290.0,10675.0,51080.0,61755.0,636850.0,166010.0,,339450.0,102000.0,,297390.0,246290.0,,102840.0,182620.0,,186020.0,991190.0,,1562545.0,1688115.0,,539945.0,140315.0,,261500.0,67955.0,,208695.0,164500.0,,62385.0,116020.0,,97230.0,514315.0,,1169755.0,1003105.0,,96905.0,25695.0,,77950.0,34045.0,,88695.0,81790.0,,40455.0,66600.0,,88790.0,476875.0,,622205.0,501430.0,321510.0,151870.0,252870.0,68125.0,77915.0,14880.0,112060.0,12985.0,1386560.0,526945.0,420180.0,245780.0,103510.0,170325.0,30675.0,41880.0,5795.0,51270.0,3490.0,1036200.0,95265.0,81250.0,75735.0,48365.0,82540.0,37445.0,36040.0,9085.0,60790.0,9495.0,350370.0
"Camden city, New Jersey",City,2017-2021,2355.0,8030.0,10385.0,1715.0,3370.0,5085.0,2130.0,2115.0,4245.0,960.0,835.0,1795.0,2470.0,1000.0,3470.0,9630.0,15355.0,24985.0,3680.0,9820.0,13500.0,5950.0,5535.0,11485.0,,,,2290.0,6595.0,8885.0,7340.0,8760.0,16100.0,6180.0,5720.0,11900.0,1415.0,3670.0,5085.0,1880.0,5610.0,7490.0,150.0,355.0,505.0,8110.0,2275.0,,3905.0,1180.0,,1015.0,3230.0,,160.0,1640.0,,305.0,3165.0,,13500.0,11485.0,,6210.0,1820.0,,2825.0,545.0,,640.0,1475.0,,75.0,765.0,,65.0,935.0,,9820.0,5535.0,,1900.0,455.0,,1080.0,635.0,,375.0,1755.0,,85.0,875.0,,240.0,2230.0,,7845.0,6285.0,3770.0,1105.0,815.0,95.0,65.0,0.0,75.0,0.0,12570.0,6010.0,4835.0,2725.0,760.0,490.0,15.0,55.0,0.0,0.0,0.0,9280.0,1835.0,1450.0,1045.0,345.0,330.0,85.0,10.0,0.0,75.0,0.0,3295.0
"Jersey City city, New Jersey",City,2017-2021,2735.0,19800.0,22535.0,2995.0,10665.0,13660.0,4495.0,11750.0,16245.0,3055.0,7035.0,10090.0,20910.0,32210.0,53120.0,34195.0,81460.0,115655.0,12700.0,37775.0,50475.0,21495.0,43685.0,65180.0,,,,7060.0,24380.0,31440.0,27130.0,57085.0,84215.0,22435.0,47260.0,69695.0,6115.0,14765.0,20880.0,5365.0,17805.0,23170.0,290.0,1630.0,1920.0,17695.0,4840.0,,10790.0,2870.0,,8845.0,7400.0,,3875.0,6215.0,,9265.0,43855.0,,50475.0,65180.0,,15355.0,4445.0,,8385.0,2275.0,,5970.0,5780.0,,2470.0,4565.0,,5590.0,26620.0,,37775.0,43685.0,,2340.0,395.0,,2405.0,595.0,,2875.0,1620.0,,1405.0,1650.0,,3675.0,17235.0,,17530.0,15140.0,10305.0,4635.0,7870.0,2245.0,3160.0,730.0,5175.0,410.0,44040.0,15210.0,12905.0,7925.0,3415.0,5115.0,955.0,1870.0,340.0,2450.0,190.0,32570.0,2320.0,2235.0,2380.0,1220.0,2760.0,1295.0,1295.0,395.0,2725.0,220.0,11480.0
"Newark city, New Jersey",City,2017-2021,3820.0,35385.0,39205.0,3470.0,16675.0,20145.0,5245.0,16250.0,21495.0,2785.0,5430.0,8215.0,10155.0,10530.0,20685.0,25470.0,84265.0,109735.0,13240.0,48900.0,62140.0,12230.0,35370.0,47600.0,,,,7840.0,30070.0,37910.0,17630.0,54200.0,71830.0,13065.0,35550.0,48615.0,5705.0,20865.0,26570.0,6455.0,24510.0,30965.0,240.0,3345.0,3585.0,29905.0,9295.0,,16300.0,3840.0,,10600.0,10890.0,,2280.0,5925.0,,3050.0,17640.0,,62140.0,47600.0,,26435.0,8950.0,,13590.0,3085.0,,7090.0,9155.0,,990.0,4435.0,,790.0,9740.0,,48900.0,35370.0,,3470.0,345.0,,2710.0,755.0,,3510.0,1735.0,,1290.0,1490.0,,2260.0,7900.0,,29215.0,23375.0,15765.0,5570.0,9185.0,1640.0,1600.0,215.0,1765.0,160.0,57530.0,25845.0,20480.0,13090.0,3815.0,5820.0,200.0,510.0,15.0,110.0,0.0,45375.0,3370.0,2895.0,2675.0,1755.0,3370.0,1445.0,1090.0,200.0,1655.0,160.0,12160.0
"Philadelphia city, Pennsylvania",City,2017-2021,62300.0,104930.0,167230.0,47075.0,51980.0,99055.0,58140.0,54040.0,112180.0,34865.0,27855.0,62720.0,136485.0,68940.0,205425.0,338870.0,307740.0,646610.0,91810.0,152340.0,244150.0,247055.0,155400.0,402455.0,,,,48055.0,95900.0,143955.0,290810.0,211840.0,502650.0,247105.0,154845.0,401950.0,44680.0,60165.0,104845.0,41895.0,82470.0,124365.0,5185.0,10260.0,15445.0,125335.0,41890.0,,60470.0,38580.0,,36865.0,75315.0,,10080.0,52635.0,,11395.0,194035.0,,244150.0,402455.0,,81275.0,23650.0,,38655.0,13320.0,,22005.0,32035.0,,5530.0,22325.0,,4875.0,64070.0,,152340.0,155400.0,,44060.0,18240.0,,21815.0,25260.0,,14860.0,43280.0,,4550.0,30310.0,,6520.0,129965.0,,123270.0,97965.0,57950.0,19765.0,32970.0,5185.0,7860.0,765.0,7170.0,695.0,229220.0,79980.0,66865.0,37010.0,12495.0,19065.0,2595.0,3955.0,265.0,2625.0,250.0,142635.0,43290.0,31100.0,20935.0,7265.0,13905.0,2590.0,3900.0,495.0,4545.0,445.0,86575.0
"Los Angeles city, California",City,2017-2021,53615.0,251545.0,305160.0,47940.0,149805.0,197745.0,76245.0,167340.0,243585.0,49600.0,79115.0,128715.0,283255.0,226390.0,509645.0,510660.0,874190.0,1384850.0,210325.0,552205.0,762530.0,300335.0,321985.0,622320.0,,,,123270.0,381315.0,504585.0,387390.0,492875.0,880265.0,317120.0,379555.0,696675.0,92900.0,215005.0,307905.0,95365.0,258120.0,353485.0,5270.0,21510.0,26780.0,254565.0,50595.0,,167615.0,30120.0,,165695.0,77890.0,,65140.0,63575.0,,109505.0,400145.0,,762530.0,622320.0,,211430.0,40110.0,,133915.0,15885.0,,118625.0,48715.0,,40070.0,39045.0,,48160.0,178230.0,,552205.0,321985.0,,43135.0,10485.0,,33700.0,14235.0,,47070.0,29175.0,,25070.0,24530.0,,61345.0,221915.0,,248365.0,208420.0,154975.0,81220.0,133535.0,43205.0,49275.0,9795.0,75240.0,10845.0,661390.0,205800.0,172230.0,122750.0,57880.0,90720.0,23040.0,27855.0,3515.0,26000.0,1455.0,473125.0,42565.0,36190.0,32225.0,23340.0,42815.0,20165.0,21420.0,6280.0,49240.0,9390.0,188265.0
"Long Beach city, California",City,2017-2021,6460.0,25655.0,32115.0,6515.0,19250.0,25765.0,9930.0,21890.0,31820.0,8035.0,10125.0,18160.0,37955.0,24145.0,62100.0,68890.0,101065.0,169960.0,25115.0,59045.0,84160.0,43780.0,42020.0,85800.0,,,,13010.0,37215.0,50225.0,55885.0,63850.0,119735.0,45875.0,47070.0,92945.0,12775.0,25510.0,38285.0,9740.0,26095.0,35835.0,500.0,2400.0,2900.0,26460.0,5650.0,,21835.0,3930.0,,18915.0,12905.0,,6925.0,11235.0,,10020.0,52085.0,,84160.0,85800.0,,21385.0,4270.0,,17375.0,1875.0,,13400.0,8490.0,,3500.0,6625.0,,3385.0,20765.0,,59045.0,42020.0,,5075.0,1380.0,,4460.0,2055.0,,5515.0,4415.0,,3425.0,4610.0,,6635.0,31320.0,,26010.0,22000.0,20625.0,9755.0,15355.0,2535.0,4995.0,780.0,7125.0,760.0,74110.0,20995.0,18085.0,16290.0,6935.0,10365.0,885.0,2180.0,130.0,1775.0,60.0,51605.0,5020.0,3920.0,4335.0,2820.0,4990.0,1650.0,2820.0,650.0,5350.0,700.0,22515.0
"Anaheim city, California",City,2017-2021,4000.0,16260.0,20260.0,4780.0,10820.0,15600.0,9010.0,13010.0,22020.0,6230.0,5715.0,11945.0,24135.0,9620.0,33755.0,48150.0,55420.0,103570.0,16945.0,37965.0,54910.0,31205.0,17455.0,48660.0,,,,9685.0,27305.0,36990.0,38470.0,28115.0,66585.0,34070.0,23205.0,57275.0,7790.0,14240.0,22030.0,6075.0,16865.0,22940.0,215.0,1110.0,1325.0,17445.0,2810.0,,12905.0,2695.0,,14070.0,7945.0,,4510.0,7430.0,,5975.0,27770.0,,54910.0,48660.0,,14375.0,1880.0,,10125.0,695.0,,9105.0,3905.0,,2020.0,3690.0,,2335.0,7280.0,,37965.0,17455.0,,3070.0,930.0,,2780.0,2000.0,,4965.0,4040.0,,2490.0,3740.0,,3640.0,20490.0,,17120.0,14710.0,11920.0,5955.0,10640.0,1805.0,2710.0,290.0,2585.0,185.0,44975.0,14100.0,12220.0,9315.0,4135.0,6395.0,465.0,905.0,45.0,390.0,0.0,31105.0,3015.0,2485.0,2600.0,1815.0,4250.0,1345.0,1805.0,245.0,2195.0,185.0,13865.0
"Chicago city, Illinois",City,2017-2021,51595.0,175035.0,226630.0,49420.0,97915.0,147335.0,72620.0,101215.0,173835.0,46705.0,51355.0,98060.0,287470.0,179255.0,466725.0,507810.0,604770.0,1112580.0,152845.0,275135.0,427980.0,354960.0,329640.0,684600.0,,,,80330.0,162060.0,242390.0,427475.0,442710.0,870185.0,360720.0,325445.0,686165.0,74515.0,119970.0,194485.0,67120.0,138345.0,205465.0,5450.0,21015.0,26465.0,172585.0,54040.0,,108210.0,39125.0,,74845.0,98995.0,,26370.0,71690.0,,45970.0,420755.0,,427980.0,684600.0,,130285.0,44745.0,,76265.0,21650.0,,41840.0,59375.0,,11910.0,39445.0,,14835.0,164420.0,,275135.0,329640.0,,42300.0,9295.0,,31945.0,17475.0,,33005.0,39620.0,,14460.0,32245.0,,31135.0,256335.0,,170015.0,138655.0,105085.0,43220.0,68345.0,16455.0,22755.0,3565.0,33740.0,3560.0,399940.0,128085.0,104950.0,74120.0,25910.0,37025.0,6180.0,9765.0,820.0,9320.0,485.0,258315.0,41930.0,33705.0,30965.0,17310.0,31325.0,10280.0,12990.0,2745.0,24425.0,3080.0,141635.0
"Naperville city, Illinois",City,2017-2021,1455.0,1680.0,3135.0,1505.0,1670.0,3175.0,2885.0,2110.0,4995.0,2190.0,1330.0,3520.0,31670.0,6745.0,38415.0,39700.0,13535.0,53235.0,7420.0,5530.0,12950.0,32280.0,8000.0,40280.0,,,,3190.0,3250.0,6440.0,36515.0,10280.0,46795.0,32380.0,8515.0,40895.0,4230.0,2400.0,6630.0,2930.0,2365.0,5295.0,155.0,255.0,410.0,2550.0,585.0,,2535.0,630.0,,2995.0,2000.0,,1525.0,1995.0,,3345.0,35070.0,,12950.0,40280.0,,1315.0,365.0,,1410.0,255.0,,1585.0,525.0,,510.0,820.0,,710.0,6035.0,,5530.0,8000.0,,1235.0,220.0,,1125.0,375.0,,1410.0,1475.0,,1015.0,1175.0,,2635.0,29035.0,,2515.0,2250.0,2465.0,1670.0,2880.0,665.0,1425.0,260.0,2655.0,455.0,11940.0,1285.0,1135.0,1335.0,950.0,1485.0,190.0,445.0,10.0,215.0,80.0,4765.0,1225.0,1115.0,1125.0,720.0,1390.0,470.0,980.0,250.0,2440.0,375.0,7160.0
