geoname,sumlevel,year,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E5,E6,E7,E9,E10,E11,E13,E14,E15,E17,E18,E19,E21,E22,E23,F1,F2,F3,F5,F6,F7,F9,F10,F11,F13,F14,F15,F17,F18,F19,F21,F22,F23,G1,G2,G3,G5,G6,G7,G9,G10,G11,G13,G14,G15,G17,G18,G19,H1,H2,H4,H5,H7,H8,H10,H11,H13,H14,H16,I1,I2,I4,I5,I7,I8,I10,I11,I13,I14,I16,J1,J2,J4,J5,J7,J8,J10,J11,J13,J14,J16
"New York city, New York",City,2016-2020,117245.0,673120.0,790365.0,108035.0,323100.0,431135.0,165235.0,363895.0,529130.0,105080.0,176050.0,281130.0,552665.0,607260.0,1159925.0,1048260.0,2143430.0,3191690.0,378135.0,1147725.0,1525860.0,670125.0,995705.0,1665830.0,,,,226895.0,737960.0,964855.0,821370.0,1405470.0,2226840.0,700445.0,1076430.0,1776875.0,160410.0,463110.0,623520.0,177215.0,553545.0,730760.0,10195.0,50340.0,60535.0,624255.0,166110.0,,331600.0,99535.0,,288345.0,240790.0,,100900.0,180230.0,,180765.0,979160.0,,1525860.0,1665830.0,,532350.0,140770.0,,256725.0,66375.0,,202880.0,161020.0,,60375.0,115675.0,,95395.0,511865.0,,1147725.0,995705.0,,91905.0,25340.0,,74875.0,33160.0,,85465.0,79770.0,,40525.0,64555.0,,85370.0,467295.0,,610115.0,489940.0,312525.0,147350.0,245590.0,67220.0,76085.0,14345.0,109960.0,11905.0,1354275.0,519590.0,413305.0,240260.0,101180.0,166110.0,30435.0,39985.0,5565.0,50710.0,3060.0,1016655.0,90525.0,76635.0,72270.0,46170.0,79470.0,36780.0,36105.0,8780.0,59255.0,8850.0,337625.0
"Camden city, New Jersey",City,2016-2020,2645.0,8225.0,10870.0,1920.0,3175.0,5095.0,2400.0,2080.0,4480.0,935.0,680.0,1615.0,2340.0,1005.0,3345.0,10245.0,15165.0,25410.0,3775.0,9700.0,13475.0,6475.0,5465.0,11940.0,,,,2405.0,6475.0,8880.0,7845.0,8685.0,16530.0,6755.0,5805.0,12560.0,1395.0,3464.0,4859.0,1890.0,5545.0,7435.0,210.0,335.0,545.0,8480.0,2390.0,,3635.0,1460.0,,925.0,3565.0,,155.0,1455.0,,285.0,3070.0,,13475.0,11940.0,,6450.0,1775.0,,2545.0,630.0,,565.0,1520.0,,65.0,610.0,,80.0,930.0,,9700.0,5465.0,,2030.0,615.0,,1090.0,830.0,,360.0,2045.0,,90.0,845.0,,205.0,2140.0,,8160.0,6325.0,3395.0,1035.0,660.0,80.0,20.0,0.0,70.0,0.0,12305.0,6185.0,4870.0,2405.0,660.0,405.0,15.0,10.0,0.0,4.0,0.0,9009.0,1975.0,1455.0,980.0,370.0,255.0,65.0,10.0,0.0,65.0,0.0,3285.0
"Jersey City city, New Jersey",City,2016-2020,2665.0,18655.0,21320.0,3020.0,10175.0,13195.0,4555.0,11500.0,16055.0,2910.0,6755.0,9665.0,17605.0,26040.0,43645.0,30750.0,73130.0,103880.0,11735.0,33920.0,45655.0,19015.0,39210.0,58225.0,,,,6575.0,21500.0,28075.0,24180.0,51630.0,75810.0,19860.0,42305.0,62165.0,5560.0,13865.0,19425.0,5065.0,15485.0,20550.0,265.0,1475.0,1740.0,16615.0,4705.0,,10345.0,2850.0,,8205.0,7855.0,,3455.0,6215.0,,7045.0,36600.0,,45655.0,58225.0,,14320.0,4335.0,,7980.0,2195.0,,5455.0,6050.0,,2230.0,4530.0,,3940.0,22100.0,,33920.0,39210.0,,2295.0,370.0,,2365.0,655.0,,2750.0,1805.0,,1225.0,1685.0,,3105.0,14500.0,,16415.0,13725.0,9785.0,3715.0,7235.0,2125.0,2520.0,745.0,4015.0,235.0,39970.0,14135.0,11610.0,7445.0,2445.0,4620.0,925.0,1415.0,430.0,1735.0,75.0,29350.0,2275.0,2115.0,2345.0,1270.0,2620.0,1205.0,1105.0,315.0,2280.0,160.0,10625.0
"Newark city, New Jersey",City,2016-2020,3765.0,33905.0,37670.0,3485.0,15825.0,19310.0,4910.0,14585.0,19495.0,3135.0,5370.0,8505.0,8730.0,8485.0,17215.0,24025.0,78170.0,102195.0,12720.0,45515.0,58235.0,11305.0,32655.0,43960.0,,,,7450.0,28485.0,35935.0,16570.0,49690.0,66260.0,12165.0,32785.0,44950.0,5520.0,18640.0,24160.0,6155.0,23730.0,29885.0,185.0,3015.0,3200.0,29225.0,8450.0,,15275.0,4035.0,,9025.0,10470.0,,2215.0,6290.0,,2495.0,14715.0,,58235.0,43960.0,,25785.0,8125.0,,12575.0,3250.0,,5760.0,8825.0,,795.0,4575.0,,600.0,7880.0,,45515.0,32655.0,,3440.0,325.0,,2700.0,785.0,,3265.0,1645.0,,1420.0,1715.0,,1895.0,6835.0,,28640.0,22995.0,14735.0,5280.0,7755.0,1365.0,1510.0,140.0,1405.0,105.0,54045.0,25240.0,20055.0,12085.0,3490.0,4680.0,185.0,310.0,0.0,55.0,0.0,42370.0,3400.0,2940.0,2650.0,1790.0,3075.0,1180.0,1200.0,140.0,1350.0,105.0,11675.0
"Philadelphia city, Pennsylvania",City,2016-2020,60245.0,102960.0,163205.0,46400.0,49445.0,95845.0,57985.0,50170.0,108155.0,33355.0,25650.0,59005.0,125800.0,61120.0,186920.0,323785.0,289340.0,613125.0,85975.0,142195.0,228170.0,237805.0,147145.0,384950.0,,,,44450.0,88275.0,132725.0,279335.0,201065.0,480400.0,236575.0,143415.0,379990.0,42435.0,57300.0,99735.0,38755.0,76420.0,115175.0,6020.0,12200.0,18220.0,119150.0,44050.0,,57700.0,38140.0,,32555.0,75600.0,,8945.0,50055.0,,9815.0,177105.0,,228170.0,384950.0,,77880.0,25080.0,,36440.0,13000.0,,19400.0,30770.0,,4475.0,21170.0,,3995.0,57125.0,,142195.0,147145.0,,41270.0,18970.0,,21260.0,25140.0,,13155.0,44830.0,,4470.0,28885.0,,5820.0,119980.0,,117100.0,91645.0,55130.0,17600.0,29275.0,4575.0,7180.0,740.0,6230.0,615.0,214915.0,76490.0,62940.0,34755.0,10820.0,16985.0,2285.0,3305.0,250.0,2185.0,125.0,133720.0,40610.0,28705.0,20370.0,6780.0,12290.0,2290.0,3870.0,485.0,4050.0,495.0,81190.0
"Los Angeles city, California",City,2016-2020,57960.0,275860.0,333820.0,54995.0,158805.0,213800.0,81345.0,174275.0,255620.0,53085.0,73425.0,126510.0,270960.0,201810.0,472770.0,518345.0,884175.0,1402520.0,211105.0,559095.0,770200.0,307240.0,325080.0,632320.0,,,,122000.0,384645.0,506645.0,396345.0,499530.0,895875.0,323775.0,383115.0,706890.0,95115.0,219620.0,314735.0,94355.0,260370.0,354725.0,5105.0,21075.0,26180.0,280330.0,53490.0,,177180.0,36620.0,,163695.0,91925.0,,58265.0,68245.0,,90730.0,382040.0,,770200.0,632320.0,,234355.0,41505.0,,139030.0,19775.0,,115625.0,58650.0,,33095.0,40330.0,,36990.0,164820.0,,559095.0,325080.0,,45975.0,11985.0,,38150.0,16845.0,,48070.0,33275.0,,25170.0,27915.0,,53740.0,217220.0,,273310.0,223760.0,160505.0,78150.0,129595.0,36855.0,42910.0,7915.0,63140.0,8045.0,669460.0,227880.0,185060.0,124270.0,53090.0,86395.0,19225.0,22015.0,2210.0,19430.0,785.0,479990.0,45430.0,38700.0,36235.0,25060.0,43200.0,17630.0,20890.0,5705.0,43715.0,7260.0,189470.0
"Long Beach city, California",City,2016-2020,6545.0,28465.0,35010.0,6920.0,19685.0,26605.0,10220.0,21390.0,31610.0,8075.0,9950.0,18025.0,35005.0,19985.0,54990.0,66765.0,99470.0,166235.0,24030.0,57190.0,81220.0,42735.0,42280.0,85015.0,,,,12265.0,36570.0,48835.0,54500.0,62900.0,117400.0,44850.0,47405.0,92255.0,12355.0,24475.0,36830.0,9120.0,25369.0,34489.0,445.0,2220.0,2665.0,29400.0,5610.0,,21305.0,5300.0,,16395.0,15210.0,,6145.0,11875.0,,7970.0,47020.0,,81220.0,85015.0,,24370.0,4095.0,,16785.0,2900.0,,11010.0,10375.0,,2815.0,7130.0,,2205.0,17780.0,,57190.0,42280.0,,5030.0,1515.0,,4520.0,2400.0,,5385.0,4835.0,,3330.0,4745.0,,5765.0,29240.0,,28595.0,23025.0,19645.0,8095.0,13005.0,2075.0,4290.0,610.0,5780.0,685.0,71315.0,23765.0,19290.0,15265.0,5295.0,8200.0,700.0,1540.0,80.0,1074.0,4.0,49844.0,4830.0,3735.0,4385.0,2805.0,4805.0,1375.0,2750.0,530.0,4705.0,675.0,21475.0
"Anaheim city, California",City,2016-2020,4325.0,17370.0,21695.0,5270.0,11815.0,17085.0,9300.0,13660.0,22960.0,5970.0,4950.0,10920.0,22465.0,8585.0,31050.0,47330.0,56375.0,103705.0,16430.0,38535.0,54965.0,30900.0,17840.0,48740.0,,,,8935.0,27565.0,36500.0,38395.0,28815.0,67210.0,33405.0,23580.0,56985.0,7965.0,14855.0,22820.0,5715.0,17060.0,22775.0,235.0,880.0,1115.0,19035.0,2655.0,,13800.0,3285.0,,13610.0,9340.0,,3815.0,7105.0,,4705.0,26345.0,,54965.0,48740.0,,15765.0,1600.0,,10640.0,1175.0,,8790.0,4865.0,,1675.0,3280.0,,1665.0,6920.0,,38535.0,17840.0,,3270.0,1055.0,,3160.0,2110.0,,4820.0,4475.0,,2140.0,3825.0,,3040.0,19425.0,,18595.0,15765.0,12605.0,5175.0,9925.0,1445.0,2260.0,225.0,2220.0,170.0,45605.0,15395.0,13135.0,9690.0,3370.0,5855.0,505.0,685.0,50.0,290.0,0.0,31915.0,3195.0,2625.0,2915.0,1805.0,4070.0,940.0,1575.0,175.0,1925.0,170.0,13680.0
"Chicago city, Illinois",City,2016-2020,52780.0,179065.0,231845.0,51960.0,97140.0,149100.0,73380.0,101950.0,175330.0,46165.0,49800.0,95965.0,266015.0,162900.0,428915.0,490295.0,590850.0,1081145.0,149730.0,269295.0,419025.0,340565.0,321555.0,662120.0,,,,78105.0,157295.0,235400.0,412190.0,433555.0,845745.0,346615.0,318990.0,665605.0,73950.0,118875.0,192825.0,65005.0,132985.0,197990.0,4730.0,19995.0,24725.0,178630.0,53215.0,,105340.0,43760.0,,70285.0,105040.0,,25045.0,70920.0,,39730.0,389185.0,,419025.0,662120.0,,135190.0,43875.0,,72235.0,24905.0,,38435.0,63515.0,,10960.0,38840.0,,12475.0,150425.0,,269295.0,321555.0,,43440.0,9340.0,,33105.0,18855.0,,31850.0,41525.0,,14085.0,32080.0,,27255.0,238760.0,,175860.0,138820.0,101200.0,38705.0,63485.0,14160.0,21340.0,3300.0,28935.0,3005.0,390820.0,132725.0,104800.0,69230.0,21890.0,33510.0,5330.0,8765.0,700.0,7630.0,265.0,251860.0,43135.0,34020.0,31970.0,16815.0,29975.0,8830.0,12575.0,2600.0,21300.0,2740.0,138955.0
"Naperville city, Illinois",City,2016-2020,1275.0,1775.0,3050.0,1640.0,1550.0,3190.0,3320.0,2385.0,5705.0,2280.0,1375.0,3655.0,30610.0,6435.0,37045.0,39125.0,13525.0,52650.0,7295.0,5480.0,12775.0,31830.0,8040.0,39870.0,,,,3085.0,3015.0,6100.0,36040.0,10505.0,46545.0,31860.0,8615.0,40475.0,4225.0,2595.0,6820.0,2865.0,2175.0,5040.0,170.0,130.0,300.0,2535.0,515.0,,2355.0,835.0,,3130.0,2575.0,,1255.0,2400.0,,3495.0,33550.0,,12775.0,39870.0,,1500.0,275.0,,1245.0,305.0,,1670.0,715.0,,365.0,1010.0,,700.0,5735.0,,5480.0,8040.0,,1035.0,240.0,,1110.0,530.0,,1460.0,1860.0,,890.0,1390.0,,2795.0,27815.0,,2500.0,2135.0,2260.0,1430.0,3015.0,735.0,1180.0,160.0,2910.0,585.0,11865.0,1460.0,1235.0,1170.0,705.0,1590.0,145.0,310.0,0.0,240.0,90.0,4770.0,1035.0,895.0,1090.0,725.0,1425.0,590.0,870.0,160.0,2670.0,495.0,7090.0
